GO	Ngenes	GOclass	nChild	nParent	MchildGO	Mchild	MparentGO	Mparent	Level	Term
GO:0042254	6	CC	1	1	GO:0006364	1	GO:0022613	1	5	ribosome biogenesis
GO:0000041	9	CC	1	1	GO:0006826	1	GO:0030001	0.290322580645161	7	transition metal ion transport
GO:0006260	64	CC	1	2	GO:0006261	0.03125	GO:0006259	0.477611940298507	6	DNA replication
GO:0051276	73	CC	1	1	GO:0006325	1	GO:0006996	1	4	chromosome organization
GO:0007017	89	CC	1	1	GO:0007018	0.752808988764045	GO:0044763	0.065779748706578	4	microtubule-based process
GO:0000087	14	CC	0	1	NA	0	GO:0000279	1	5	mitotic M phase
GO:0000154	6	CC	1	2	GO:0031167	1	GO:0006364	1	7	rRNA modification
GO:0019941	63	CC	1	2	GO:0006511	1	GO:0043632	1	7	modification-dependent protein catabolic process
GO:0000279	14	CC	1	1	GO:0000087	1	GO:0022403	1	4	M phase
GO:0001510	6	CC	1	2	GO:0031167	1	GO:0009451	1	5	RNA methylation
GO:0008152	3443	CC	9	1	GO:0071704	0.720302062155097	GO:0008150	0.676690251572327	2	metabolic process
GO:0003008	199	CC	1	1	GO:0050877	1	GO:0044707	1	4	system process
GO:0006366	41	CC	2	1	GO:0006357	0.658536585365854	GO:0006351	0.193396226415094	7	transcription from RNA polymerase II promoter
GO:0006457	91	CC	0	1	NA	0	GO:0044267	0.1	6	protein folding
GO:0006333	73	CC	0	1	NA	0	GO:0006325	1	5	chromatin assembly or disassembly
GO:0016192	74	CC	1	1	GO:0048193	0.121621621621622	GO:0006810	0.0745967741935484	5	vesicle-mediated transport
GO:0007155	96	CC	1	1	GO:0098609	0.416666666666667	GO:0022610	1	3	cell adhesion
GO:0007165	463	CC	3	4	GO:0007166	0.397408207343413	GO:0007154	1	4	signal transduction
GO:0035556	145	CC	2	1	GO:0007264	1	GO:0007165	0.31317494600432	5	intracellular signal transduction
GO:0008104	183	CC	2	1	GO:0045184	1	GO:0033036	1	4	protein localization
GO:0005975	368	CC	0	2	NA	0	GO:0044238	0.149715215622457	4	carbohydrate metabolic process
GO:0006082	132	CC	1	4	GO:0043436	1	GO:0044281	0.483516483516484	4	organic acid metabolic process
GO:0006091	8	CC	1	1	GO:0015980	1	GO:0044237	0.00390434358223524	4	generation of precursor metabolites and energy
GO:0006099	8	CC	0	2	NA	0	GO:0009060	1	4	tricarboxylic acid cycle
GO:0055114	515	CC	2	1	GO:0015980	0.0155339805825243	GO:0044710	0.607311320754717	4	oxidation-reduction process
GO:0045454	31	CC	0	2	NA	0	GO:0019725	0.815789473684211	4	cell redox homeostasis
GO:0006139	851	CC	5	5	GO:0090304	0.595769682726204	GO:0034641	0.982678983833718	4	nucleobase-containing compound metabolic process
GO:0006140	29	CC	2	3	GO:0030811	1	GO:0019220	1	6	regulation of nucleotide metabolic process
GO:0006163	116	CC	4	2	GO:0009150	1	GO:0072521	1	6	purine nucleotide metabolic process
GO:0042278	106	CC	3	2	GO:0046128	1	GO:0009116	1	6	purine nucleoside metabolic process
GO:0006152	29	CC	1	3	GO:0046130	1	GO:0009164	1	7	purine nucleoside catabolic process
GO:0006164	87	CC	2	3	GO:0009152	1	GO:0009165	1	7	purine nucleotide biosynthetic process
GO:0006182	10	CC	0	3	NA	0	GO:0046068	1	9	cGMP biosynthetic process
