GeneID	EACO	Pathway
LOCMI04306	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI06423	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI07493	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI09995	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15766	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15779	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15780	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15802	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15822	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15833	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15834	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15839	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15850	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15851	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15855	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15871	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15874	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15878	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15879	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15891	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15896	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15907	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15912	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15918	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15924	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15978	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15985	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15993	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15994	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI15995	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI16007	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI16040	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI16048	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI16055	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI16061	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI16063	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI16068	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI16069	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI16081	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI16091	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI16875	Ea	Glycolysis / Gluconeogenesis:map00010
LOCMI05605	Ea	Citrate cycle (TCA cycle):map00020
LOCMI07462	Ea	Citrate cycle (TCA cycle):map00020
LOCMI09995	Ea	Citrate cycle (TCA cycle):map00020
LOCMI11413	Ea	Citrate cycle (TCA cycle):map00020
