Ensembl	symbol	GeneOntology
LOCMI11841	LOCMI11841	GO:0004252
LOCMI08721	LOCMI08721	GO:0004252
LOCMI15075	LOCMI15075	GO:0004252
LOCMI11837	LOCMI11837	GO:0004252
LOCMI06649	LOCMI06649	GO:0004252
LOCMI12294	LOCMI12294	GO:0004252
LOCMI12292	LOCMI12292	GO:0004252
LOCMI04416	LOCMI04416	GO:0005783
LOCMI01517	LOCMI01517	GO:0005783
LOCMI16122	LOCMI16122	GO:0019222
LOCMI03938	LOCMI03938	GO:0006470
LOCMI13511	LOCMI13511	GO:0006470
LOCMI16100	LOCMI16100	GO:0009165
LOCMI08135	LOCMI08135	GO:0009165
LOCMI14448	LOCMI14448	GO:0006826
LOCMI08807	LOCMI08807	GO:0008270
LOCMI15416	LOCMI15416	GO:0008270
LOCMI14530	LOCMI14530	GO:0008270
LOCMI05623	LOCMI05623	GO:0008270
LOCMI11126	LOCMI11126	GO:0008270
LOCMI05971	LOCMI05971	GO:0008270
LOCMI03279	LOCMI03279	GO:0008270
LOCMI16122	LOCMI16122	GO:0007166
LOCMI16100	LOCMI16100	GO:0044283
LOCMI08135	LOCMI08135	GO:0044283
LOCMI00309	LOCMI00309	GO:0005342
LOCMI03091	LOCMI03091	GO:0071844
LOCMI00164	LOCMI00164	GO:0030529
LOCMI13725	LOCMI13725	GO:0030529
LOCMI08029	LOCMI08029	GO:0030529
LOCMI00130	LOCMI00130	GO:0030529
LOCMI02904	LOCMI02904	GO:0071842
LOCMI03091	LOCMI03091	GO:0071842
LOCMI02904	LOCMI02904	GO:0071840
LOCMI03091	LOCMI03091	GO:0071840
LOCMI02904	LOCMI02904	GO:0071841
LOCMI03091	LOCMI03091	GO:0071841
LOCMI00309	LOCMI00309	GO:0071705
LOCMI00191	LOCMI00191	GO:0051716
LOCMI16122	LOCMI16122	GO:0051716
LOCMI02924	LOCMI02924	GO:0016021
LOCMI11117	LOCMI11117	GO:0016021
LOCMI02924	LOCMI02924	GO:0016020
LOCMI11117	LOCMI11117	GO:0016020
LOCMI15895	LOCMI15895	GO:0016020
LOCMI00309	LOCMI00309	GO:0016020
LOCMI13660	LOCMI13660	GO:0016020
LOCMI16100	LOCMI16100	GO:0016020
LOCMI08135	LOCMI08135	GO:0016020
LOCMI00191	LOCMI00191	GO:0000166
LOCMI03938	LOCMI03938	GO:0016311
LOCMI13511	LOCMI13511	GO:0016311
LOCMI16046	LOCMI16046	GO:0016740
LOCMI12971	LOCMI12971	GO:0016740
LOCMI14530	LOCMI14530	GO:0016740
LOCMI00998	LOCMI00998	GO:0016740
LOCMI03421	LOCMI03421	GO:0016740
LOCMI07445	LOCMI07445	GO:0016740
LOCMI10439	LOCMI10439	GO:0016740
LOCMI02298	LOCMI02298	GO:0016740
LOCMI12971	LOCMI12971	GO:0016741
LOCMI00998	LOCMI00998	GO:0016741
LOCMI16350	LOCMI16350	GO:0046872
LOCMI08807	LOCMI08807	GO:0046872
LOCMI15416	LOCMI15416	GO:0046872
LOCMI14530	LOCMI14530	GO:0046872
LOCMI16195	LOCMI16195	GO:0046872
LOCMI06696	LOCMI06696	GO:0046872
LOCMI09544	LOCMI09544	GO:0046872
LOCMI16257	LOCMI16257	GO:0046872
LOCMI09430	LOCMI09430	GO:0046872
LOCMI05623	LOCMI05623	GO:0046872
LOCMI16136	LOCMI16136	GO:0046872
LOCMI11126	LOCMI11126	GO:0046872
LOCMI05971	LOCMI05971	GO:0046872
LOCMI03279	LOCMI03279	GO:0046872
LOCMI14449	LOCMI14449	GO:0046872
LOCMI14448	LOCMI14448	GO:0046872
LOCMI16184	LOCMI16184	GO:0046872
LOCMI00586	LOCMI00586	GO:0032991
LOCMI00585	LOCMI00585	GO:0032991
LOCMI00164	LOCMI00164	GO:0032991
LOCMI13725	LOCMI13725	GO:0032991
LOCMI08029	LOCMI08029	GO:0032991
LOCMI16100	LOCMI16100	GO:0032991
LOCMI08135	LOCMI08135	GO:0032991
LOCMI00130	LOCMI00130	GO:0032991
LOCMI14448	LOCMI14448	GO:0019725
LOCMI16100	LOCMI16100	GO:0009206
LOCMI08135	LOCMI08135	GO:0009206
LOCMI16100	LOCMI16100	GO:0009205
LOCMI08135	LOCMI08135	GO:0009205
LOCMI15416	LOCMI15416	GO:0004222
LOCMI16100	LOCMI16100	GO:0009201
LOCMI08135	LOCMI08135	GO:0009201
LOCMI11841	LOCMI11841	GO:0017171
LOCMI02805	LOCMI02805	GO:0017171
LOCMI08721	LOCMI08721	GO:0017171
LOCMI15075	LOCMI15075	GO:0017171
LOCMI11837	LOCMI11837	GO:0017171
LOCMI06649	LOCMI06649	GO:0017171
LOCMI12294	LOCMI12294	GO:0017171
LOCMI12292	LOCMI12292	GO:0017171
LOCMI16122	LOCMI16122	GO:0060255
LOCMI00309	LOCMI00309	GO:0015849
LOCMI00586	LOCMI00586	GO:0006605
LOCMI00585	LOCMI00585	GO:0006605
LOCMI04416	LOCMI04416	GO:0045184
LOCMI00586	LOCMI00586	GO:0045184
LOCMI00585	LOCMI00585	GO:0045184
LOCMI01517	LOCMI01517	GO:0045184
LOCMI13660	LOCMI13660	GO:0045184
LOCMI15801	LOCMI15801	GO:0055114
LOCMI16296	LOCMI16296	GO:0055114
LOCMI14530	LOCMI14530	GO:0055114
LOCMI16195	LOCMI16195	GO:0055114
LOCMI15788	LOCMI15788	GO:0055114
LOCMI16004	LOCMI16004	GO:0055114
