GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
125 Ensembl source identifiers supplied in the input file:G1_2-VS-S1_2.down.txt
125 source identifiers meeting the filter linked to a Ensembl ID.
113 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
8448 Genes linked to a term.
The z score is based on an N of 8448 and a R of 113 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0016798	hydrolase activity, acting on glycosyl bonds	molecular_function	22	148	148	14.8648648649	100.0	14.4515724291	0.0	0.0192666666667
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	22	148	148	14.8648648649	100.0	14.4515724291	0.0	0.0192666666667
GO:0005975	carbohydrate metabolic process	biological_process	23	368	368	6.25	100.0	8.38736511478	0.0	0.0192666666667
GO:0008289	lipid binding	molecular_function	6	58	58	10.3448275862	100.0	5.99152722073	0.0	0.0192666666667
GO:0008152	metabolic process	biological_process	76	3442	3443	2.20801859384	99.970955562	5.7743611739	0.0	0.0192666666667
GO:0008150	biological_process	biological_process	96	5087	5088	1.88716335758	99.9803459119	5.40918331763	0.0	0.0192666666667
GO:0051540	metal cluster binding	molecular_function	4	35	35	11.4285714286	100.0	5.20720782221	0.0	0.0192666666667
GO:0051536	iron-sulfur cluster binding	molecular_function	4	35	35	11.4285714286	100.0	5.20720782221	0.0	0.0192666666667
GO:0009628	response to abiotic stimulus	biological_process	2	11	11	18.1818181818	100.0	4.86593654758	0.007	0.112388888889
GO:0009408	response to heat	biological_process	2	11	11	18.1818181818	100.0	4.86593654758	0.007	0.112388888889
GO:0009266	response to temperature stimulus	biological_process	2	11	11	18.1818181818	100.0	4.86593654758	0.007	0.112388888889
GO:0016787	hydrolase activity	molecular_function	37	1419	1419	2.60747004933	100.0	4.56476735401	0.0	0.0192666666667
GO:0003824	catalytic activity	molecular_function	68	3419	3420	1.98888563908	99.9707602339	4.29632275113	0.0	0.0192666666667
GO:0044238	primary metabolic process	biological_process	52	2449	2450	2.12331563904	99.9591836735	4.0163950091	0.0	0.0192666666667
GO:0017171	serine hydrolase activity	molecular_function	8	167	167	4.79041916168	100.0	3.9228750186	0.0005	0.0192666666667
GO:0008236	serine-type peptidase activity	molecular_function	8	167	167	4.79041916168	100.0	3.9228750186	0.0005	0.0192666666667
GO:0006605	protein targeting	biological_process	2	17	17	11.7647058824	100.0	3.74595062762	0.0285	0.350489361702
GO:0004252	serine-type endopeptidase activity	molecular_function	7	146	146	4.79452054795	100.0	3.66765313652	0.005	0.0932258064516
GO:0016491	oxidoreductase activity	molecular_function	18	658	658	2.73556231003	100.0	3.25053208052	0.003	0.0753913043478
GO:0070011	peptidase activity, acting on L-amino acid peptides	molecular_function	12	372	372	3.22580645161	100.0	3.24218013245	0.007	0.112388888889
GO:0008233	peptidase activity	molecular_function	12	372	372	3.22580645161	100.0	3.24218013245	0.007	0.112388888889
GO:0055114	oxidation-reduction process	biological_process	15	515	515	2.91262135922	100.0	3.210597963	0.0045	0.0896896551724
