GO-Elite ORA Results
File:
Table:
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
125 Ensembl source identifiers supplied in the input file:G1_2-VS-S1_2.down.txt
125 source identifiers meeting the filter linked to a Ensembl ID.
35 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
2427 Genes linked to a term.
The z score is based on an N of 2427 and a R of 35 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Taurine and hypotaurine metabolism:map00430	2	8	8	25.0	100.0	5.59711230494	0.0055	0.7095
Glycosphingolipid biosynthesis - globo series:map00603	1	6	6	16.6666666667	100.0	3.13129122992	0.084	1.0
RNA polymerase:map03020	2	32	32	6.25	100.0	2.29602892013	0.073	1.0
Oxidative phosphorylation:map00190	4	102	102	3.92156862745	100.0	2.14558689569	0.053	1.0
alpha-Linolenic acid metabolism:map00592	1	12	12	8.33333333333	100.0	2.00691496023	0.1505	1.0
Fatty acid degradation:map00071	2	38	38	5.26315789474	100.0	1.99097962206	0.097	1.0
RNA transport:map03013	4	117	117	3.4188034188	100.0	1.83792129544	0.0805	1.0
Protein processing in endoplasmic reticulum:map04141	4	117	117	3.4188034188	100.0	1.83792129544	0.089	1.0
Fatty acid metabolism:map01212	2	42	42	4.7619047619	100.0	1.82008766297	0.1205	1.0
Fatty acid elongation:map00062	1	14	14	7.14285714286	100.0	1.79398055067	0.1795	1.0
Glutathione metabolism:map00480	2	44	44	4.54545454545	100.0	1.74218765925	0.1305	1.0
Drug metabolism - other enzymes:map00983	2	44	44	4.54545454545	100.0	1.74218765925	0.118	1.0
Spliceosome:map03040	4	123	123	3.25203252033	100.0	1.72771443935	0.09	1.0
Biosynthesis of unsaturated fatty acids:map01040	1	15	15	6.66666666667	100.0	1.70218602166	0.198	1.0
Tyrosine metabolism:map00350	1	17	17	5.88235294118	100.0	1.54071842354	0.2195	1.0
Butanoate metabolism:map00650	1	17	17	5.88235294118	100.0	1.54071842354	0.2195	1.0
Phenylalanine metabolism:map00360	1	18	18	5.55555555556	100.0	1.4690081762	0.2245	1.0
SNARE interactions in vesicular transport:map04130	1	20	20	5.0	100.0	1.33989289136	0.256	1.0
Mismatch repair:map03430	1	22	22	4.54545454545	100.0	1.22626523509	0.2525	1.0
beta-Alanine metabolism:map00410	1	24	24	4.16666666667	100.0	1.12492924906	0.306	1.0
Sphingolipid metabolism:map00600	1	24	24	4.16666666667	100.0	1.12492924906	0.2865	1.0
Homologous recombination:map03440	1	24	24	4.16666666667	100.0	1.12492924906	0.3065	1.0
Galactose metabolism:map00052	1	24	24	4.16666666667	100.0	1.12492924906	0.2895	1.0
Peroxisome:map04146	2	66	66	3.0303030303	100.0	1.09705382023	0.242	1.0
Alanine, aspartate and glutamate metabolism:map00250	1	27	27	3.7037037037	100.0	0.991040697053	0.32	1.0
Fanconi anemia pathway:map03460	1	31	31	3.22580645161	100.0	0.838221990997	0.3575	1.0
Pyrimidine metabolism:map00240	2	83	83	2.40963855422	100.0	0.752185189086	0.3355	1.0
Glycerolipid metabolism:map00561	1	35	35	2.85714285714	100.0	0.707164818344	0.402	1.0
DNA replication:map03030	1	36	36	2.77777777778	100.0	0.677112148835	0.3955	1.0
Valine, leucine and isoleucine degradation:map00280	1	39	39	2.5641025641	100.0	0.592387438019	0.4355	1.0
Nucleotide excision repair:map03420	1	40	40	2.5	100.0	0.565776659132	0.436	1.0
Drug metabolism - cytochrome P450:map00982	1	40	40	2.5	100.0	0.565776659132	0.4385	1.0
Pyruvate metabolism:map00620	1	41	41	2.43902439024	100.0	0.539902467799	0.4365	1.0
Metabolism of xenobiotics by cytochrome P450:map00980	1	44	44	2.27272727273	100.0	0.466300680072	0.469	1.0
Amino sugar and nucleotide sugar metabolism:map00520	1	44	44	2.27272727273	100.0	0.466300680072	0.454	1.0
Purine metabolism:map00230	2	118	119	1.69491525424	99.1596638655	0.236111089131	0.8185	1.0
RNA degradation:map03018	1	57	57	1.75438596491	100.0	0.200079657093	0.549	1.0
mRNA surveillance pathway:map03015	1	65	65	1.53846153846	100.0	0.0660355427094	0.618	1.0
Ribosome:map03010	2	139	139	1.43884892086	100.0	-0.00332038209592	0.856	1.0
Lysosome:map04142	1	74	74	1.35135135135	100.0	-0.0664953948771	0.6535	1.0
Lysine biosynthesis:map00300	0	2	2	0.0	100.0	-0.171103131953	1.0	1.0
Glycosaminoglycan biosynthesis - keratan sulfate:map00533	0	2	2	0.0	100.0	-0.171103131953	1.0	1.0
Caffeine metabolism:map00232	0	2	2	0.0	100.0	-0.171103131953	1.0	1.0
Biotin metabolism:map00780	0	2	2	0.0	100.0	-0.171103131953	1.0	1.0
Vitamin B6 metabolism:map00750	0	3	3	0.0	100.0	-0.209600904475	1.0	1.0
Valine, leucine and isoleucine biosynthesis:map00290	0	3	3	0.0	100.0	-0.209600904475	1.0	1.0
Thiamine metabolism:map00730	0	3	3	0.0	100.0	-0.209600904475	1.0	1.0
Lipoic acid metabolism:map00785	0	3	3	0.0	100.0	-0.209600904475	1.0	1.0
Degradation of aromatic compounds:map01220	0	3	3	0.0	100.0	-0.209600904475	1.0	1.0
D-Glutamine and D-glutamate metabolism:map00471	0	3	3	0.0	100.0	-0.209600904475	1.0	1.0
Riboflavin metabolism:map00740	0	4	4	0.0	100.0	-0.242076215606	1.0	1.0
Glycosphingolipid biosynthesis - lacto and neolacto series:map00601	0	4	4	0.0	100.0	-0.242076215606	1.0	1.0
Glycosphingolipid biosynthesis - ganglio series:map00604	0	4	4	0.0	100.0	-0.242076215606	1.0	1.0
Phenylalanine, tyrosine and tryptophan biosynthesis:map00400	0	5	5	0.0	100.0	-0.270705304279	1.0	1.0
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate:map00532	0	5	5	0.0	100.0	-0.270705304279	1.0	1.0
Fatty acid biosynthesis:map00061	0	6	6	0.0	100.0	-0.296604040723	1.0	1.0
Synthesis and degradation of ketone bodies:map00072	0	7	7	0.0	100.0	-0.320435164773	1.0	1.0
