Ensembl	symbol	GeneOntology
LOCMI07236	LOCMI07236	GO:0004252
LOCMI11842	LOCMI11842	GO:0004252
LOCMI15214	LOCMI15214	GO:0080090
LOCMI15214	LOCMI15214	GO:0019222
LOCMI00349	LOCMI00349	GO:0030117
LOCMI15214	LOCMI15214	GO:0001071
LOCMI07446	LOCMI07446	GO:0007166
LOCMI05383	LOCMI05383	GO:0005198
LOCMI16632	LOCMI16632	GO:0005198
LOCMI16610	LOCMI16610	GO:0005198
LOCMI16739	LOCMI16739	GO:0005198
LOCMI15346	LOCMI15346	GO:0005198
LOCMI16622	LOCMI16622	GO:0005198
LOCMI16847	LOCMI16847	GO:0005198
LOCMI16781	LOCMI16781	GO:0005198
LOCMI16602	LOCMI16602	GO:0005198
LOCMI17132	LOCMI17132	GO:0005198
LOCMI17141	LOCMI17141	GO:0005198
LOCMI00917	LOCMI00917	GO:0071842
LOCMI11532	LOCMI11532	GO:0071842
LOCMI00917	LOCMI00917	GO:0071840
LOCMI11532	LOCMI11532	GO:0071840
LOCMI00917	LOCMI00917	GO:0071841
LOCMI11532	LOCMI11532	GO:0071841
LOCMI07446	LOCMI07446	GO:0051716
LOCMI13649	LOCMI13649	GO:0051716
LOCMI07446	LOCMI07446	GO:0016021
LOCMI04676	LOCMI04676	GO:0016020
LOCMI00349	LOCMI00349	GO:0016020
LOCMI06431	LOCMI06431	GO:0016020
LOCMI07446	LOCMI07446	GO:0016020
LOCMI04253	LOCMI04253	GO:0000166
LOCMI05458	LOCMI05458	GO:0000166
LOCMI13649	LOCMI13649	GO:0000166
LOCMI16101	LOCMI16101	GO:0016740
LOCMI02103	LOCMI02103	GO:0016740
LOCMI00063	LOCMI00063	GO:0016740
LOCMI17005	LOCMI17005	GO:0016740
LOCMI17002	LOCMI17002	GO:0016740
LOCMI15214	LOCMI15214	GO:0006260
LOCMI16101	LOCMI16101	GO:0046872
LOCMI13444	LOCMI13444	GO:0046872
LOCMI13445	LOCMI13445	GO:0046872
LOCMI14060	LOCMI14060	GO:0046872
LOCMI13029	LOCMI13029	GO:0046872
LOCMI06190	LOCMI06190	GO:0046872
LOCMI01933	LOCMI01933	GO:0046872
LOCMI05458	LOCMI05458	GO:0004222
LOCMI07236	LOCMI07236	GO:0017171
LOCMI11842	LOCMI11842	GO:0017171
LOCMI15214	LOCMI15214	GO:0060255
LOCMI13649	LOCMI13649	GO:0003924
LOCMI07446	LOCMI07446	GO:0007600
LOCMI04253	LOCMI04253	GO:0004386
LOCMI05458	LOCMI05458	GO:0004386
LOCMI00349	LOCMI00349	GO:0045184
LOCMI13649	LOCMI13649	GO:0045184
LOCMI16258	LOCMI16258	GO:0055114
LOCMI16101	LOCMI16101	GO:0055114
LOCMI13444	LOCMI13444	GO:0055114
LOCMI05700	LOCMI05700	GO:0055114
LOCMI13445	LOCMI13445	GO:0055114
LOCMI16358	LOCMI16358	GO:0055114
LOCMI09715	LOCMI09715	GO:0055114
LOCMI00349	LOCMI00349	GO:0016192
LOCMI17183	LOCMI17183	GO:0043234
LOCMI00349	LOCMI00349	GO:0043234
LOCMI04253	LOCMI04253	GO:0016818
LOCMI05458	LOCMI05458	GO:0016818
LOCMI13649	LOCMI13649	GO:0016818
LOCMI13304	LOCMI13304	GO:0016614
LOCMI15214	LOCMI15214	GO:0043231
LOCMI11532	LOCMI11532	GO:0043231
LOCMI00917	LOCMI00917	GO:0043232
LOCMI11532	LOCMI11532	GO:0043232
LOCMI07236	LOCMI07236	GO:0019538
LOCMI04479	LOCMI04479	GO:0019538
LOCMI05458	LOCMI05458	GO:0019538
LOCMI08259	LOCMI08259	GO:0019538
LOCMI11842	LOCMI11842	GO:0019538
LOCMI03132	LOCMI03132	GO:0019538
LOCMI04253	LOCMI04253	GO:0016817
LOCMI05458	LOCMI05458	GO:0016817
LOCMI13649	LOCMI13649	GO:0016817
LOCMI04253	LOCMI04253	GO:0070035
LOCMI05458	LOCMI05458	GO:0070035
LOCMI17005	LOCMI17005	GO:0016757
LOCMI17002	LOCMI17002	GO:0016757
LOCMI05531	LOCMI05531	GO:0004553
LOCMI13444	LOCMI13444	GO:0044424
LOCMI15214	LOCMI15214	GO:0044424
LOCMI00917	LOCMI00917	GO:0044424
LOCMI13445	LOCMI13445	GO:0044424
LOCMI00349	LOCMI00349	GO:0044424
LOCMI11532	LOCMI11532	GO:0044424
LOCMI00349	LOCMI00349	GO:0044425
LOCMI07446	LOCMI07446	GO:0044425
LOCMI00917	LOCMI00917	GO:0044427
LOCMI11532	LOCMI11532	GO:0044427
LOCMI00917	LOCMI00917	GO:0044422
LOCMI11532	LOCMI11532	GO:0044422
LOCMI16101	LOCMI16101	GO:0008270
LOCMI01933	LOCMI01933	GO:0008270
LOCMI15214	LOCMI15214	GO:0043229
LOCMI00917	LOCMI00917	GO:0043229
LOCMI11532	LOCMI11532	GO:0043229
LOCMI15214	LOCMI15214	GO:0006807
LOCMI00917	LOCMI00917	GO:0006807
LOCMI11532	LOCMI11532	GO:0006807
LOCMI11184	LOCMI11184	GO:0003674
LOCMI11717	LOCMI11717	GO:0003674
LOCMI07236	LOCMI07236	GO:0003674
LOCMI08867	LOCMI08867	GO:0003674
LOCMI08869	LOCMI08869	GO:0003674
LOCMI16258	LOCMI16258	GO:0003674
LOCMI16101	LOCMI16101	GO:0003674
LOCMI13444	LOCMI13444	GO:0003674
LOCMI13463	LOCMI13463	GO:0003674
LOCMI05488	LOCMI05488	GO:0003674
LOCMI05383	LOCMI05383	GO:0003674
LOCMI04888	LOCMI04888	GO:0003674
LOCMI15214	LOCMI15214	GO:0003674
LOCMI16632	LOCMI16632	GO:0003674
LOCMI05700	LOCMI05700	GO:0003674
LOCMI16610	LOCMI16610	GO:0003674
LOCMI16739	LOCMI16739	GO:0003674
LOCMI15346	LOCMI15346	GO:0003674
LOCMI16622	LOCMI16622	GO:0003674
LOCMI04479	LOCMI04479	GO:0003674
LOCMI16847	LOCMI16847	GO:0003674
LOCMI04906	LOCMI04906	GO:0003674
LOCMI00917	LOCMI00917	GO:0003674
LOCMI02103	LOCMI02103	GO:0003674
LOCMI04253	LOCMI04253	GO:0003674
LOCMI13445	LOCMI13445	GO:0003674
LOCMI05458	LOCMI05458	GO:0003674
LOCMI16358	LOCMI16358	GO:0003674
LOCMI14060	LOCMI14060	GO:0003674
LOCMI08259	LOCMI08259	GO:0003674
LOCMI04846	LOCMI04846	GO:0003674
LOCMI04845	LOCMI04845	GO:0003674
LOCMI16781	LOCMI16781	GO:0003674
LOCMI03450	LOCMI03450	GO:0003674
LOCMI15719	LOCMI15719	GO:0003674
LOCMI11842	LOCMI11842	GO:0003674
LOCMI00349	LOCMI00349	GO:0003674
LOCMI13029	LOCMI13029	GO:0003674
LOCMI11532	LOCMI11532	GO:0003674
LOCMI16602	LOCMI16602	GO:0003674
