Ensembl	symbol	KEGG
LOCMI06013	LOCMI06013	Glycine, serine and threonine metabolism:map00260
LOCMI16258	LOCMI16258	Glutathione metabolism:map00480
LOCMI00063	LOCMI00063	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI17183	LOCMI17183	Ribosome biogenesis in eukaryotes:map03008
LOCMI16101	LOCMI16101	Fatty acid metabolism:map01212
LOCMI00063	LOCMI00063	Pentose and glucuronate interconversions:map00040
LOCMI15929	LOCMI15929	Glycerophospholipid metabolism:map00564
LOCMI00790	LOCMI00790	Insect hormone biosynthesis:map00981
LOCMI01933	LOCMI01933	Ubiquitin mediated proteolysis:map04120
LOCMI05823	LOCMI05823	N-Glycan biosynthesis:map00510
LOCMI13444	LOCMI13444	Ascorbate and aldarate metabolism:map00053
LOCMI13445	LOCMI13445	Ascorbate and aldarate metabolism:map00053
LOCMI16258	LOCMI16258	Arachidonic acid metabolism:map00590
LOCMI00063	LOCMI00063	Galactose metabolism:map00052
LOCMI13444	LOCMI13444	Inositol phosphate metabolism:map00562
LOCMI13445	LOCMI13445	Inositol phosphate metabolism:map00562
LOCMI00063	LOCMI00063	Starch and sucrose metabolism:map00500
LOCMI17183	LOCMI17183	Wnt signaling pathway:map04310
LOCMI16101	LOCMI16101	Fatty acid biosynthesis:map00061
LOCMI05700	LOCMI05700	Lysine degradation:map00310
