GO-Elite ORA Results
File:
Table:
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
66 Ensembl source identifiers supplied in the input file:G1_2-VS-S1_2.up.txt
66 source identifiers meeting the filter linked to a Ensembl ID.
12 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
2427 Genes linked to a term.
The z score is based on an N of 2427 and a R of 12 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Fatty acid biosynthesis:map00061	1	6	6	16.6666666667	100.0	5.6534570776	0.0395	1.0
Inositol phosphate metabolism:map00562	2	38	38	5.26315789474	100.0	4.223296374	0.0305	1.0
Ascorbate and aldarate metabolism:map00053	2	40	40	5.0	100.0	4.09561175892	0.0425	1.0
Insect hormone biosynthesis:map00981	1	16	16	6.25	100.0	3.29241929858	0.101	1.0
Arachidonic acid metabolism:map00590	1	22	22	4.54545454545	100.0	2.72071998274	0.1585	1.0
Galactose metabolism:map00052	1	24	24	4.16666666667	100.0	2.57705973861	0.1505	1.0
Glycine, serine and threonine metabolism:map00260	1	30	30	3.33333333333	100.0	2.23019090281	0.208	1.0
N-Glycan biosynthesis:map00510	1	32	32	3.125	100.0	2.13519147246	0.2085	1.0
Fatty acid metabolism:map01212	1	42	42	2.38095238095	100.0	1.75795055226	0.251	1.0
Lysine degradation:map00310	1	44	44	2.27272727273	100.0	1.69680842947	0.262	1.0
Glutathione metabolism:map00480	1	44	44	2.27272727273	100.0	1.69680842947	0.2795	1.0
Amino sugar and nucleotide sugar metabolism:map00520	1	44	44	2.27272727273	100.0	1.69680842947	0.2735	1.0
Pentose and glucuronate interconversions:map00040	1	47	47	2.12765957447	100.0	1.61165342364	0.284	1.0
Glycerophospholipid metabolism:map00564	1	47	47	2.12765957447	100.0	1.61165342364	0.304	1.0
Starch and sucrose metabolism:map00500	1	53	53	1.88679245283	100.0	1.46087649483	0.3085	1.0
Wnt signaling pathway:map04310	1	58	58	1.72413793103	100.0	1.35112879111	0.3525	1.0
Ribosome biogenesis in eukaryotes:map03008	1	64	64	1.5625	100.0	1.23430004809	0.4005	1.0
Ubiquitin mediated proteolysis:map04120	1	102	102	0.980392156863	100.0	0.714743592235	0.5395	1.0
Lysine biosynthesis:map00300	0	2	2	0.0	100.0	-0.0997095095614	1.0	1.0
