Ensembl	symbol	GeneOntology
LOCMI06586	LOCMI06586	GO:0080090
LOCMI06586	LOCMI06586	GO:0019222
LOCMI11649	LOCMI11649	GO:0000087
LOCMI16357	LOCMI16357	GO:0018904
LOCMI05622	LOCMI05622	GO:0018904
LOCMI16357	LOCMI16357	GO:0044281
LOCMI05622	LOCMI05622	GO:0044281
LOCMI04776	LOCMI04776	GO:0044281
LOCMI09659	LOCMI09659	GO:0071844
LOCMI05642	LOCMI05642	GO:0030529
LOCMI04634	LOCMI04634	GO:0030529
LOCMI11744	LOCMI11744	GO:0030529
LOCMI15205	LOCMI15205	GO:0030529
LOCMI08036	LOCMI08036	GO:0030529
LOCMI12177	LOCMI12177	GO:0030529
LOCMI12178	LOCMI12178	GO:0030529
LOCMI08029	LOCMI08029	GO:0030529
LOCMI07885	LOCMI07885	GO:0071842
LOCMI01686	LOCMI01686	GO:0071842
LOCMI09659	LOCMI09659	GO:0071842
LOCMI07885	LOCMI07885	GO:0071840
LOCMI01686	LOCMI01686	GO:0071840
LOCMI09659	LOCMI09659	GO:0071840
LOCMI07885	LOCMI07885	GO:0071841
LOCMI01686	LOCMI01686	GO:0071841
LOCMI09659	LOCMI09659	GO:0071841
LOCMI06735	LOCMI06735	GO:0051716
LOCMI10187	LOCMI10187	GO:0016021
LOCMI03203	LOCMI03203	GO:0016021
LOCMI10187	LOCMI10187	GO:0016020
LOCMI15895	LOCMI15895	GO:0016020
LOCMI03203	LOCMI03203	GO:0016020
LOCMI16024	LOCMI16024	GO:0016020
LOCMI09659	LOCMI09659	GO:0000166
LOCMI17038	LOCMI17038	GO:0016740
LOCMI15934	LOCMI15934	GO:0016740
LOCMI16101	LOCMI16101	GO:0016740
LOCMI10439	LOCMI10439	GO:0016740
LOCMI16357	LOCMI16357	GO:0006662
LOCMI05622	LOCMI05622	GO:0006662
LOCMI09430	LOCMI09430	GO:0046872
LOCMI08809	LOCMI08809	GO:0046872
LOCMI16195	LOCMI16195	GO:0046872
LOCMI03230	LOCMI03230	GO:0046872
LOCMI16101	LOCMI16101	GO:0046872
LOCMI12279	LOCMI12279	GO:0046872
LOCMI05642	LOCMI05642	GO:0032991
LOCMI04634	LOCMI04634	GO:0032991
LOCMI00586	LOCMI00586	GO:0032991
LOCMI00585	LOCMI00585	GO:0032991
LOCMI11744	LOCMI11744	GO:0032991
LOCMI07932	LOCMI07932	GO:0032991
LOCMI15205	LOCMI15205	GO:0032991
LOCMI08036	LOCMI08036	GO:0032991
LOCMI12177	LOCMI12177	GO:0032991
LOCMI12178	LOCMI12178	GO:0032991
LOCMI03203	LOCMI03203	GO:0032991
LOCMI09659	LOCMI09659	GO:0032991
LOCMI08029	LOCMI08029	GO:0032991
LOCMI16357	LOCMI16357	GO:0019725
LOCMI05622	LOCMI05622	GO:0019725
LOCMI06735	LOCMI06735	GO:0006281
LOCMI06586	LOCMI06586	GO:0060255
LOCMI09659	LOCMI09659	GO:0003924
LOCMI00586	LOCMI00586	GO:0006605
LOCMI00585	LOCMI00585	GO:0006605
LOCMI07932	LOCMI07932	GO:0006605
LOCMI03203	LOCMI03203	GO:0006605
