GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
68 Ensembl source identifiers supplied in the input file:G3-VS-S3.down.txt
68 source identifiers meeting the filter linked to a Ensembl ID.
61 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
8448 Genes linked to a term.
The z score is based on an N of 8448 and a R of 61 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0009628	response to abiotic stimulus	biological_process	6	11	11	54.5454545455	100.0	21.0964937023	0.0	0.017
GO:0009408	response to heat	biological_process	6	11	11	54.5454545455	100.0	21.0964937023	0.0	0.017
GO:0009266	response to temperature stimulus	biological_process	6	11	11	54.5454545455	100.0	21.0964937023	0.0	0.017
GO:0006605	protein targeting	biological_process	4	17	17	23.5294117647	100.0	11.1172304045	0.0	0.017
GO:0016491	oxidoreductase activity	molecular_function	19	658	658	2.88753799392	100.0	6.83178239331	0.0	0.017
GO:0005737	cytoplasm	cellular_component	17	634	634	2.68138801262	100.0	6.05830330877	0.0	0.017
GO:0003735	structural constituent of ribosome	molecular_function	8	176	176	4.54545454545	100.0	6.0539189378	0.0	0.017
GO:0030529	ribonucleoprotein complex	cellular_component	8	177	177	4.5197740113	100.0	6.03068008177	0.0	0.017
GO:0005840	ribosome	cellular_component	8	177	177	4.5197740113	100.0	6.03068008177	0.0	0.017
GO:0006950	response to stress	biological_process	7	147	147	4.7619047619	100.0	5.83572177566	0.0	0.017
GO:0018904	organic ether metabolic process	biological_process	2	15	15	13.3333333333	100.0	5.7736476945	0.004	0.110095238095
GO:0006662	glycerol ether metabolic process	biological_process	2	15	15	13.3333333333	100.0	5.7736476945	0.004	0.110095238095
GO:0043232	intracellular non-membrane-bounded organelle	cellular_component	10	285	285	3.50877192982	100.0	5.65230823535	0.0	0.017
GO:0043228	non-membrane-bounded organelle	cellular_component	10	285	285	3.50877192982	100.0	5.65230823535	0.0	0.017
GO:0005198	structural molecule activity	molecular_function	10	337	337	2.96735905045	100.0	4.96807342484	0.0	0.017
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	molecular_function	2	20	20	10.0	100.0	4.90615202717	0.0085	0.163766666667
GO:0015036	disulfide oxidoreductase activity	molecular_function	2	20	20	10.0	100.0	4.90615202717	0.0085	0.163766666667
GO:0015035	protein disulfide oxidoreductase activity	molecular_function	2	20	20	10.0	100.0	4.90615202717	0.0085	0.163766666667
GO:0044424	intracellular part	cellular_component	22	1289	1289	1.70674941815	100.0	4.53559767133	0.0	0.017
GO:0032991	macromolecular complex	cellular_component	13	574	574	2.26480836237	100.0	4.5215674253	0.0	0.017
GO:0044444	cytoplasmic part	cellular_component	8	265	265	3.01886792453	100.0	4.4867040292	0.0005	0.017
GO:0006412	translation	biological_process	8	289	289	2.76816608997	100.0	4.1801761537	0.002	0.0608421052632
GO:0055114	oxidation-reduction process	biological_process	11	515	515	2.1359223301	100.0	3.91045753929	0.0015	0.0481666666667
GO:0045454	cell redox homeostasis	biological_process	2	31	31	6.45161290323	100.0	3.77450058774	0.0225	0.282717391304
GO:0034645	cellular macromolecule biosynthetic process	biological_process	8	353	353	2.26628895184	100.0	3.50046946983	0.007	0.155615384615
GO:0009059	macromolecule biosynthetic process	biological_process	8	353	353	2.26628895184	100.0	3.50046946983	0.007	0.155615384615
GO:0009055	electron carrier activity	molecular_function	5	174	174	2.87356321839	100.0	3.38684165269	0.0135	0.210891891892
GO:0006886	intracellular protein transport	biological_process	4	121	121	3.30578512397	100.0	3.38088879284	0.0105	0.183909090909
GO:0065008	regulation of biological quality	biological_process	2	38	38	5.26315789474	100.0	3.31353191358	0.0325	0.354433962264
GO:0042592	homeostatic process	biological_process	2	38	38	5.26315789474	100.0	3.31353191358	0.0325	0.354433962264
GO:0019725	cellular homeostasis	biological_process	2	38	38	5.26315789474	100.0	3.31353191358	0.0325	0.354433962264
GO:0051649	establishment of localization in cell	biological_process	4	126	126	3.1746031746	100.0	3.27585155468	0.0135	0.210891891892
GO:0046907	intracellular transport	biological_process	4	126	126	3.1746031746	100.0	3.27585155468	0.0135	0.210891891892
GO:0045184	establishment of protein localization	biological_process	5	183	183	2.73224043716	100.0	3.24694641956	0.01	0.180625
GO:0015031	protein transport	biological_process	5	183	183	2.73224043716	100.0	3.24694641956	0.01	0.180625
GO:0008150	biological_process	biological_process	49	5087	5088	0.963239630431	99.9803459119	3.22081840223	0.0075	0.160555555556
GO:0043229	intracellular organelle	cellular_component	13	792	792	1.64141414141	100.0	3.20980983041	0.0055	0.132458333333
GO:0043226	organelle	cellular_component	13	792	792	1.64141414141	100.0	3.20980983041	0.0055	0.132458333333
GO:0022403	cell cycle phase	biological_process	1	14	14	7.14285714286	100.0	2.83970211366	0.105	0.871128571429
GO:0022402	cell cycle process	biological_process	1	14	14	7.14285714286	100.0	2.83970211366	0.105	0.871128571429
GO:0015935	small ribosomal subunit	cellular_component	1	14	14	7.14285714286	100.0	2.83970211366	0.098	0.871128571429
GO:0000279	M phase	biological_process	1	14	14	7.14285714286	100.0	2.83970211366	0.105	0.871128571429
GO:0000087	M phase of mitotic cell cycle	biological_process	1	14	14	7.14285714286	100.0	2.83970211366	0.105	0.871128571429
GO:0008152	metabolic process	biological_process	35	3442	3443	1.01685066822	99.970955562	2.65340890201	0.029	0.354433962264
GO:0005622	intracellular	cellular_component	23	1994	1994	1.15346038114	100.0	2.6029217402	0.0185	0.256888888889
GO:0044249	cellular biosynthetic process	biological_process	8	486	487	1.64609053498	99.794661191	2.47815358782	0.032	0.354433962264
GO:0009058	biosynthetic process	biological_process	8	486	487	1.64609053498	99.794661191	2.47815358782	0.032	0.354433962264
GO:0071842	cellular component organization at cellular level	biological_process	3	117	117	2.5641025641	100.0	2.36962652278	0.0575	0.583070175439
GO:0071841	cellular component organization or biogenesis at cellular level	biological_process	3	117	117	2.5641025641	100.0	2.36962652278	0.0575	0.583070175439
GO:0071840	cellular component organization or biogenesis	biological_process	3	117	117	2.5641025641	100.0	2.36962652278	0.0575	0.583070175439
GO:0016043	cellular component organization	biological_process	3	117	117	2.5641025641	100.0	2.36962652278	0.0575	0.583070175439
GO:0000785	chromatin	cellular_component	2	70	70	2.85714285714	100.0	2.11850549614	0.0925	0.871128571429
GO:0051276	chromosome organization	biological_process	2	73	73	2.7397260274	100.0	2.04481617226	0.101	0.871128571429
GO:0006996	organelle organization	biological_process	2	73	73	2.7397260274	100.0	2.04481617226	0.101	0.871128571429
GO:0006333	chromatin assembly or disassembly	biological_process	2	73	73	2.7397260274	100.0	2.04481617226	0.101	0.871128571429
GO:0006325	chromatin organization	biological_process	2	73	73	2.7397260274	100.0	2.04481617226	0.101	0.871128571429
GO:0044427	chromosomal part	cellular_component	2	75	75	2.66666666667	100.0	1.99782658675	0.1055	0.871128571429
GO:0044446	intracellular organelle part	cellular_component	4	242	242	1.65289256198	100.0	1.7351952776	0.1105	0.887069444444
GO:0044422	organelle part	cellular_component	4	242	242	1.65289256198	100.0	1.7351952776	0.1105	0.887069444444
GO:0051540	metal cluster binding	molecular_function	1	35	35	2.85714285714	100.0	1.49489032378	0.2505	1.0
GO:0051536	iron-sulfur cluster binding	molecular_function	1	35	35	2.85714285714	100.0	1.49489032378	0.2505	1.0
GO:0005694	chromosome	cellular_component	2	108	108	1.85185185185	100.0	1.39560499415	0.2005	1.0
GO:0050896	response to stimulus	biological_process	7	600	600	1.16666666667	100.0	1.33445741645	0.212	1.0
GO:0005874	microtubule	cellular_component	1	40	40	2.5	100.0	1.3311793896	0.277	1.0
GO:0043234	protein complex	cellular_component	5	397	397	1.25944584383	100.0	1.29535833545	0.183	1.0
GO:0044237	cellular metabolic process	biological_process	19	2048	2049	0.927734375	99.9511957052	1.26294026754	0.2655	1.0
GO:0071844	cellular component assembly at cellular level	biological_process	1	44	44	2.27272727273	100.0	1.2179728854	0.291	1.0
