Ensembl	symbol	KEGG
LOCMI09826	LOCMI09826	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI15970	LOCMI15970	Oxidative phosphorylation:map00190
LOCMI15689	LOCMI15689	Drug metabolism - cytochrome P450:map00982
LOCMI15467	LOCMI15467	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI13600	LOCMI13600	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI05702	LOCMI05702	Lysine degradation:map00310
LOCMI05700	LOCMI05700	Lysine degradation:map00310
LOCMI15467	LOCMI15467	Lysosome:map04142
LOCMI11632	LOCMI11632	Lysosome:map04142
LOCMI13448	LOCMI13448	Ascorbate and aldarate metabolism:map00053
LOCMI13447	LOCMI13447	Ascorbate and aldarate metabolism:map00053
LOCMI13444	LOCMI13444	Ascorbate and aldarate metabolism:map00053
LOCMI13445	LOCMI13445	Ascorbate and aldarate metabolism:map00053
LOCMI15970	LOCMI15970	Phagosome:map04145
LOCMI10699	LOCMI10699	ECM-receptor interaction:map04512
LOCMI08289	LOCMI08289	ECM-receptor interaction:map04512
LOCMI15467	LOCMI15467	Glycosaminoglycan degradation:map00531
LOCMI10556	LOCMI10556	Glycosaminoglycan degradation:map00531
LOCMI15942	LOCMI15942	Peroxisome:map04146
LOCMI13448	LOCMI13448	Inositol phosphate metabolism:map00562
LOCMI13447	LOCMI13447	Inositol phosphate metabolism:map00562
LOCMI13444	LOCMI13444	Inositol phosphate metabolism:map00562
LOCMI13445	LOCMI13445	Inositol phosphate metabolism:map00562
LOCMI15689	LOCMI15689	Metabolism of xenobiotics by cytochrome P450:map00980
LOCMI15467	LOCMI15467	Other glycan degradation:map00511
LOCMI15467	LOCMI15467	Glycosphingolipid biosynthesis - globo series:map00603
LOCMI11632	LOCMI11632	Glycosphingolipid biosynthesis - globo series:map00603
LOCMI15871	LOCMI15871	Glycolysis / Gluconeogenesis:map00010
LOCMI15689	LOCMI15689	Glutathione metabolism:map00480
LOCMI16206	LOCMI16206	Insect hormone biosynthesis:map00981
LOCMI15871	LOCMI15871	FoxO signaling pathway:map04068
LOCMI04338	LOCMI04338	Starch and sucrose metabolism:map00500
LOCMI03766	LOCMI03766	Starch and sucrose metabolism:map00500
LOCMI08521	LOCMI08521	Starch and sucrose metabolism:map00500
LOCMI09826	LOCMI09826	Phenylalanine metabolism:map00360
LOCMI16034	LOCMI16034	Glycerolipid metabolism:map00561
LOCMI00784	LOCMI00784	Glycerolipid metabolism:map00561
LOCMI15467	LOCMI15467	Glycosphingolipid biosynthesis - ganglio series:map00604
LOCMI15871	LOCMI15871	Pyruvate metabolism:map00620
LOCMI09826	LOCMI09826	Tyrosine metabolism:map00350
LOCMI07451	LOCMI07451	Terpenoid backbone biosynthesis:map00900
LOCMI15871	LOCMI15871	Citrate cycle (TCA cycle):map00020
LOCMI16034	LOCMI16034	Glycerophospholipid metabolism:map00564
LOCMI00784	LOCMI00784	Glycerophospholipid metabolism:map00564
