GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
322 Ensembl source identifiers supplied in the input file:G4-VS-S4.up.txt
322 source identifiers meeting the filter linked to a Ensembl ID.
283 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
8448 Genes linked to a term.
The z score is based on an N of 8448 and a R of 283 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0003735	structural constituent of ribosome	molecular_function	84	176	176	47.7272727273	100.0	33.0633189221	0.0	0.00412857142857
GO:0030529	ribonucleoprotein complex	cellular_component	84	177	177	47.4576271186	100.0	32.9576387867	0.0	0.00412857142857
GO:0005840	ribosome	cellular_component	84	177	177	47.4576271186	100.0	32.9576387867	0.0	0.00412857142857
GO:0044444	cytoplasmic part	cellular_component	88	265	265	33.2075471698	100.0	27.4445431553	0.0	0.00412857142857
GO:0006412	translation	biological_process	92	289	289	31.8339100346	100.0	27.3820112173	0.0	0.00412857142857
GO:0043232	intracellular non-membrane-bounded organelle	cellular_component	91	285	285	31.9298245614	100.0	27.2767340462	0.0	0.00412857142857
GO:0043228	non-membrane-bounded organelle	cellular_component	91	285	285	31.9298245614	100.0	27.2767340462	0.0	0.00412857142857
GO:0005198	structural molecule activity	molecular_function	91	337	337	27.0029673591	100.0	24.6262883833	0.0	0.00412857142857
GO:0034645	cellular macromolecule biosynthetic process	biological_process	93	353	353	26.3456090652	100.0	24.5278494257	0.0	0.00412857142857
GO:0009059	macromolecule biosynthetic process	biological_process	93	353	353	26.3456090652	100.0	24.5278494257	0.0	0.00412857142857
GO:0032991	macromolecular complex	cellular_component	121	574	574	21.0801393728	100.0	24.451558754	0.0	0.00412857142857
GO:0005737	cytoplasm	cellular_component	125	634	634	19.7160883281	100.0	23.8116323863	0.0	0.00412857142857
GO:0044249	cellular biosynthetic process	biological_process	106	486	487	21.8106995885	99.794661191	23.2965317602	0.0	0.00412857142857
GO:0009058	biosynthetic process	biological_process	106	486	487	21.8106995885	99.794661191	23.2965317602	0.0	0.00412857142857
GO:0044424	intracellular part	cellular_component	148	1289	1289	11.481768813	100.0	17.6248000224	0.0	0.00412857142857
GO:0044267	cellular protein metabolic process	biological_process	119	910	910	13.0769230769	100.0	17.2625988724	0.0	0.00412857142857
GO:0043229	intracellular organelle	cellular_component	101	792	792	12.7525252525	100.0	15.4470072659	0.0	0.00412857142857
GO:0043226	organelle	cellular_component	101	792	792	12.7525252525	100.0	15.4470072659	0.0	0.00412857142857
GO:0044260	cellular macromolecule metabolic process	biological_process	123	1175	1175	10.4680851064	100.0	14.6138596958	0.0	0.00412857142857
GO:0005622	intracellular	cellular_component	163	1994	1994	8.17452357071	100.0	13.6976130456	0.0	0.00412857142857
GO:0019538	protein metabolic process	biological_process	121	1254	1254	9.64912280702	100.0	13.433339653	0.0	0.00412857142857
GO:0044237	cellular metabolic process	biological_process	158	2048	2049	7.71484375	99.9511957052	12.6120868556	0.0	0.00412857142857
GO:0043170	macromolecule metabolic process	biological_process	125	1519	1519	8.22909809085	100.0	11.6687792691	0.0	0.00412857142857
GO:0044238	primary metabolic process	biological_process	153	2449	2450	6.24744793793	99.9591836735	9.45624327559	0.0	0.00412857142857
GO:0009987	cellular process	biological_process	173	3159	3160	5.47641658753	99.9683544304	8.39439809118	0.0	0.00412857142857
GO:0005575	cellular_component	cellular_component	175	3284	3284	5.32886723508	100.0	8.06082954214	0.0	0.00412857142857
GO:0044464	cell part	cellular_component	174	3281	3281	5.30326120085	100.0	7.95058532129	0.0	0.00412857142857
GO:0008152	metabolic process	biological_process	178	3442	3443	5.17141196979	99.970955562	7.71479899885	0.0	0.00412857142857
GO:0006605	protein targeting	biological_process	6	17	17	35.2941176471	100.0	7.3267426972	0.0	0.00412857142857
GO:0043234	protein complex	cellular_component	37	397	397	9.31989924433	100.0	6.77139378258	0.0	0.00412857142857
GO:0015935	small ribosomal subunit	cellular_component	5	14	14	35.7142857143	100.0	6.73516681532	0.0	0.00412857142857
GO:0006457	protein folding	biological_process	13	91	91	14.2857142857	100.0	5.82881472192	0.0	0.00412857142857
GO:0042440	pigment metabolic process	biological_process	1	1	1	100.0	100.0	5.3713676197	0.03	0.117162162162
GO:0042168	heme metabolic process	biological_process	1	1	1	100.0	100.0	5.3713676197	0.03	0.117162162162
