Ensembl	symbol	KEGG
LOCMI15824	LOCMI15824	Sphingolipid metabolism:map00600
LOCMI16027	LOCMI16027	Sphingolipid metabolism:map00600
LOCMI15933	LOCMI15933	Sphingolipid metabolism:map00600
LOCMI16102	LOCMI16102	Oxidative phosphorylation:map00190
LOCMI15816	LOCMI15816	Oxidative phosphorylation:map00190
LOCMI16062	LOCMI16062	Oxidative phosphorylation:map00190
LOCMI16066	LOCMI16066	Oxidative phosphorylation:map00190
LOCMI15910	LOCMI15910	Oxidative phosphorylation:map00190
LOCMI15986	LOCMI15986	Oxidative phosphorylation:map00190
LOCMI16049	LOCMI16049	Oxidative phosphorylation:map00190
LOCMI15894	LOCMI15894	Oxidative phosphorylation:map00190
LOCMI06328	LOCMI06328	Oxidative phosphorylation:map00190
LOCMI15853	LOCMI15853	Biosynthesis of unsaturated fatty acids:map01040
LOCMI15809	LOCMI15809	Biosynthesis of unsaturated fatty acids:map01040
LOCMI15961	LOCMI15961	Biosynthesis of unsaturated fatty acids:map01040
LOCMI15872	LOCMI15872	Biosynthesis of unsaturated fatty acids:map01040
LOCMI06643	LOCMI06643	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI17138	LOCMI17138	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI13965	LOCMI13965	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI11868	LOCMI11868	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI09697	LOCMI09697	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI09283	LOCMI09283	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI13862	LOCMI13862	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI15834	LOCMI15834	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI03834	LOCMI03834	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI13816	LOCMI13816	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI15912	LOCMI15912	Lysine biosynthesis:map00300
LOCMI09250	LOCMI09250	Folate biosynthesis:map00790
LOCMI07360	LOCMI07360	Folate biosynthesis:map00790
LOCMI04749	LOCMI04749	ECM-receptor interaction:map04512
LOCMI10636	LOCMI10636	Glycosaminoglycan degradation:map00531
LOCMI03958	LOCMI03958	Glycosaminoglycan degradation:map00531
LOCMI09283	LOCMI09283	Glycosaminoglycan degradation:map00531
LOCMI04276	LOCMI04276	Glycosaminoglycan degradation:map00531
LOCMI09622	LOCMI09622	Other glycan degradation:map00511
LOCMI05942	LOCMI05942	Other glycan degradation:map00511
LOCMI09283	LOCMI09283	Other glycan degradation:map00511
LOCMI15933	LOCMI15933	Other glycan degradation:map00511
