GO-Elite ORA Results
File:
Table:
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
616 Ensembl source identifiers supplied in the input file:G5-VS-S5.down.txt
616 source identifiers meeting the filter linked to a Ensembl ID.
206 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
2427 Genes linked to a term.
The z score is based on an N of 2427 and a R of 206 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Fatty acid degradation:map00071	15	38	38	39.4736842105	100.0	6.90644043301	0.0	0.00339473684211
Propanoate metabolism:map00640	10	27	27	37.037037037	100.0	5.35152264034	0.0	0.00339473684211
Pentose and glucuronate interconversions:map00040	14	47	47	29.7872340426	100.0	5.28974674772	0.0	0.00339473684211
Galactose metabolism:map00052	9	24	24	37.5	100.0	5.12408126163	0.0	0.00339473684211
Valine, leucine and isoleucine degradation:map00280	12	39	39	30.7692307692	100.0	5.03227798625	0.0	0.00339473684211
Protein processing in endoplasmic reticulum:map04141	23	117	117	19.6581196581	100.0	4.4428134188	0.0005	0.00339473684211
beta-Alanine metabolism:map00410	8	24	24	33.3333333333	100.0	4.38817113547	0.0005	0.00339473684211
Tryptophan metabolism:map00380	9	29	29	31.0344827586	100.0	4.38191027514	0.0005	0.00339473684211
Drug metabolism - cytochrome P450:map00982	11	40	40	27.5	100.0	4.3495308534	0.0	0.00339473684211
Ascorbate and aldarate metabolism:map00053	11	40	40	27.5	100.0	4.3495308534	0.0	0.00339473684211
Glycerolipid metabolism:map00561	10	35	35	28.5714285714	100.0	4.29340567304	0.0	0.00339473684211
Pyruvate metabolism:map00620	11	41	41	26.8292682927	100.0	4.24910072215	0.0	0.00339473684211
Metabolism of xenobiotics by cytochrome P450:map00980	11	44	44	25.0	100.0	3.96529367155	0.0	0.00339473684211
Lysine degradation:map00310	11	44	44	25.0	100.0	3.96529367155	0.0	0.00339473684211
Starch and sucrose metabolism:map00500	12	53	53	22.641509434	100.0	3.73743591886	0.0	0.00339473684211
Lysosome:map04142	15	74	74	20.2702702703	100.0	3.6927242001	0.0	0.00339473684211
Other glycan degradation:map00511	5	14	14	35.7142857143	100.0	3.66508044112	0.0005	0.00339473684211
Histidine metabolism:map00340	6	19	19	31.5789473684	100.0	3.6249373873	0.0015	0.00879545454545
Degradation of aromatic compounds:map01220	2	3	3	66.6666666667	100.0	3.61715005158	0.0175	0.0836111111111
Fatty acid metabolism:map01212	10	42	42	23.8095238095	100.0	3.59330507194	0.001	0.00614285714286
Drug metabolism - other enzymes:map00983	10	44	44	22.7272727273	100.0	3.41951202686	0.001	0.00614285714286
Amino sugar and nucleotide sugar metabolism:map00520	10	44	44	22.7272727273	100.0	3.41951202686	0.0005	0.00339473684211
Arginine and proline metabolism:map00330	9	40	40	22.5	100.0	3.20564924954	0.0	0.00339473684211
Glycolysis / Gluconeogenesis:map00010	9	41	41	21.9512195122	100.0	3.1190182661	0.002	0.0112173913043
Retinol metabolism:map00830	7	30	30	23.3333333333	100.0	2.93513702807	0.0035	0.0188125
Biosynthesis of unsaturated fatty acids:map01040	4	15	15	26.6666666667	100.0	2.5335529798	0.0185	0.0852321428571
Porphyrin and chlorophyll metabolism:map00860	8	43	43	18.6046511628	100.0	2.40121923239	0.0055	0.02838
Glycosaminoglycan degradation:map00531	4	16	16	25.0	100.0	2.37723669811	0.0225	0.100086206897
Butanoate metabolism:map00650	4	17	17	23.5294117647	100.0	2.23262764545	0.0255	0.10965
Glycosphingolipid biosynthesis - globo series:map00603	2	6	6	33.3333333333	100.0	2.1859138985	0.061	0.207078947368
Lysine biosynthesis:map00300	1	2	2	50.0	100.0	2.10688916629	0.146	0.37668
alpha-Linolenic acid metabolism:map00592	3	12	12	25.0	100.0	2.05704169803	0.048	0.1935
Synthesis and degradation of ketone bodies:map00072	2	7	7	28.5714285714	100.0	1.9089292312	0.0785	0.237
SNARE interactions in vesicular transport:map04130	4	20	20	20.0	100.0	1.85455989236	0.049	0.1935
Pentose phosphate pathway:map00030	4	20	20	20.0	100.0	1.85455989236	0.0495	0.1935
Carbon metabolism:map01200	12	88	88	13.6363636364	100.0	1.76488248453	0.0595	0.207078947368
Glyoxylate and dicarboxylate metabolism:map00630	4	21	21	19.0476190476	100.0	1.74350719271	0.0515	0.195342857143
Fatty acid elongation:map00062	3	14	14	21.4285714286	100.0	1.74201261481	0.0685	0.2209125
Steroid biosynthesis:map00100	2	8	8	25.0	100.0	1.67817829259	0.0955	0.262117021277
Terpenoid backbone biosynthesis:map00900	4	22	22	18.1818181818	100.0	1.63856206343	0.064	0.211692307692
Phagosome:map04145	9	64	64	14.0625	100.0	1.62137473232	0.0835	0.244806818182
Vitamin B6 metabolism:map00750	1	3	3	33.3333333333	100.0	1.54471776282	0.205	0.449313559322
Lipoic acid metabolism:map00785	1	3	3	33.3333333333	100.0	1.54471776282	0.186	0.436254545455
D-Glutamine and D-glutamate metabolism:map00471	1	3	3	33.3333333333	100.0	1.54471776282	0.183	0.436254545455
Peroxisome:map04146	9	66	66	13.6363636364	100.0	1.52129536491	0.191	0.439982142857
Tyrosine metabolism:map00350	3	17	17	17.6470588235	100.0	1.35950690818	0.1245	0.327765306122
Fructose and mannose metabolism:map00051	4	25	25	16.0	100.0	1.35442613018	0.087	0.2494
Ribosome:map03010	16	139	139	11.5107913669	100.0	1.31679177828	0.2755	0.546761538462
Protein export:map03060	3	18	18	16.6666666667	100.0	1.24944134346	0.1225	0.327765306122
Glutathione metabolism:map00480	6	44	44	13.6363636364	100.0	1.23638544809	0.2025	0.449313559322
Biosynthesis of amino acids:map01230	7	54	54	12.962962963	100.0	1.19305310744	0.331	0.584917808219
Glycosphingolipid biosynthesis - ganglio series:map00604	1	4	4	25.0	100.0	1.18567135688	0.25	0.520161290323
Glycine, serine and threonine metabolism:map00260	4	30	30	13.3333333333	100.0	0.958013084932	0.4165	0.638327586207
Spliceosome:map03040	13	123	123	10.5691056911	100.0	0.849855460761	0.446	0.648623595506
2-Oxocarboxylic acid metabolism:map01210	2	14	14	14.2857142857	100.0	0.780478701654	0.262	0.536476190476
Sphingolipid metabolism:map00600	3	24	24	12.5	100.0	0.70862050467	0.553	0.728586734694
Folate biosynthesis:map00790	2	15	15	13.3333333333	100.0	0.675307865875	0.305	0.566678571429
RNA degradation:map03018	6	57	57	10.5263157895	100.0	0.558695297932	0.6135	0.794548672566
Nitrogen metabolism:map00910	1	7	7	14.2857142857	100.0	0.55108302835	0.369	0.63468
Sulfur relay system:map04122	1	9	9	11.1111111111	100.0	0.282841236895	0.486	0.688945054945
Selenocompound metabolism:map00450	1	10	10	10.0	100.0	0.171895793007	0.5075	0.703951612903
Oxidative phosphorylation:map00190	9	102	102	8.82352941176	100.0	0.124258746466	0.998	1.0
Basal transcription factors:map03022	3	35	35	8.57142857143	100.0	0.0178682182172	0.924	1.0
Ribosome biogenesis in eukaryotes:map03008	5	64	64	7.8125	100.0	-0.196422461509	0.9925	1.0
TGF-beta signaling pathway:map04350	2	29	29	6.89655172414	100.0	-0.30926583327	0.867	0.955923076923
Insect hormone biosynthesis:map00981	1	16	16	6.25	100.0	-0.322180082761	0.696	0.794548672566
Purine metabolism:map00230	9	118	119	7.62711864407	99.1596638655	-0.343875680087	0.7965	0.893465217391
Glycosaminoglycan biosynthesis - keratan sulfate:map00533	0	2	2	0.0	100.0	-0.430788256334	1.0	1.0
Caffeine metabolism:map00232	0	2	2	0.0	100.0	-0.430788256334	1.0	1.0
Biotin metabolism:map00780	0	2	2	0.0	100.0	-0.430788256334	1.0	1.0
Wnt signaling pathway:map04310	4	58	58	6.89655172414	100.0	-0.440036802249	0.8215	0.913564655172
