Ensembl	symbol	GeneOntology
LOCMI07572	LOCMI07572	GO:0004252
LOCMI02542	LOCMI02542	GO:0004252
LOCMI00766	LOCMI00766	GO:0004252
LOCMI09180	LOCMI09180	GO:0004252
LOCMI16344	LOCMI16344	GO:0004252
LOCMI07519	LOCMI07519	GO:0004252
LOCMI07709	LOCMI07709	GO:0004252
LOCMI17053	LOCMI17053	GO:0004252
LOCMI16375	LOCMI16375	GO:0004252
LOCMI02910	LOCMI02910	GO:0004252
LOCMI11922	LOCMI11922	GO:0004497
LOCMI04935	LOCMI04935	GO:0080090
LOCMI15104	LOCMI15104	GO:0080090
LOCMI13701	LOCMI13701	GO:0080090
LOCMI15215	LOCMI15215	GO:0080090
LOCMI15745	LOCMI15745	GO:0080090
LOCMI12999	LOCMI12999	GO:0080090
LOCMI15214	LOCMI15214	GO:0080090
LOCMI06792	LOCMI06792	GO:0080090
LOCMI04935	LOCMI04935	GO:0019222
LOCMI15104	LOCMI15104	GO:0019222
LOCMI13701	LOCMI13701	GO:0019222
LOCMI15215	LOCMI15215	GO:0019222
LOCMI15745	LOCMI15745	GO:0019222
LOCMI12999	LOCMI12999	GO:0019222
LOCMI15214	LOCMI15214	GO:0019222
LOCMI06792	LOCMI06792	GO:0019222
LOCMI08739	LOCMI08739	GO:0006470
LOCMI15746	LOCMI15746	GO:0006470
LOCMI06829	LOCMI06829	GO:0018904
LOCMI06277	LOCMI06277	GO:0006836
LOCMI02454	LOCMI02454	GO:0006836
LOCMI01723	LOCMI01723	GO:0006836
LOCMI11922	LOCMI11922	GO:0004499
LOCMI03072	LOCMI03072	GO:0009259
LOCMI15777	LOCMI15777	GO:0009259
LOCMI15936	LOCMI15936	GO:0009259
LOCMI02751	LOCMI02751	GO:0005789
LOCMI05065	LOCMI05065	GO:0060089
LOCMI16348	LOCMI16348	GO:0060089
LOCMI03072	LOCMI03072	GO:0009165
LOCMI15777	LOCMI15777	GO:0009165
LOCMI15936	LOCMI15936	GO:0009165
LOCMI05620	LOCMI05620	GO:0042592
LOCMI06829	LOCMI06829	GO:0042592
LOCMI14692	LOCMI14692	GO:0007165
LOCMI16625	LOCMI16625	GO:0007165
LOCMI13964	LOCMI13964	GO:0007165
LOCMI13709	LOCMI13709	GO:0007165
LOCMI13685	LOCMI13685	GO:0007165
LOCMI07192	LOCMI07192	GO:0007165
LOCMI13302	LOCMI13302	GO:0007165
LOCMI16512	LOCMI16512	GO:0007165
LOCMI10579	LOCMI10579	GO:0007165
LOCMI03029	LOCMI03029	GO:0007165
LOCMI13121	LOCMI13121	GO:0007165
LOCMI15225	LOCMI15225	GO:0007165
LOCMI05065	LOCMI05065	GO:0007165
LOCMI16348	LOCMI16348	GO:0007165
LOCMI07446	LOCMI07446	GO:0007165
LOCMI14692	LOCMI14692	GO:0007166
LOCMI07446	LOCMI07446	GO:0007166
LOCMI03072	LOCMI03072	GO:0044283
LOCMI15777	LOCMI15777	GO:0044283
LOCMI15936	LOCMI15936	GO:0044283
LOCMI07552	LOCMI07552	GO:0009056
LOCMI05987	LOCMI05987	GO:0009056
LOCMI15745	LOCMI15745	GO:0043565
LOCMI06792	LOCMI06792	GO:0043565
LOCMI09745	LOCMI09745	GO:0071844
LOCMI12121	LOCMI12121	GO:0071844
LOCMI00454	LOCMI00454	GO:0030118
LOCMI09745	LOCMI09745	GO:0071842
LOCMI02995	LOCMI02995	GO:0071842
LOCMI05311	LOCMI05311	GO:0071842
LOCMI11532	LOCMI11532	GO:0071842
LOCMI12121	LOCMI12121	GO:0071842
LOCMI00454	LOCMI00454	GO:0030120
LOCMI09745	LOCMI09745	GO:0071840
LOCMI02995	LOCMI02995	GO:0071840
LOCMI05311	LOCMI05311	GO:0071840
LOCMI11532	LOCMI11532	GO:0071840
LOCMI12121	LOCMI12121	GO:0071840
LOCMI09745	LOCMI09745	GO:0071841
LOCMI02995	LOCMI02995	GO:0071841
LOCMI05311	LOCMI05311	GO:0071841
LOCMI11532	LOCMI11532	GO:0071841
LOCMI12121	LOCMI12121	GO:0071841
LOCMI00454	LOCMI00454	GO:0044433
LOCMI14692	LOCMI14692	GO:0051716
LOCMI16625	LOCMI16625	GO:0051716
LOCMI13964	LOCMI13964	GO:0051716
LOCMI13709	LOCMI13709	GO:0051716
LOCMI13685	LOCMI13685	GO:0051716
LOCMI07192	LOCMI07192	GO:0051716
LOCMI13302	LOCMI13302	GO:0051716
LOCMI16512	LOCMI16512	GO:0051716
LOCMI10579	LOCMI10579	GO:0051716
LOCMI03029	LOCMI03029	GO:0051716
LOCMI13121	LOCMI13121	GO:0051716
LOCMI15225	LOCMI15225	GO:0051716
LOCMI05065	LOCMI05065	GO:0051716
LOCMI16348	LOCMI16348	GO:0051716
LOCMI07446	LOCMI07446	GO:0051716
LOCMI06277	LOCMI06277	GO:0015081
LOCMI02454	LOCMI02454	GO:0015081
LOCMI01723	LOCMI01723	GO:0015081
LOCMI02751	LOCMI02751	GO:0044432
LOCMI15155	LOCMI15155	GO:0016021
LOCMI10200	LOCMI10200	GO:0016021
LOCMI01700	LOCMI01700	GO:0016021
LOCMI15206	LOCMI15206	GO:0016021
LOCMI16802	LOCMI16802	GO:0016021
LOCMI13272	LOCMI13272	GO:0016021
LOCMI08335	LOCMI08335	GO:0016021
LOCMI06277	LOCMI06277	GO:0016021
LOCMI02751	LOCMI02751	GO:0016021
LOCMI02454	LOCMI02454	GO:0016021
LOCMI08941	LOCMI08941	GO:0016021
LOCMI05083	LOCMI05083	GO:0016021
LOCMI12021	LOCMI12021	GO:0016021
LOCMI16797	LOCMI16797	GO:0016021
LOCMI13797	LOCMI13797	GO:0016021
LOCMI01723	LOCMI01723	GO:0016021
LOCMI07446	LOCMI07446	GO:0016021
LOCMI14467	LOCMI14467	GO:0016021
LOCMI14740	LOCMI14740	GO:0016021
LOCMI15155	LOCMI15155	GO:0016020
LOCMI10200	LOCMI10200	GO:0016020
LOCMI01700	LOCMI01700	GO:0016020
LOCMI15198	LOCMI15198	GO:0016020
LOCMI15206	LOCMI15206	GO:0016020
LOCMI03213	LOCMI03213	GO:0016020
LOCMI14139	LOCMI14139	GO:0016020
LOCMI03266	LOCMI03266	GO:0016020
LOCMI07641	LOCMI07641	GO:0016020
LOCMI05399	LOCMI05399	GO:0016020
LOCMI13455	LOCMI13455	GO:0016020
LOCMI06430	LOCMI06430	GO:0016020
LOCMI16802	LOCMI16802	GO:0016020
LOCMI03072	LOCMI03072	GO:0016020
LOCMI13272	LOCMI13272	GO:0016020
LOCMI12775	LOCMI12775	GO:0016020
LOCMI12774	LOCMI12774	GO:0016020
LOCMI08335	LOCMI08335	GO:0016020
LOCMI10954	LOCMI10954	GO:0016020
LOCMI06277	LOCMI06277	GO:0016020
LOCMI02751	LOCMI02751	GO:0016020
LOCMI02454	LOCMI02454	GO:0016020
LOCMI09192	LOCMI09192	GO:0016020
LOCMI08941	LOCMI08941	GO:0016020
LOCMI11505	LOCMI11505	GO:0016020
LOCMI05083	LOCMI05083	GO:0016020
LOCMI15777	LOCMI15777	GO:0016020
LOCMI12021	LOCMI12021	GO:0016020
LOCMI09833	LOCMI09833	GO:0016020
LOCMI12547	LOCMI12547	GO:0016020
LOCMI16797	LOCMI16797	GO:0016020
LOCMI03809	LOCMI03809	GO:0016020
LOCMI12447	LOCMI12447	GO:0016020
LOCMI13797	LOCMI13797	GO:0016020
LOCMI05065	LOCMI05065	GO:0016020
LOCMI16348	LOCMI16348	GO:0016020
LOCMI06254	LOCMI06254	GO:0016020
LOCMI01723	LOCMI01723	GO:0016020
LOCMI00454	LOCMI00454	GO:0016020
LOCMI04008	LOCMI04008	GO:0016020
LOCMI06131	LOCMI06131	GO:0016020
LOCMI07446	LOCMI07446	GO:0016020
LOCMI16647	LOCMI16647	GO:0016020
LOCMI14467	LOCMI14467	GO:0016020
LOCMI07430	LOCMI07430	GO:0016020
LOCMI14740	LOCMI14740	GO:0016020
LOCMI15936	LOCMI15936	GO:0016020
LOCMI16356	LOCMI16356	GO:0000166
LOCMI17077	LOCMI17077	GO:0000166
LOCMI11983	LOCMI11983	GO:0000166
LOCMI12827	LOCMI12827	GO:0000166
LOCMI13964	LOCMI13964	GO:0000166
LOCMI09745	LOCMI09745	GO:0000166
LOCMI02998	LOCMI02998	GO:0000166
LOCMI13709	LOCMI13709	GO:0000166
LOCMI05460	LOCMI05460	GO:0000166
LOCMI16594	LOCMI16594	GO:0000166
LOCMI12924	LOCMI12924	GO:0000166
LOCMI03252	LOCMI03252	GO:0000166
LOCMI11922	LOCMI11922	GO:0000166
LOCMI13302	LOCMI13302	GO:0000166
LOCMI10584	LOCMI10584	GO:0000166
LOCMI16635	LOCMI16635	GO:0000166
LOCMI15836	LOCMI15836	GO:0000166
LOCMI16516	LOCMI16516	GO:0000166
LOCMI16584	LOCMI16584	GO:0000166
LOCMI16423	LOCMI16423	GO:0000166
LOCMI16866	LOCMI16866	GO:0000166
LOCMI12121	LOCMI12121	GO:0000166
LOCMI16528	LOCMI16528	GO:0000166
LOCMI00957	LOCMI00957	GO:0000166
LOCMI16857	LOCMI16857	GO:0000166
LOCMI00454	LOCMI00454	GO:0030130
LOCMI08739	LOCMI08739	GO:0016311
LOCMI15746	LOCMI15746	GO:0016311
LOCMI14253	LOCMI14253	GO:0016740
LOCMI17077	LOCMI17077	GO:0016740
LOCMI12827	LOCMI12827	GO:0016740
LOCMI02998	LOCMI02998	GO:0016740
LOCMI16594	LOCMI16594	GO:0016740
LOCMI13140	LOCMI13140	GO:0016740
