GO-Elite ORA Results
File:
Table:
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
354 Ensembl source identifiers supplied in the input file:G5-VS-S5.up.txt
354 source identifiers meeting the filter linked to a Ensembl ID.
58 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
2427 Genes linked to a term.
The z score is based on an N of 2427 and a R of 58 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
ECM-receptor interaction:map04512	5	21	21	23.8095238095	100.0	6.45349120555	0.0015	0.1935
MAPK signaling pathway - fly:map04013	3	15	15	20.0	100.0	4.47858031357	0.0245	1.0
Phototransduction - fly:map04745	3	19	19	15.7894736842	100.0	3.83850423915	0.038	1.0
Phagosome:map04145	5	64	64	7.8125	100.0	2.87802010859	0.1005	1.0
Phenylalanine, tyrosine and tryptophan biosynthesis:map00400	1	5	5	20.0	100.0	2.58036606479	0.1905	1.0
Citrate cycle (TCA cycle):map00020	3	33	33	9.09090909091	100.0	2.53723926349	0.1325	1.0
Phenylalanine metabolism:map00360	2	18	18	11.1111111111	100.0	2.43119164311	0.1565	1.0
Jak-STAT signaling pathway:map04630	2	18	18	11.1111111111	100.0	2.43119164311	0.1675	1.0
Fatty acid degradation:map00071	3	38	38	7.89473684211	100.0	2.23901066036	0.1955	1.0
Arachidonic acid metabolism:map00590	2	22	22	9.09090909091	100.0	2.06690409925	0.2115	1.0
Nitrogen metabolism:map00910	1	7	7	14.2857142857	100.0	2.06328148793	0.237	1.0
Fatty acid metabolism:map01212	3	42	42	7.14285714286	100.0	2.03410709962	0.2335	1.0
Hippo signaling pathway -fly:map04391	3	44	44	6.81818181818	100.0	1.94057229023	0.259	1.0
Glutathione metabolism:map00480	3	44	44	6.81818181818	100.0	1.94057229023	0.2785	1.0
Amino sugar and nucleotide sugar metabolism:map00520	3	44	44	6.81818181818	100.0	1.94057229023	0.264	1.0
beta-Alanine metabolism:map00410	2	24	24	8.33333333333	100.0	1.91554971732	0.2315	1.0
Dorso-ventral axis formation:map04320	2	24	24	8.33333333333	100.0	1.91554971732	0.2595	1.0
Taurine and hypotaurine metabolism:map00430	1	8	8	12.5	100.0	1.87502146158	0.2935	1.0
Linoleic acid metabolism:map00591	1	8	8	12.5	100.0	1.87502146158	0.276	1.0
