Ensembl	symbol	GeneOntology
LOCMI05127	LOCMI05127	GO:0004252
LOCMI01848	LOCMI01848	GO:0004252
LOCMI01942	LOCMI01942	GO:0004252
LOCMI15039	LOCMI15039	GO:0004252
LOCMI15035	LOCMI15035	GO:0004252
LOCMI12964	LOCMI12964	GO:0004252
LOCMI06844	LOCMI06844	GO:0004252
LOCMI04023	LOCMI04023	GO:0004252
LOCMI07517	LOCMI07517	GO:0004252
LOCMI14929	LOCMI14929	GO:0004252
LOCMI08944	LOCMI08944	GO:0004252
LOCMI08721	LOCMI08721	GO:0004252
LOCMI07248	LOCMI07248	GO:0004252
LOCMI15127	LOCMI15127	GO:0004252
LOCMI15126	LOCMI15126	GO:0004252
LOCMI11832	LOCMI11832	GO:0004252
LOCMI17133	LOCMI17133	GO:0009167
LOCMI13781	LOCMI13781	GO:0009165
LOCMI17133	LOCMI17133	GO:0009165
LOCMI00523	LOCMI00523	GO:0009165
LOCMI16051	LOCMI16051	GO:0009165
LOCMI15172	LOCMI15172	GO:0009165
LOCMI16049	LOCMI16049	GO:0009165
LOCMI15783	LOCMI15783	GO:0009165
LOCMI00320	LOCMI00320	GO:0009165
LOCMI16006	LOCMI16006	GO:0009165
LOCMI00179	LOCMI00179	GO:0009165
LOCMI08135	LOCMI08135	GO:0009165
LOCMI00732	LOCMI00732	GO:0009165
LOCMI13781	LOCMI13781	GO:0044281
LOCMI14553	LOCMI14553	GO:0044281
LOCMI09770	LOCMI09770	GO:0044281
LOCMI01205	LOCMI01205	GO:0044281
LOCMI00168	LOCMI00168	GO:0044281
LOCMI17133	LOCMI17133	GO:0044281
LOCMI03605	LOCMI03605	GO:0044281
LOCMI00523	LOCMI00523	GO:0044281
LOCMI07464	LOCMI07464	GO:0044281
LOCMI00251	LOCMI00251	GO:0044281
LOCMI15130	LOCMI15130	GO:0044281
LOCMI16051	LOCMI16051	GO:0044281
LOCMI13091	LOCMI13091	GO:0044281
LOCMI09491	LOCMI09491	GO:0044281
LOCMI15172	LOCMI15172	GO:0044281
LOCMI05622	LOCMI05622	GO:0044281
LOCMI16049	LOCMI16049	GO:0044281
LOCMI15783	LOCMI15783	GO:0044281
LOCMI00320	LOCMI00320	GO:0044281
LOCMI16006	LOCMI16006	GO:0044281
LOCMI00179	LOCMI00179	GO:0044281
LOCMI14746	LOCMI14746	GO:0044281
LOCMI04589	LOCMI04589	GO:0044281
LOCMI08135	LOCMI08135	GO:0044281
LOCMI00732	LOCMI00732	GO:0044281
LOCMI01152	LOCMI01152	GO:0044281
LOCMI13781	LOCMI13781	GO:0044283
LOCMI17133	LOCMI17133	GO:0044283
LOCMI00523	LOCMI00523	GO:0044283
LOCMI16051	LOCMI16051	GO:0044283
LOCMI15172	LOCMI15172	GO:0044283
LOCMI16049	LOCMI16049	GO:0044283
LOCMI15783	LOCMI15783	GO:0044283
LOCMI00320	LOCMI00320	GO:0044283
LOCMI16006	LOCMI16006	GO:0044283
LOCMI00179	LOCMI00179	GO:0044283
LOCMI08135	LOCMI08135	GO:0044283
LOCMI00732	LOCMI00732	GO:0044283
LOCMI17133	LOCMI17133	GO:0009168
LOCMI00168	LOCMI00168	GO:0006306
LOCMI07118	LOCMI07118	GO:0051716
LOCMI07309	LOCMI07309	GO:0051716
LOCMI07788	LOCMI07788	GO:0051716
LOCMI16411	LOCMI16411	GO:0051716
LOCMI03952	LOCMI03952	GO:0051716
LOCMI14101	LOCMI14101	GO:0051716
LOCMI10713	LOCMI10713	GO:0051716
LOCMI17295	LOCMI17295	GO:0051716
LOCMI01390	LOCMI01390	GO:0051716
LOCMI01891	LOCMI01891	GO:0051716
LOCMI01299	LOCMI01299	GO:0051716
LOCMI02145	LOCMI02145	GO:0051716
LOCMI00168	LOCMI00168	GO:0006304
LOCMI00466	LOCMI00466	GO:0005839
LOCMI13695	LOCMI13695	GO:0005839
LOCMI10127	LOCMI10127	GO:0005839
LOCMI03019	LOCMI03019	GO:0005839
LOCMI01417	LOCMI01417	GO:0005839
LOCMI11978	LOCMI11978	GO:0000166
LOCMI05791	LOCMI05791	GO:0000166
LOCMI12094	LOCMI12094	GO:0000166
LOCMI07118	LOCMI07118	GO:0000166
LOCMI17220	LOCMI17220	GO:0000166
LOCMI14671	LOCMI14671	GO:0000166
LOCMI01205	LOCMI01205	GO:0000166
LOCMI15753	LOCMI15753	GO:0000166
LOCMI09428	LOCMI09428	GO:0000166
LOCMI07309	LOCMI07309	GO:0000166
LOCMI13564	LOCMI13564	GO:0000166
LOCMI03502	LOCMI03502	GO:0000166
LOCMI15493	LOCMI15493	GO:0000166
LOCMI15492	LOCMI15492	GO:0000166
LOCMI15491	LOCMI15491	GO:0000166
LOCMI15220	LOCMI15220	GO:0000166
LOCMI09890	LOCMI09890	GO:0000166
LOCMI05469	LOCMI05469	GO:0000166
LOCMI00523	LOCMI00523	GO:0000166
LOCMI09168	LOCMI09168	GO:0000166
LOCMI16787	LOCMI16787	GO:0000166
LOCMI06345	LOCMI06345	GO:0000166
LOCMI03952	LOCMI03952	GO:0000166
LOCMI04516	LOCMI04516	GO:0000166
LOCMI09660	LOCMI09660	GO:0000166
LOCMI03396	LOCMI03396	GO:0000166
LOCMI14101	LOCMI14101	GO:0000166
LOCMI10713	LOCMI10713	GO:0000166
LOCMI05293	LOCMI05293	GO:0000166
LOCMI04279	LOCMI04279	GO:0000166
LOCMI08865	LOCMI08865	GO:0000166
LOCMI01390	LOCMI01390	GO:0000166
LOCMI04087	LOCMI04087	GO:0000166
LOCMI14534	LOCMI14534	GO:0000166
LOCMI01611	LOCMI01611	GO:0000166
LOCMI07758	LOCMI07758	GO:0000166
LOCMI11139	LOCMI11139	GO:0000166
LOCMI02145	LOCMI02145	GO:0000166
LOCMI02568	LOCMI02568	GO:0000166
LOCMI06666	LOCMI06666	GO:0000166
LOCMI10225	LOCMI10225	GO:0000166
LOCMI12845	LOCMI12845	GO:0000166
LOCMI15125	LOCMI15125	GO:0000166
LOCMI17115	LOCMI17115	GO:0000166
LOCMI05719	LOCMI05719	GO:0000166
LOCMI15545	LOCMI15545	GO:0000166
LOCMI00320	LOCMI00320	GO:0000166
LOCMI15262	LOCMI15262	GO:0000166
LOCMI17240	LOCMI17240	GO:0000166
LOCMI16055	LOCMI16055	GO:0000166
LOCMI10328	LOCMI10328	GO:0000166
LOCMI13837	LOCMI13837	GO:0000166
LOCMI11999	LOCMI11999	GO:0000166
LOCMI00179	LOCMI00179	GO:0000166
LOCMI04278	LOCMI04278	GO:0000166
LOCMI08995	LOCMI08995	GO:0000166
LOCMI17217	LOCMI17217	GO:0000166
LOCMI03993	LOCMI03993	GO:0000166
LOCMI03994	LOCMI03994	GO:0000166
LOCMI17354	LOCMI17354	GO:0000166
LOCMI09724	LOCMI09724	GO:0000166
LOCMI00953	LOCMI00953	GO:0000166
LOCMI16634	LOCMI16634	GO:0000166
LOCMI16853	LOCMI16853	GO:0000166
LOCMI00732	LOCMI00732	GO:0000166
LOCMI01152	LOCMI01152	GO:0000166
LOCMI13781	LOCMI13781	GO:0009199
LOCMI00523	LOCMI00523	GO:0009199
LOCMI16051	LOCMI16051	GO:0009199
LOCMI16049	LOCMI16049	GO:0009199
LOCMI15783	LOCMI15783	GO:0009199
LOCMI00320	LOCMI00320	GO:0009199
