GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
480 Ensembl source identifiers supplied in the input file:Gadult-VS-Sadult.down.txt
480 source identifiers meeting the filter linked to a Ensembl ID.
444 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
8448 Genes linked to a term.
The z score is based on an N of 8448 and a R of 444 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0008152	metabolic process	biological_process	262	3442	3443	7.6118535735	99.970955562	8.04687181514	0.0	0.0041884057971
GO:0032991	macromolecular complex	cellular_component	71	574	574	12.3693379791	100.0	7.91063302311	0.0	0.0041884057971
GO:0005737	cytoplasm	cellular_component	74	634	634	11.6719242902	100.0	7.52746631013	0.0	0.0041884057971
GO:0016798	hydrolase activity, acting on glycosyl bonds	molecular_function	28	148	148	18.9189189189	100.0	7.51459438307	0.0	0.0041884057971
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	28	148	148	18.9189189189	100.0	7.51459438307	0.0	0.0041884057971
GO:0044238	primary metabolic process	biological_process	196	2449	2450	8.00326663944	99.9591836735	7.23046448612	0.0	0.0041884057971
GO:0044424	intracellular part	cellular_component	121	1289	1289	9.38712179984	100.0	7.22040989584	0.0	0.0041884057971
GO:0005975	carbohydrate metabolic process	biological_process	48	368	368	13.0434782609	100.0	6.84530727351	0.0	0.0041884057971
GO:0072528	pyrimidine-containing compound biosynthetic process	biological_process	4	6	6	66.6666666667	100.0	6.74309286471	0.0005	0.0041884057971
GO:0072527	pyrimidine-containing compound metabolic process	biological_process	4	6	6	66.6666666667	100.0	6.74309286471	0.0005	0.0041884057971
GO:0046131	pyrimidine ribonucleoside metabolic process	biological_process	4	6	6	66.6666666667	100.0	6.74309286471	0.0005	0.0041884057971
GO:0046051	UTP metabolic process	biological_process	4	6	6	66.6666666667	100.0	6.74309286471	0.0005	0.0041884057971
GO:0046039	GTP metabolic process	biological_process	4	6	6	66.6666666667	100.0	6.74309286471	0.0005	0.0041884057971
GO:0046036	CTP metabolic process	biological_process	4	6	6	66.6666666667	100.0	6.74309286471	0.0005	0.0041884057971
