Ensembl	symbol	KEGG
LOCMI15545	LOCMI15545	ABC transporters:map02010
LOCMI16027	LOCMI16027	Sphingolipid metabolism:map00600
LOCMI15933	LOCMI15933	Sphingolipid metabolism:map00600
LOCMI13781	LOCMI13781	Oxidative phosphorylation:map00190
LOCMI16102	LOCMI16102	Oxidative phosphorylation:map00190
LOCMI15981	LOCMI15981	Oxidative phosphorylation:map00190
LOCMI16051	LOCMI16051	Oxidative phosphorylation:map00190
LOCMI15796	LOCMI15796	Oxidative phosphorylation:map00190
LOCMI15895	LOCMI15895	Oxidative phosphorylation:map00190
LOCMI06328	LOCMI06328	Oxidative phosphorylation:map00190
LOCMI15837	LOCMI15837	Oxidative phosphorylation:map00190
LOCMI15830	LOCMI15830	Oxidative phosphorylation:map00190
LOCMI16049	LOCMI16049	Oxidative phosphorylation:map00190
LOCMI16006	LOCMI16006	Oxidative phosphorylation:map00190
LOCMI16008	LOCMI16008	Oxidative phosphorylation:map00190
LOCMI15853	LOCMI15853	Biosynthesis of unsaturated fatty acids:map01040
LOCMI06643	LOCMI06643	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI13965	LOCMI13965	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI08865	LOCMI08865	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI09283	LOCMI09283	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI04167	LOCMI04167	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI16055	LOCMI16055	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI00449	LOCMI00449	Riboflavin metabolism:map00740
LOCMI03958	LOCMI03958	Glycosaminoglycan degradation:map00531
LOCMI09283	LOCMI09283	Glycosaminoglycan degradation:map00531
LOCMI04276	LOCMI04276	Glycosaminoglycan degradation:map00531
LOCMI10636	LOCMI10636	Glycosaminoglycan degradation:map00531
LOCMI09890	LOCMI09890	Mismatch repair:map03430
LOCMI08026	LOCMI08026	Mismatch repair:map03430
LOCMI11880	LOCMI11880	Mismatch repair:map03430
LOCMI09283	LOCMI09283	Other glycan degradation:map00511
LOCMI15933	LOCMI15933	Other glycan degradation:map00511
LOCMI01253	LOCMI01253	Other glycan degradation:map00511
LOCMI15907	LOCMI15907	Glycolysis / Gluconeogenesis:map00010
LOCMI15918	LOCMI15918	Glycolysis / Gluconeogenesis:map00010
LOCMI16875	LOCMI16875	Glycolysis / Gluconeogenesis:map00010
LOCMI15896	LOCMI15896	Glycolysis / Gluconeogenesis:map00010
LOCMI15780	LOCMI15780	Glycolysis / Gluconeogenesis:map00010
LOCMI16055	LOCMI16055	Glycolysis / Gluconeogenesis:map00010
LOCMI06370	LOCMI06370	Regulation of autophagy:map04140
LOCMI02908	LOCMI02908	DNA replication:map03030
LOCMI09890	LOCMI09890	DNA replication:map03030
LOCMI08026	LOCMI08026	DNA replication:map03030
LOCMI11880	LOCMI11880	DNA replication:map03030
LOCMI10487	LOCMI10487	FoxO signaling pathway:map04068
LOCMI00751	LOCMI00751	FoxO signaling pathway:map04068
LOCMI06370	LOCMI06370	FoxO signaling pathway:map04068
LOCMI15755	LOCMI15755	FoxO signaling pathway:map04068
LOCMI10208	LOCMI10208	mRNA surveillance pathway:map03015
LOCMI04146	LOCMI04146	mRNA surveillance pathway:map03015
LOCMI17197	LOCMI17197	mRNA surveillance pathway:map03015
LOCMI04290	LOCMI04290	mRNA surveillance pathway:map03015
LOCMI04338	LOCMI04338	Starch and sucrose metabolism:map00500
LOCMI03958	LOCMI03958	Starch and sucrose metabolism:map00500
LOCMI17046	LOCMI17046	Starch and sucrose metabolism:map00500
LOCMI17032	LOCMI17032	Starch and sucrose metabolism:map00500
LOCMI08865	LOCMI08865	Starch and sucrose metabolism:map00500
LOCMI16055	LOCMI16055	Starch and sucrose metabolism:map00500
LOCMI08026	LOCMI08026	Fanconi anemia pathway:map03460
LOCMI07118	LOCMI07118	mTOR signaling pathway:map04150
LOCMI05791	LOCMI05791	Pyruvate metabolism:map00620
LOCMI15907	LOCMI15907	Pyruvate metabolism:map00620
LOCMI15882	LOCMI15882	Pyruvate metabolism:map00620
LOCMI15918	LOCMI15918	Pyruvate metabolism:map00620
LOCMI16875	LOCMI16875	Pyruvate metabolism:map00620
LOCMI15896	LOCMI15896	Pyruvate metabolism:map00620
LOCMI06696	LOCMI06696	Pyruvate metabolism:map00620
LOCMI15907	LOCMI15907	Fatty acid degradation:map00071
LOCMI15853	LOCMI15853	Fatty acid degradation:map00071
