GO-Elite ORA Results
File:
Table:
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
480 Ensembl source identifiers supplied in the input file:Gadult-VS-Sadult.down.txt
480 source identifiers meeting the filter linked to a Ensembl ID.
202 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
2427 Genes linked to a term.
The z score is based on an N of 2427 and a R of 202 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Ribosome:map03010	26	139	139	18.7050359712	100.0	4.56283789662	0.0	0.043
Pentose and glucuronate interconversions:map00040	10	47	47	21.2765957447	100.0	3.24581812311	0.0	0.043
Proteasome:map03050	9	42	42	21.4285714286	100.0	3.10105749872	0.001	0.043
Protein processing in endoplasmic reticulum:map04141	18	117	117	15.3846153846	100.0	2.83376270979	0.009	0.145125
SNARE interactions in vesicular transport:map04130	5	20	20	25.0	100.0	2.7106192361	0.0025	0.0645
Spliceosome:map03040	18	123	123	14.6341463415	100.0	2.60011053683	0.033	0.2660625
Glycosaminoglycan degradation:map00531	4	16	16	25.0	100.0	2.42243955588	0.007	0.129
Glutathione metabolism:map00480	8	44	44	18.1818181818	100.0	2.38870337262	0.0025	0.0645
Glycosphingolipid biosynthesis - globo series:map00603	2	6	6	33.3333333333	100.0	2.22009535121	0.0305	0.2623
Protein export:map03060	4	18	18	22.2222222222	100.0	2.14230753947	0.0155	0.205227272727
Lysosome:map04142	11	74	74	14.8648648649	100.0	2.06861079272	0.076	0.445636363636
Pyruvate metabolism:map00620	7	41	41	17.0731707317	100.0	2.04524859182	0.0065	0.129
Glyoxylate and dicarboxylate metabolism:map00630	4	21	21	19.0476190476	100.0	1.7865569896	0.029	0.2623
Other glycan degradation:map00511	3	14	14	21.4285714286	100.0	1.77997835916	0.0405	0.29025
Valine, leucine and isoleucine degradation:map00280	6	39	39	15.3846153846	100.0	1.60913204018	0.0175	0.205227272727
Peroxisome:map04146	9	66	66	13.6363636364	100.0	1.58403704905	0.105	0.520961538462
Vitamin B6 metabolism:map00750	1	3	3	33.3333333333	100.0	1.56887273855	0.147	0.59259375
Drug metabolism - cytochrome P450:map00982	6	40	40	15.0	100.0	1.54119477296	0.0165	0.205227272727
RNA polymerase:map03020	5	32	32	15.625	100.0	1.50500036457	0.03	0.2623
beta-Alanine metabolism:map00410	4	24	24	16.6666666667	100.0	1.48682025506	0.037	0.280764705882
Glycolysis / Gluconeogenesis:map00010	6	41	41	14.6341463415	100.0	1.47515345775	0.028	0.2623
Fructose and mannose metabolism:map00051	4	25	25	16.0	100.0	1.39652168647	0.053	0.359842105263
Butanoate metabolism:map00650	3	17	17	17.6470588235	100.0	1.39634878097	0.064	0.4128
Metabolism of xenobiotics by cytochrome P450:map00980	6	44	44	13.6363636364	100.0	1.28737679865	0.251	0.875108108108
Amino sugar and nucleotide sugar metabolism:map00520	6	44	44	13.6363636364	100.0	1.28737679865	0.247	0.875108108108
Oxidative phosphorylation:map00190	12	102	102	11.7647058824	100.0	1.28538354566	0.348	0.87548
Pyrimidine metabolism:map00240	10	83	83	12.0481927711	100.0	1.24991270164	0.3435	0.87548
Riboflavin metabolism:map00740	1	4	4	25.0	100.0	1.20821674908	0.1935	0.716871428571
Glycosphingolipid biosynthesis - ganglio series:map00604	1	4	4	25.0	100.0	1.20821674908	0.1945	0.716871428571
Histidine metabolism:map00340	3	19	19	15.7894736842	100.0	1.18259676546	0.0935	0.5025625
RNA degradation:map03018	7	57	57	12.2807017544	100.0	1.09440288327	0.398	0.87548
Fatty acid degradation:map00071	5	38	38	13.1578947368	100.0	1.08728226719	0.307	0.87548
Tryptophan metabolism:map00380	4	29	29	13.7931034483	100.0	1.0726100135	0.0755	0.445636363636
Notch signaling pathway:map04330	3	21	21	14.2857142857	100.0	0.993294308705	0.1005	0.51858
Ascorbate and aldarate metabolism:map00053	5	40	40	12.5	100.0	0.964138353033	0.306	0.87548
Mismatch repair:map03430	3	22	22	13.6363636364	100.0	0.906139705597	0.121	0.557464285714
Fatty acid elongation:map00062	2	14	14	14.2857142857	100.0	0.809844184965	0.1755	0.686045454545
Starch and sucrose metabolism:map00500	6	53	53	11.320754717	100.0	0.798662768013	0.47	0.87548
Porphyrin and chlorophyll metabolism:map00860	5	43	43	11.6279069767	100.0	0.791426425113	0.5905	0.909201923077
Galactose metabolism:map00052	3	24	24	12.5	100.0	0.744327917809	0.1405	0.586741935484
Purine metabolism:map00230	12	118	119	10.1694915254	99.1596638655	0.744291710769	0.7045	0.909201923077
Drug metabolism - other enzymes:map00983	5	44	44	11.3636363636	100.0	0.736713511673	0.571	0.909201923077
Glycerolipid metabolism:map00561	4	35	35	11.4285714286	100.0	0.669830451388	0.4015	0.87548
DNA replication:map03030	4	36	36	11.1111111111	100.0	0.610015614027	0.411	0.87548
Propanoate metabolism:map00640	3	27	27	11.1111111111	100.0	0.527297546165	0.5075	0.87548
Steroid biosynthesis:map00100	1	8	8	12.5	100.0	0.42831435732	0.341	0.87548
Glycine, serine and threonine metabolism:map00260	3	30	30	10.0	100.0	0.334522801711	0.528	0.884571428571
Phagosome:map04145	6	64	64	9.375	100.0	0.308698777974	0.83	0.972148648649
Non-homologous end-joining:map03450	1	9	9	11.1111111111	100.0	0.303300129355	0.3855	0.87548
Pentose phosphate pathway:map00030	2	20	20	10.0	100.0	0.272568753327	0.6735	0.909201923077
Carbon metabolism:map01200	8	88	88	9.09090909091	100.0	0.265578006686	0.8955	1.0
N-Glycan biosynthesis:map00510	3	32	32	9.375	100.0	0.216819837393	0.8365	0.972148648649
Sphingolipid metabolism:map00600	2	24	24	8.33333333333	100.0	0.0018355805618	0.733	0.909201923077
Homologous recombination:map03440	2	24	24	8.33333333333	100.0	0.0018355805618	0.743	0.912828571429
alpha-Linolenic acid metabolism:map00592	1	12	12	8.33333333333	100.0	0.00129472272268	0.4875	0.87548
Alanine, aspartate and glutamate metabolism:map00250	2	27	27	7.40740740741	100.0	-0.173168323864	0.7875	0.940625
Nucleotide excision repair:map03420	3	40	40	7.5	100.0	-0.189974486825	0.8865	1.0
Arginine and proline metabolism:map00330	3	40	40	7.5	100.0	-0.189974486825	0.8975	1.0
MAPK signaling pathway - fly:map04013	1	15	15	6.66666666667	100.0	-0.23290978622	0.577	0.909201923077
Biosynthesis of unsaturated fatty acids:map01040	1	15	15	6.66666666667	100.0	-0.23290978622	0.5685	0.909201923077
FoxO signaling pathway:map04068	4	54	54	7.40740740741	100.0	-0.246286270853	0.949	1.0
Fatty acid metabolism:map01212	3	42	42	7.14285714286	100.0	-0.27925534628	0.9055	1.0
Insect hormone biosynthesis:map00981	1	16	16	6.25	100.0	-0.301121655726	0.6005	0.909201923077
Retinol metabolism:map00830	2	30	30	6.66666666667	100.0	-0.330413184983	0.7975	0.943830275229
Lysine degradation:map00310	3	44	44	6.81818181818	100.0	-0.364613062291	0.786	0.940625
Tyrosine metabolism:map00350	1	17	17	5.88235294118	100.0	-0.365511625275	0.608	0.909201923077
Lysine biosynthesis:map00300	0	2	2	0.0	100.0	-0.426201723584	1.0	1.0
Glycosaminoglycan biosynthesis - keratan sulfate:map00533	0	2	2	0.0	100.0	-0.426201723584	1.0	1.0
Caffeine metabolism:map00232	0	2	2	0.0	100.0	-0.426201723584	1.0	1.0
Biotin metabolism:map00780	0	2	2	0.0	100.0	-0.426201723584	1.0	1.0
Jak-STAT signaling pathway:map04630	1	18	18	5.55555555556	100.0	-0.42655629368	0.6325	0.909201923077
Citrate cycle (TCA cycle):map00020	2	33	33	6.06060606061	100.0	-0.473635074682	0.677	0.909201923077
Valine, leucine and isoleucine biosynthesis:map00290	0	3	3	0.0	100.0	-0.522096034904	1.0	1.0
Thiamine metabolism:map00730	0	3	3	0.0	100.0	-0.522096034904	1.0	1.0
Lipoic acid metabolism:map00785	0	3	3	0.0	100.0	-0.522096034904	1.0	1.0
Degradation of aromatic compounds:map01220	0	3	3	0.0	100.0	-0.522096034904	1.0	1.0
D-Glutamine and D-glutamate metabolism:map00471	0	3	3	0.0	100.0	-0.522096034904	1.0	1.0
