GO-Elite ORA Results
File:
Table:
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
609 Ensembl source identifiers supplied in the input file:Gadult-VS-Sadult.up.txt
609 source identifiers meeting the filter linked to a Ensembl ID.
105 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
1412 Genes linked to a term.
The z score is based on an N of 1412 and a R of 105 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Histone H2B:IPR000558	9	16	16	56.25	100.0	7.48212777474	0.0	0.0333333333333
Histone H3:IPR000164	7	13	13	53.8461538462	100.0	6.40529517909	0.0	0.0333333333333
Cysteine-rich flanking region, C-terminal domain:IPR000483	6	18	18	33.3333333333	100.0	4.21328951018	0.0005	0.0333333333333
Major intrinsic protein:IPR000425	4	10	10	40.0	100.0	3.93754947465	0.0045	0.225
Activin type II receptor:IPR000333	1	1	1	100.0	100.0	3.52811834377	0.072	1.0
ATPase, F0 complex, subunit C:IPR000454	1	1	1	100.0	100.0	3.52811834377	0.0695	1.0
Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172	6	27	27	22.2222222222	100.0	2.95578152041	0.009	0.36
Ets:IPR000418	2	5	5	40.0	100.0	2.77931636065	0.047	1.0
FeS cluster biogenesis:IPR000361	1	2	2	50.0	100.0	2.2951494866	0.1535	1.0
Biotin/lipoyl attachment:IPR000089	2	7	7	28.5714285714	100.0	2.13590691319	0.068	1.0
Proteasome, alpha-subunit, conserved site:IPR000426	2	8	8	25.0	100.0	1.89820968091	0.0945	1.0
PAK-box/P21-Rho-binding:IPR000095	2	8	8	25.0	100.0	1.89820968091	0.0985	1.0
Protease inhibitor I4, serpin:IPR000215	4	23	23	17.3913043478	100.0	1.83409457922	0.0665	1.0
TGF-beta receptor/activin receptor, type I/II:IPR000472	1	3	3	33.3333333333	100.0	1.71088794877	0.1995	1.0
Lipocalin/cytosolic fatty-acid binding protein:IPR000566	2	9	9	22.2222222222	100.0	1.6955388819	0.121	1.0
Zinc finger, ZZ-type:IPR000433	2	10	10	20.0	100.0	1.51918503002	0.1405	1.0
Toll-Interleukin receptor:IPR000157	2	10	10	20.0	100.0	1.51918503002	0.1565	1.0
Regulator of G protein signalling:IPR000342	2	11	11	18.1818181818	100.0	1.36323896223	0.181	1.0
SWAP/Surp:IPR000061	1	4	4	25.0	100.0	1.34032899489	0.242	1.0
Ran binding protein 1:IPR000156	1	4	4	25.0	100.0	1.34032899489	0.2455	1.0
Cell division/GTP binding protein:IPR000038	1	4	4	25.0	100.0	1.34032899489	0.242	1.0
LDLR class B repeat:IPR000033	2	13	13	15.3846153846	100.0	1.09699796529	0.221	1.0
Peptidase T1A, proteasome beta-subunit:IPR000243	1	5	5	20.0	100.0	1.07231562066	0.313	1.0
Laminin B type IV:IPR000034	1	5	5	20.0	100.0	1.07231562066	0.3065	1.0
IQ motif, EF-hand binding site:IPR000048	3	24	24	12.5	100.0	0.953340390135	0.218	1.0
Tubulin:IPR000217	4	35	35	11.4285714286	100.0	0.91129115809	0.424	1.0
NUDIX hydrolase domain:IPR000086	2	15	15	13.3333333333	100.0	0.874882378687	0.291	1.0
GCN5-related N-acetyltransferase (GNAT) domain:IPR000182	2	15	15	13.3333333333	100.0	0.874882378687	0.262	1.0
Leucine-rich repeat-containing N-terminal:IPR000372	1	6	6	16.6666666667	100.0	0.863315485602	0.3625	1.0
Zinc finger, AN1-type:IPR000058	1	7	7	14.2857142857	100.0	0.692201522369	0.3825	1.0
