Ensembl	symbol	GeneOntology
LOCMI16292	LOCMI16292	GO:0004252
LOCMI07572	LOCMI07572	GO:0004252
LOCMI06127	LOCMI06127	GO:0004252
LOCMI04649	LOCMI04649	GO:0004252
LOCMI08332	LOCMI08332	GO:0004252
LOCMI05772	LOCMI05772	GO:0004252
LOCMI02542	LOCMI02542	GO:0004252
LOCMI16349	LOCMI16349	GO:0004252
LOCMI06440	LOCMI06440	GO:0004252
LOCMI13333	LOCMI13333	GO:0004252
LOCMI05800	LOCMI05800	GO:0004252
LOCMI16415	LOCMI16415	GO:0004252
LOCMI02910	LOCMI02910	GO:0004252
LOCMI09110	LOCMI09110	GO:0009167
LOCMI09110	LOCMI09110	GO:0009165
LOCMI15911	LOCMI15911	GO:0009165
LOCMI01274	LOCMI01274	GO:0009165
LOCMI06569	LOCMI06569	GO:0009165
LOCMI13712	LOCMI13712	GO:0044281
LOCMI00197	LOCMI00197	GO:0044281
LOCMI17073	LOCMI17073	GO:0044281
LOCMI09772	LOCMI09772	GO:0044281
LOCMI09110	LOCMI09110	GO:0044281
LOCMI02396	LOCMI02396	GO:0044281
LOCMI15911	LOCMI15911	GO:0044281
LOCMI08549	LOCMI08549	GO:0044281
LOCMI01274	LOCMI01274	GO:0044281
LOCMI03436	LOCMI03436	GO:0044281
LOCMI10574	LOCMI10574	GO:0044281
LOCMI03663	LOCMI03663	GO:0044281
LOCMI08638	LOCMI08638	GO:0044281
LOCMI06569	LOCMI06569	GO:0044281
LOCMI16397	LOCMI16397	GO:0044281
LOCMI09110	LOCMI09110	GO:0009161
LOCMI09110	LOCMI09110	GO:0009168
LOCMI16619	LOCMI16619	GO:0051716
LOCMI15533	LOCMI15533	GO:0051716
LOCMI16536	LOCMI16536	GO:0051716
LOCMI09321	LOCMI09321	GO:0051716
LOCMI16625	LOCMI16625	GO:0051716
LOCMI13709	LOCMI13709	GO:0051716
LOCMI17160	LOCMI17160	GO:0051716
LOCMI07192	LOCMI07192	GO:0051716
LOCMI13302	LOCMI13302	GO:0051716
LOCMI03029	LOCMI03029	GO:0051716
LOCMI14692	LOCMI14692	GO:0051716
