GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
609 Ensembl source identifiers supplied in the input file:Gadult-VS-Sadult.up.txt
609 source identifiers meeting the filter linked to a Ensembl ID.
587 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
8448 Genes linked to a term.
The z score is based on an N of 8448 and a R of 587 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0000785	chromatin	cellular_component	27	70	70	38.5714285714	100.0	10.4479152527	0.0	0.00996551724138
GO:0051276	chromosome organization	biological_process	27	73	73	36.9863013699	100.0	10.1364516941	0.0	0.00996551724138
GO:0006996	organelle organization	biological_process	27	73	73	36.9863013699	100.0	10.1364516941	0.0	0.00996551724138
GO:0006333	chromatin assembly or disassembly	biological_process	27	73	73	36.9863013699	100.0	10.1364516941	0.0	0.00996551724138
GO:0006325	chromatin organization	biological_process	27	73	73	36.9863013699	100.0	10.1364516941	0.0	0.00996551724138
GO:0044427	chromosomal part	cellular_component	27	75	75	36.0	100.0	9.9381945157	0.0	0.00996551724138
GO:0005198	structural molecule activity	molecular_function	68	337	337	20.178041543	100.0	9.74705358651	0.0	0.00996551724138
GO:0071842	cellular component organization at cellular level	biological_process	32	117	117	27.3504273504	100.0	8.73906766925	0.0	0.00996551724138
GO:0071841	cellular component organization or biogenesis at cellular level	biological_process	32	117	117	27.3504273504	100.0	8.73906766925	0.0	0.00996551724138
GO:0071840	cellular component organization or biogenesis	biological_process	32	117	117	27.3504273504	100.0	8.73906766925	0.0	0.00996551724138
GO:0016043	cellular component organization	biological_process	32	117	117	27.3504273504	100.0	8.73906766925	0.0	0.00996551724138
GO:0005694	chromosome	cellular_component	27	108	108	25.0	100.0	7.4249236884	0.0	0.00996551724138
GO:0005506	iron ion binding	molecular_function	34	174	174	19.5402298851	100.0	6.6001416575	0.0	0.00996551724138
GO:0046906	tetrapyrrole binding	molecular_function	33	167	167	19.7604790419	100.0	6.57633593518	0.0	0.00996551724138
GO:0020037	heme binding	molecular_function	33	167	167	19.7604790419	100.0	6.57633593518	0.0	0.00996551724138
GO:0005975	carbohydrate metabolic process	biological_process	56	368	368	15.2173913043	100.0	6.37849889969	0.0	0.00996551724138
GO:0009072	aromatic amino acid family metabolic process	biological_process	5	9	9	55.5555555556	100.0	5.73750741887	0.0	0.00996551724138
GO:0044446	intracellular organelle part	cellular_component	39	242	242	16.1157024793	100.0	5.69024751888	0.0	0.00996551724138
GO:0044422	organelle part	cellular_component	39	242	242	16.1157024793	100.0	5.69024751888	0.0	0.00996551724138
GO:0016491	oxidoreductase activity	molecular_function	80	658	658	12.1580547112	100.0	5.47269420928	0.0	0.00996551724138
GO:0055114	oxidation-reduction process	biological_process	65	515	515	12.6213592233	100.0	5.2244732125	0.0	0.00996551724138
GO:0006725	cellular aromatic compound metabolic process	biological_process	5	13	13	38.4615384615	100.0	4.47165335655	0.001	0.0192666666667
GO:0006950	response to stress	biological_process	22	147	147	14.9659863946	100.0	3.85642461162	0.0005	0.00996551724138
GO:0043232	intracellular non-membrane-bounded organelle	cellular_component	36	285	285	12.6315789474	100.0	3.83828146528	0.0005	0.00996551724138
GO:0043228	non-membrane-bounded organelle	cellular_component	36	285	285	12.6315789474	100.0	3.83828146528	0.0005	0.00996551724138
GO:0051015	actin filament binding	molecular_function	1	1	1	100.0	100.0	3.65948395651	0.0685	0.404010204082
GO:0016823	hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances	molecular_function	1	1	1	100.0	100.0	3.65948395651	0.068	0.404010204082
GO:0016822	hydrolase activity, acting on acid carbon-carbon bonds	molecular_function	1	1	1	100.0	100.0	3.65948395651	0.068	0.404010204082
GO:0008092	cytoskeletal protein binding	molecular_function	1	1	1	100.0	100.0	3.65948395651	0.0685	0.404010204082
GO:0004334	fumarylacetoacetase activity	molecular_function	1	1	1	100.0	100.0	3.65948395651	0.068	0.404010204082
GO:0003779	actin binding	molecular_function	1	1	1	100.0	100.0	3.65948395651	0.0685	0.404010204082
GO:0008150	biological_process	biological_process	392	5087	5088	7.70591704344	99.9803459119	3.368541257	0.002	0.0312432432432
GO:0008152	metabolic process	biological_process	276	3442	3443	8.01859384079	99.970955562	3.20755164456	0.0025	0.035243902439
GO:0009055	electron carrier activity	molecular_function	22	174	174	12.6436781609	100.0	2.98524349402	0.003	0.0394090909091
GO:0016798	hydrolase activity, acting on glycosyl bonds	molecular_function	19	148	148	12.8378378378	100.0	2.84258580842	0.0055	0.0623333333333
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	19	148	148	12.8378378378	100.0	2.84258580842	0.0055	0.0623333333333
GO:0009628	response to abiotic stimulus	biological_process	3	11	11	27.2727272727	100.0	2.65256424635	0.0425	0.2924
GO:0009408	response to heat	biological_process	3	11	11	27.2727272727	100.0	2.65256424635	0.0425	0.2924
GO:0009266	response to temperature stimulus	biological_process	3	11	11	27.2727272727	100.0	2.65256424635	0.0425	0.2924
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	molecular_function	9	58	58	15.5172413793	100.0	2.57515172681	0.017	0.142405797101
GO:0005215	transporter activity	molecular_function	58	631	631	9.19175911252	100.0	2.30378811726	0.0245	0.191364864865
GO:0046872	metal ion binding	molecular_function	100	1185	1185	8.4388185654	100.0	2.17600294136	0.038	0.27455
GO:0043169	cation binding	molecular_function	100	1185	1185	8.4388185654	100.0	2.17600294136	0.038	0.27455
GO:0043167	ion binding	molecular_function	100	1185	1185	8.4388185654	100.0	2.17600294136	0.038	0.27455
GO:0044238	primary metabolic process	biological_process	193	2449	2450	7.88076766027	99.9591836735	2.15324751079	0.043	0.2924
GO:0005509	calcium ion binding	molecular_function	20	188	188	10.6382978723	100.0	2.01210949152	0.051	0.331213483146
GO:0019773	proteasome core complex, alpha-subunit complex	cellular_component	2	8	8	25.0	100.0	2.00880098286	0.0945	0.510476635514
GO:0003677	DNA binding	molecular_function	42	468	468	8.97435897436	100.0	1.77337851355	0.0945	0.510476635514
GO:0022610	biological adhesion	biological_process	11	96	96	11.4583333333	100.0	1.74766684655	0.099	0.524972477064
GO:0007155	cell adhesion	biological_process	11	96	96	11.4583333333	100.0	1.74766684655	0.099	0.524972477064
GO:0044424	intracellular part	cellular_component	104	1289	1289	8.06826997673	100.0	1.71758762273	0.101	0.530709090909
GO:0003700	sequence-specific DNA binding transcription factor activity	molecular_function	14	132	132	10.6060606061	100.0	1.66564138547	0.1145	0.560855932203
GO:0001071	nucleic acid binding transcription factor activity	molecular_function	14	132	132	10.6060606061	100.0	1.66564138547	0.1145	0.560855932203
GO:0016459	myosin complex	cellular_component	4	27	27	14.8148148148	100.0	1.60999541674	0.106	0.547035714286
GO:0005634	nucleus	cellular_component	45	521	521	8.63723608445	100.0	1.56495433119	0.138	0.65318699187
GO:0044430	cytoskeletal part	cellular_component	10	90	90	11.1111111111	100.0	1.56132953288	0.12	0.575611570248
GO:0043565	sequence-specific DNA binding	molecular_function	10	94	94	10.6382978723	100.0	1.4147490145	0.2155	0.754903030303
GO:0051234	establishment of localization	biological_process	79	992	992	7.96370967742	100.0	1.33860618781	0.177	0.661610062893
GO:0006810	transport	biological_process	79	992	992	7.96370967742	100.0	1.33860618781	0.177	0.661610062893
GO:0070003	threonine-type peptidase activity	molecular_function	3	22	22	13.6363636364	100.0	1.2352144375	0.19	0.677901234568
GO:0005839	proteasome core complex	cellular_component	3	22	22	13.6363636364	100.0	1.2352144375	0.19	0.677901234568
GO:0004298	threonine-type endopeptidase activity	molecular_function	3	22	22	13.6363636364	100.0	1.2352144375	0.19	0.677901234568
GO:0043231	intracellular membrane-bounded organelle	cellular_component	47	574	574	8.1881533101	100.0	1.20988521885	0.243	0.807206896552
GO:0043227	membrane-bounded organelle	cellular_component	47	574	574	8.1881533101	100.0	1.20988521885	0.243	0.807206896552
GO:0003924	GTPase activity	molecular_function	10	100	100	10.0	100.0	1.20721602325	0.2385	0.807206896552
GO:0016787	hydrolase activity	molecular_function	109	1419	1419	7.681465821	100.0	1.19053025125	0.253	0.830875
GO:0046914	transition metal ion binding	molecular_function	73	926	926	7.88336933045	100.0	1.18573590814	0.2475	0.817457142857
GO:0003824	catalytic activity	molecular_function	251	3419	3420	7.34132787365	99.9707602339	1.17106138145	0.281	0.877935135135
GO:0043229	intracellular organelle	cellular_component	63	792	792	7.95454545455	100.0	1.16969828313	0.2805	0.877935135135
GO:0043226	organelle	cellular_component	63	792	792	7.95454545455	100.0	1.16969828313	0.2805	0.877935135135
