GO-Elite ORA Results
File:
Table:
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
609 Ensembl source identifiers supplied in the input file:Gadult-VS-Sadult.up.txt
609 source identifiers meeting the filter linked to a Ensembl ID.
128 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
2427 Genes linked to a term.
The z score is based on an N of 2427 and a R of 128 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Phenylalanine metabolism:map00360	6	18	18	33.3333333333	100.0	5.34485456305	0.0005	0.03225
Phototransduction - fly:map04745	6	19	19	31.5789473684	100.0	5.14904499467	0.0005	0.03225
MAPK signaling pathway - fly:map04013	4	15	15	26.6666666667	100.0	3.71759940013	0.017	0.693375
Biosynthesis of amino acids:map01230	8	54	54	14.8148148148	100.0	3.17156885059	0.0215	0.693375
Lysine biosynthesis:map00300	1	2	2	50.0	100.0	2.83047864064	0.1435	1.0
Caffeine metabolism:map00232	1	2	2	50.0	100.0	2.83047864064	0.125	1.0
Biotin metabolism:map00780	1	2	2	50.0	100.0	2.83047864064	0.1425	1.0
Ascorbate and aldarate metabolism:map00053	6	40	40	15.0	100.0	2.77446160259	0.06	1.0
Pyruvate metabolism:map00620	6	41	41	14.6341463415	100.0	2.70383392837	0.064	1.0
Glycolysis / Gluconeogenesis:map00010	6	41	41	14.6341463415	100.0	2.70383392837	0.058	1.0
Inositol phosphate metabolism:map00562	5	38	38	13.1578947368	100.0	2.19111513771	0.1145	1.0
Degradation of aromatic compounds:map01220	1	3	3	33.3333333333	100.0	2.17526593776	0.2075	1.0
Jak-STAT signaling pathway:map04630	3	18	18	16.6666666667	100.0	2.17012083213	0.104	1.0
Carbon metabolism:map01200	9	88	88	10.2272727273	100.0	2.11718641157	0.145	1.0
Purine metabolism:map00230	11	118	119	9.32203389831	99.1596638655	2.01657228241	0.182	1.0
Pentose phosphate pathway:map00030	3	20	20	15.0	100.0	1.95367304826	0.1595	1.0
ECM-receptor interaction:map04512	3	21	21	14.2857142857	100.0	1.85528192864	0.1815	1.0
Citrate cycle (TCA cycle):map00020	4	33	33	12.1212121212	100.0	1.77153334345	0.207	1.0
Phenylalanine, tyrosine and tryptophan biosynthesis:map00400	1	5	5	20.0	100.0	1.47442745347	0.3015	1.0
Starch and sucrose metabolism:map00500	5	53	53	9.43396226415	100.0	1.36970672059	0.2945	1.0
Insect hormone biosynthesis:map00981	2	16	16	12.5	100.0	1.29717926496	0.3065	1.0
Proteasome:map03050	4	42	42	9.52380952381	100.0	1.24276936435	0.328	1.0
Tyrosine metabolism:map00350	2	17	17	11.7647058824	100.0	1.20129181635	0.34	1.0
Wnt signaling pathway:map04310	5	58	58	8.62068965517	100.0	1.15395136416	0.4545	1.0
Hippo signaling pathway -fly:map04391	4	44	44	9.09090909091	100.0	1.142922398	0.3405	1.0
Synthesis and degradation of ketone bodies:map00072	1	7	7	14.2857142857	100.0	1.06804466622	0.4075	1.0
Nitrogen metabolism:map00910	1	7	7	14.2857142857	100.0	1.06804466622	0.394	1.0
RNA polymerase:map03020	3	32	32	9.375	100.0	1.04460624158	0.38	1.0
Phagosome:map04145	5	64	64	7.8125	100.0	0.920610358294	0.5145	1.0
Mucin type O-glycan biosynthesis:map00512	1	8	8	12.5	100.0	0.915726265616	0.436	1.0
Circadian rhythm - fly:map04711	1	8	8	12.5	100.0	0.915726265616	0.4495	1.0
Glyoxylate and dicarboxylate metabolism:map00630	2	21	21	9.52380952381	100.0	0.874927206062	0.4345	1.0
Arachidonic acid metabolism:map00590	2	22	22	9.09090909091	100.0	0.804463282488	0.4365	1.0
Sphingolipid metabolism:map00600	2	24	24	8.33333333333	100.0	0.673745878117	0.4815	1.0
Dorso-ventral axis formation:map04320	2	24	24	8.33333333333	100.0	0.673745878117	0.499	1.0
Pantothenate and CoA biosynthesis:map00770	1	10	10	10.0	100.0	0.669878471206	0.5035	1.0
Glutathione metabolism:map00480	3	44	44	6.81818181818	100.0	0.462384453951	0.738	1.0
Amino sugar and nucleotide sugar metabolism:map00520	3	44	44	6.81818181818	100.0	0.462384453951	0.7435	1.0
Cysteine and methionine metabolism:map00270	2	28	29	7.14285714286	96.5517241379	0.444918545832	0.578	1.0
Tryptophan metabolism:map00380	2	29	29	6.89655172414	100.0	0.393199940449	0.8625	1.0
