Ensembl	symbol	GeneOntology
LOCMI08944	LOCMI08944	GO:0004252
LOCMI14929	LOCMI14929	GO:0004252
LOCMI04023	LOCMI04023	GO:0004252
LOCMI15035	LOCMI15035	GO:0004252
LOCMI07248	LOCMI07248	GO:0004252
LOCMI07517	LOCMI07517	GO:0004252
LOCMI15127	LOCMI15127	GO:0004252
LOCMI15126	LOCMI15126	GO:0004252
LOCMI00858	LOCMI00858	GO:0005783
LOCMI11649	LOCMI11649	GO:0000087
LOCMI00858	LOCMI00858	GO:0005789
LOCMI02151	LOCMI02151	GO:0055072
LOCMI14448	LOCMI14448	GO:0055072
LOCMI02150	LOCMI02150	GO:0055072
LOCMI02151	LOCMI02151	GO:0006826
LOCMI14448	LOCMI14448	GO:0006826
LOCMI02150	LOCMI02150	GO:0006826
LOCMI00125	LOCMI00125	GO:0008270
LOCMI03536	LOCMI03536	GO:0008270
LOCMI14142	LOCMI14142	GO:0008270
LOCMI03626	LOCMI03626	GO:0008270
LOCMI03312	LOCMI03312	GO:0008270
LOCMI03374	LOCMI03374	GO:0008270
LOCMI11744	LOCMI11744	GO:0030529
LOCMI00502	LOCMI00502	GO:0030529
LOCMI02771	LOCMI02771	GO:0030529
LOCMI07717	LOCMI07717	GO:0030529
LOCMI11190	LOCMI11190	GO:0030529
LOCMI05551	LOCMI05551	GO:0030529
LOCMI00545	LOCMI00545	GO:0071842
LOCMI00545	LOCMI00545	GO:0071840
LOCMI00545	LOCMI00545	GO:0071841
LOCMI00858	LOCMI00858	GO:0016021
LOCMI00858	LOCMI00858	GO:0016020
LOCMI02771	LOCMI02771	GO:0016020
LOCMI03210	LOCMI03210	GO:0000166
LOCMI12827	LOCMI12827	GO:0000166
LOCMI17033	LOCMI17033	GO:0016740
LOCMI12827	LOCMI12827	GO:0016740
LOCMI03312	LOCMI03312	GO:0016740
LOCMI17005	LOCMI17005	GO:0016740
LOCMI00125	LOCMI00125	GO:0046872
LOCMI03179	LOCMI03179	GO:0046872
LOCMI02151	LOCMI02151	GO:0046872
LOCMI03536	LOCMI03536	GO:0046872
LOCMI14142	LOCMI14142	GO:0046872
LOCMI03626	LOCMI03626	GO:0046872
LOCMI16209	LOCMI16209	GO:0046872
LOCMI03312	LOCMI03312	GO:0046872
LOCMI03374	LOCMI03374	GO:0046872
LOCMI14448	LOCMI14448	GO:0046872
LOCMI14902	LOCMI14902	GO:0046872
LOCMI02150	LOCMI02150	GO:0046872
LOCMI16146	LOCMI16146	GO:0046872
LOCMI02151	LOCMI02151	GO:0019725
LOCMI14448	LOCMI14448	GO:0019725
LOCMI02150	LOCMI02150	GO:0019725
LOCMI03374	LOCMI03374	GO:0004222
LOCMI08944	LOCMI08944	GO:0017171
LOCMI14929	LOCMI14929	GO:0017171
LOCMI04023	LOCMI04023	GO:0017171
LOCMI15035	LOCMI15035	GO:0017171
LOCMI07248	LOCMI07248	GO:0017171
LOCMI07517	LOCMI07517	GO:0017171
LOCMI15127	LOCMI15127	GO:0017171
LOCMI15126	LOCMI15126	GO:0017171
LOCMI00586	LOCMI00586	GO:0006605
LOCMI00585	LOCMI00585	GO:0006605
LOCMI00586	LOCMI00586	GO:0045184
LOCMI00585	LOCMI00585	GO:0045184
LOCMI00858	LOCMI00858	GO:0045184
LOCMI03210	LOCMI03210	GO:0043436
LOCMI00125	LOCMI00125	GO:0055114
LOCMI16688	LOCMI16688	GO:0055114
LOCMI15906	LOCMI15906	GO:0055114
LOCMI16258	LOCMI16258	GO:0055114
LOCMI15867	LOCMI15867	GO:0055114
LOCMI02151	LOCMI02151	GO:0055114
LOCMI15907	LOCMI15907	GO:0055114
LOCMI16209	LOCMI16209	GO:0055114
LOCMI03761	LOCMI03761	GO:0055114
LOCMI03312	LOCMI03312	GO:0055114
LOCMI14448	LOCMI14448	GO:0055114
LOCMI02150	LOCMI02150	GO:0055114
LOCMI16146	LOCMI16146	GO:0055114
LOCMI00586	LOCMI00586	GO:0043234
LOCMI00585	LOCMI00585	GO:0043234
LOCMI02151	LOCMI02151	GO:0065008
LOCMI14448	LOCMI14448	GO:0065008
LOCMI02150	LOCMI02150	GO:0065008
LOCMI00858	LOCMI00858	GO:0043231
LOCMI11649	LOCMI11649	GO:0043231
LOCMI03626	LOCMI03626	GO:0043231
LOCMI00545	LOCMI00545	GO:0043231
LOCMI02114	LOCMI02114	GO:0043231
LOCMI11744	LOCMI11744	GO:0043232
LOCMI00502	LOCMI00502	GO:0043232
LOCMI02771	LOCMI02771	GO:0043232
LOCMI00545	LOCMI00545	GO:0043232
LOCMI07717	LOCMI07717	GO:0043232
LOCMI11190	LOCMI11190	GO:0043232
LOCMI05551	LOCMI05551	GO:0043232
LOCMI08944	LOCMI08944	GO:0019538
LOCMI08215	LOCMI08215	GO:0019538
LOCMI11744	LOCMI11744	GO:0019538
LOCMI14929	LOCMI14929	GO:0019538
LOCMI00502	LOCMI00502	GO:0019538
LOCMI02771	LOCMI02771	GO:0019538
LOCMI04023	LOCMI04023	GO:0019538
LOCMI09424	LOCMI09424	GO:0019538
LOCMI03374	LOCMI03374	GO:0019538
LOCMI07717	LOCMI07717	GO:0019538
LOCMI15035	LOCMI15035	GO:0019538
LOCMI07248	LOCMI07248	GO:0019538
LOCMI11190	LOCMI11190	GO:0019538
LOCMI05551	LOCMI05551	GO:0019538
LOCMI07517	LOCMI07517	GO:0019538
LOCMI15127	LOCMI15127	GO:0019538
LOCMI15126	LOCMI15126	GO:0019538
LOCMI02151	LOCMI02151	GO:0048878
LOCMI14448	LOCMI14448	GO:0048878
LOCMI02150	LOCMI02150	GO:0048878
LOCMI17033	LOCMI17033	GO:0016757
LOCMI17005	LOCMI17005	GO:0016757
LOCMI02469	LOCMI02469	GO:0004553
LOCMI03536	LOCMI03536	GO:0004553
LOCMI02184	LOCMI02184	GO:0004553
LOCMI00586	LOCMI00586	GO:0044424
LOCMI00585	LOCMI00585	GO:0044424
LOCMI00858	LOCMI00858	GO:0044424
LOCMI11744	LOCMI11744	GO:0044424
LOCMI11649	LOCMI11649	GO:0044424
LOCMI03626	LOCMI03626	GO:0044424
LOCMI00502	LOCMI00502	GO:0044424
LOCMI02771	LOCMI02771	GO:0044424
LOCMI00545	LOCMI00545	GO:0044424
LOCMI07717	LOCMI07717	GO:0044424
LOCMI02114	LOCMI02114	GO:0044424
LOCMI11190	LOCMI11190	GO:0044424
LOCMI05551	LOCMI05551	GO:0044424
LOCMI00858	LOCMI00858	GO:0044425
LOCMI00545	LOCMI00545	GO:0044427
LOCMI00858	LOCMI00858	GO:0044422
LOCMI00545	LOCMI00545	GO:0044422
LOCMI03210	LOCMI03210	GO:0044281
LOCMI08215	LOCMI08215	GO:0006457
LOCMI00858	LOCMI00858	GO:0043229
LOCMI11744	LOCMI11744	GO:0043229
LOCMI11649	LOCMI11649	GO:0043229
LOCMI03626	LOCMI03626	GO:0043229
LOCMI00502	LOCMI00502	GO:0043229
LOCMI02771	LOCMI02771	GO:0043229
LOCMI00545	LOCMI00545	GO:0043229
LOCMI07717	LOCMI07717	GO:0043229
LOCMI02114	LOCMI02114	GO:0043229
LOCMI11190	LOCMI11190	GO:0043229
LOCMI05551	LOCMI05551	GO:0043229
LOCMI11744	LOCMI11744	GO:0043228
LOCMI00502	LOCMI00502	GO:0043228
LOCMI02771	LOCMI02771	GO:0043228
LOCMI00545	LOCMI00545	GO:0043228
LOCMI07717	LOCMI07717	GO:0043228
LOCMI11190	LOCMI11190	GO:0043228
LOCMI05551	LOCMI05551	GO:0043228
LOCMI11184	LOCMI11184	GO:0003674
LOCMI08944	LOCMI08944	GO:0003674
LOCMI00125	LOCMI00125	GO:0003674
LOCMI16688	LOCMI16688	GO:0003674
LOCMI10214	LOCMI10214	GO:0003674
LOCMI15906	LOCMI15906	GO:0003674
LOCMI08256	LOCMI08256	GO:0003674
LOCMI02469	LOCMI02469	GO:0003674
LOCMI16258	LOCMI16258	GO:0003674
LOCMI16731	LOCMI16731	GO:0003674
LOCMI13786	LOCMI13786	GO:0003674
LOCMI03179	LOCMI03179	GO:0003674
LOCMI07097	LOCMI07097	GO:0003674
LOCMI06177	LOCMI06177	GO:0003674
LOCMI15867	LOCMI15867	GO:0003674
LOCMI02151	LOCMI02151	GO:0003674
LOCMI16712	LOCMI16712	GO:0003674
LOCMI07565	LOCMI07565	GO:0003674
LOCMI15907	LOCMI15907	GO:0003674
LOCMI00858	LOCMI00858	GO:0003674
LOCMI03536	LOCMI03536	GO:0003674
LOCMI11744	LOCMI11744	GO:0003674
LOCMI17033	LOCMI17033	GO:0003674
LOCMI15496	LOCMI15496	GO:0003674
LOCMI15495	LOCMI15495	GO:0003674
LOCMI14142	LOCMI14142	GO:0003674
LOCMI14929	LOCMI14929	GO:0003674
LOCMI13783	LOCMI13783	GO:0003674
LOCMI03626	LOCMI03626	GO:0003674
LOCMI17132	LOCMI17132	GO:0003674
LOCMI00502	LOCMI00502	GO:0003674
LOCMI16209	LOCMI16209	GO:0003674
LOCMI02771	LOCMI02771	GO:0003674
LOCMI02184	LOCMI02184	GO:0003674
LOCMI03210	LOCMI03210	GO:0003674
LOCMI00545	LOCMI00545	GO:0003674
LOCMI03761	LOCMI03761	GO:0003674
LOCMI17205	LOCMI17205	GO:0003674
LOCMI17206	LOCMI17206	GO:0003674
LOCMI15494	LOCMI15494	GO:0003674
LOCMI12827	LOCMI12827	GO:0003674
LOCMI03312	LOCMI03312	GO:0003674
LOCMI16641	LOCMI16641	GO:0003674
LOCMI11963	LOCMI11963	GO:0003674
LOCMI12355	LOCMI12355	GO:0003674
LOCMI11961	LOCMI11961	GO:0003674
LOCMI04023	LOCMI04023	GO:0003674
LOCMI16605	LOCMI16605	GO:0003674
LOCMI14350	LOCMI14350	GO:0003674
LOCMI16703	LOCMI16703	GO:0003674
LOCMI16609	LOCMI16609	GO:0003674
LOCMI09424	LOCMI09424	GO:0003674
LOCMI03374	LOCMI03374	GO:0003674
LOCMI07717	LOCMI07717	GO:0003674
LOCMI09561	LOCMI09561	GO:0003674
LOCMI15035	LOCMI15035	GO:0003674
LOCMI07248	LOCMI07248	GO:0003674
LOCMI02114	LOCMI02114	GO:0003674
LOCMI01460	LOCMI01460	GO:0003674
LOCMI11190	LOCMI11190	GO:0003674
LOCMI05551	LOCMI05551	GO:0003674
LOCMI14448	LOCMI14448	GO:0003674
LOCMI07517	LOCMI07517	GO:0003674
LOCMI14902	LOCMI14902	GO:0003674
LOCMI03817	LOCMI03817	GO:0003674
LOCMI15127	LOCMI15127	GO:0003674
LOCMI15126	LOCMI15126	GO:0003674
LOCMI11147	LOCMI11147	GO:0003674
LOCMI00208	LOCMI00208	GO:0003674
LOCMI02150	LOCMI02150	GO:0003674
LOCMI17141	LOCMI17141	GO:0003674
LOCMI17005	LOCMI17005	GO:0003674
LOCMI09790	LOCMI09790	GO:0003674
LOCMI16146	LOCMI16146	GO:0003674
LOCMI11184	LOCMI11184	GO:0005488
LOCMI00125	LOCMI00125	GO:0005488
LOCMI10214	LOCMI10214	GO:0005488
LOCMI03179	LOCMI03179	GO:0005488
LOCMI02151	LOCMI02151	GO:0005488
LOCMI07565	LOCMI07565	GO:0005488
LOCMI00858	LOCMI00858	GO:0005488
LOCMI03536	LOCMI03536	GO:0005488
LOCMI14142	LOCMI14142	GO:0005488
LOCMI03626	LOCMI03626	GO:0005488
LOCMI16209	LOCMI16209	GO:0005488
LOCMI02771	LOCMI02771	GO:0005488
LOCMI03210	LOCMI03210	GO:0005488
LOCMI00545	LOCMI00545	GO:0005488
LOCMI12827	LOCMI12827	GO:0005488
LOCMI03312	LOCMI03312	GO:0005488
LOCMI12355	LOCMI12355	GO:0005488
LOCMI14350	LOCMI14350	GO:0005488
LOCMI03374	LOCMI03374	GO:0005488
LOCMI02114	LOCMI02114	GO:0005488
LOCMI14448	LOCMI14448	GO:0005488
LOCMI14902	LOCMI14902	GO:0005488
LOCMI00208	LOCMI00208	GO:0005488
LOCMI02150	LOCMI02150	GO:0005488
LOCMI09790	LOCMI09790	GO:0005488
LOCMI16146	LOCMI16146	GO:0005488
LOCMI14350	LOCMI14350	GO:0003676
LOCMI02114	LOCMI02114	GO:0003676
LOCMI14350	LOCMI14350	GO:0003677
LOCMI02114	LOCMI02114	GO:0003677
LOCMI08944	LOCMI08944	GO:0043170
LOCMI08215	LOCMI08215	GO:0043170
LOCMI11744	LOCMI11744	GO:0043170
LOCMI14929	LOCMI14929	GO:0043170
LOCMI00502	LOCMI00502	GO:0043170
LOCMI02771	LOCMI02771	GO:0043170
LOCMI04023	LOCMI04023	GO:0043170
LOCMI09424	LOCMI09424	GO:0043170
LOCMI03374	LOCMI03374	GO:0043170
LOCMI07717	LOCMI07717	GO:0043170
LOCMI15035	LOCMI15035	GO:0043170
LOCMI07248	LOCMI07248	GO:0043170
LOCMI11190	LOCMI11190	GO:0043170
LOCMI05551	LOCMI05551	GO:0043170
LOCMI07517	LOCMI07517	GO:0043170
LOCMI15127	LOCMI15127	GO:0043170
LOCMI15126	LOCMI15126	GO:0043170
LOCMI00858	LOCMI00858	GO:0043227
LOCMI11649	LOCMI11649	GO:0043227
LOCMI03626	LOCMI03626	GO:0043227
LOCMI00545	LOCMI00545	GO:0043227
LOCMI02114	LOCMI02114	GO:0043227
LOCMI00858	LOCMI00858	GO:0043226
LOCMI11744	LOCMI11744	GO:0043226
LOCMI11649	LOCMI11649	GO:0043226
LOCMI03626	LOCMI03626	GO:0043226
LOCMI00502	LOCMI00502	GO:0043226
LOCMI02771	LOCMI02771	GO:0043226
LOCMI00545	LOCMI00545	GO:0043226
LOCMI07717	LOCMI07717	GO:0043226
LOCMI02114	LOCMI02114	GO:0043226
LOCMI11190	LOCMI11190	GO:0043226
LOCMI05551	LOCMI05551	GO:0043226
LOCMI08215	LOCMI08215	GO:0044267
LOCMI11744	LOCMI11744	GO:0044267
LOCMI00502	LOCMI00502	GO:0044267
LOCMI02771	LOCMI02771	GO:0044267
LOCMI07717	LOCMI07717	GO:0044267
LOCMI11190	LOCMI11190	GO:0044267
LOCMI05551	LOCMI05551	GO:0044267
LOCMI03210	LOCMI03210	GO:0009308
LOCMI00125	LOCMI00125	GO:0046914
LOCMI02151	LOCMI02151	GO:0046914
LOCMI03536	LOCMI03536	GO:0046914
LOCMI14142	LOCMI14142	GO:0046914
LOCMI03626	LOCMI03626	GO:0046914
LOCMI16209	LOCMI16209	GO:0046914
LOCMI03312	LOCMI03312	GO:0046914
LOCMI03374	LOCMI03374	GO:0046914
LOCMI14448	LOCMI14448	GO:0046914
LOCMI14902	LOCMI14902	GO:0046914
LOCMI02150	LOCMI02150	GO:0046914
LOCMI16146	LOCMI16146	GO:0046914
LOCMI00586	LOCMI00586	GO:0006886
LOCMI00585	LOCMI00585	GO:0006886
LOCMI00858	LOCMI00858	GO:0006886
LOCMI00545	LOCMI00545	GO:0016043
LOCMI00858	LOCMI00858	GO:0044432
LOCMI02151	LOCMI02151	GO:0065007
LOCMI14448	LOCMI14448	GO:0065007
LOCMI02150	LOCMI02150	GO:0065007
LOCMI03374	LOCMI03374	GO:0008237
LOCMI03210	LOCMI03210	GO:0017076
LOCMI12827	LOCMI12827	GO:0017076
LOCMI00125	LOCMI00125	GO:0016491
LOCMI16688	LOCMI16688	GO:0016491
LOCMI15906	LOCMI15906	GO:0016491
LOCMI16258	LOCMI16258	GO:0016491
LOCMI15867	LOCMI15867	GO:0016491
LOCMI02151	LOCMI02151	GO:0016491
LOCMI15907	LOCMI15907	GO:0016491
LOCMI16209	LOCMI16209	GO:0016491
LOCMI03761	LOCMI03761	GO:0016491
LOCMI03312	LOCMI03312	GO:0016491
LOCMI14448	LOCMI14448	GO:0016491
LOCMI02150	LOCMI02150	GO:0016491
LOCMI16146	LOCMI16146	GO:0016491
LOCMI03210	LOCMI03210	GO:0005524
LOCMI12827	LOCMI12827	GO:0005524
LOCMI08944	LOCMI08944	GO:0016787
LOCMI08256	LOCMI08256	GO:0016787
LOCMI02469	LOCMI02469	GO:0016787
LOCMI03536	LOCMI03536	GO:0016787
LOCMI14929	LOCMI14929	GO:0016787
LOCMI02184	LOCMI02184	GO:0016787
LOCMI12827	LOCMI12827	GO:0016787
LOCMI04023	LOCMI04023	GO:0016787
LOCMI09424	LOCMI09424	GO:0016787
LOCMI03374	LOCMI03374	GO:0016787
LOCMI15035	LOCMI15035	GO:0016787
LOCMI07248	LOCMI07248	GO:0016787
LOCMI07517	LOCMI07517	GO:0016787
LOCMI14902	LOCMI14902	GO:0016787
LOCMI15127	LOCMI15127	GO:0016787
LOCMI15126	LOCMI15126	GO:0016787
LOCMI12827	LOCMI12827	GO:0016301
LOCMI16209	LOCMI16209	GO:0020037
LOCMI16146	LOCMI16146	GO:0020037
LOCMI03761	LOCMI03761	GO:0006139
LOCMI02151	LOCMI02151	GO:0006812
LOCMI14448	LOCMI14448	GO:0006812
LOCMI02150	LOCMI02150	GO:0006812
LOCMI02151	LOCMI02151	GO:0006811
LOCMI14448	LOCMI14448	GO:0006811
LOCMI02150	LOCMI02150	GO:0006811
LOCMI13786	LOCMI13786	GO:0006810
LOCMI02151	LOCMI02151	GO:0006810
LOCMI00586	LOCMI00586	GO:0006810
LOCMI00585	LOCMI00585	GO:0006810
LOCMI16712	LOCMI16712	GO:0006810
LOCMI00858	LOCMI00858	GO:0006810
LOCMI15496	LOCMI15496	GO:0006810
LOCMI15495	LOCMI15495	GO:0006810
LOCMI13783	LOCMI13783	GO:0006810
LOCMI02771	LOCMI02771	GO:0006810
LOCMI15494	LOCMI15494	GO:0006810
LOCMI11963	LOCMI11963	GO:0006810
LOCMI11961	LOCMI11961	GO:0006810
LOCMI16605	LOCMI16605	GO:0006810
LOCMI09561	LOCMI09561	GO:0006810
LOCMI14448	LOCMI14448	GO:0006810
LOCMI11147	LOCMI11147	GO:0006810
LOCMI00208	LOCMI00208	GO:0006810
LOCMI02150	LOCMI02150	GO:0006810
LOCMI08944	LOCMI08944	GO:0003824
LOCMI00125	LOCMI00125	GO:0003824
LOCMI16688	LOCMI16688	GO:0003824
LOCMI15906	LOCMI15906	GO:0003824
LOCMI08256	LOCMI08256	GO:0003824
LOCMI02469	LOCMI02469	GO:0003824
LOCMI16258	LOCMI16258	GO:0003824
LOCMI15867	LOCMI15867	GO:0003824
LOCMI02151	LOCMI02151	GO:0003824
LOCMI15907	LOCMI15907	GO:0003824
LOCMI03536	LOCMI03536	GO:0003824
LOCMI17033	LOCMI17033	GO:0003824
LOCMI14929	LOCMI14929	GO:0003824
LOCMI16209	LOCMI16209	GO:0003824
LOCMI02184	LOCMI02184	GO:0003824
LOCMI03210	LOCMI03210	GO:0003824
LOCMI03761	LOCMI03761	GO:0003824
LOCMI12827	LOCMI12827	GO:0003824
LOCMI03312	LOCMI03312	GO:0003824
LOCMI04023	LOCMI04023	GO:0003824
LOCMI09424	LOCMI09424	GO:0003824
LOCMI03374	LOCMI03374	GO:0003824
LOCMI15035	LOCMI15035	GO:0003824
LOCMI07248	LOCMI07248	GO:0003824
LOCMI14448	LOCMI14448	GO:0003824
LOCMI07517	LOCMI07517	GO:0003824
LOCMI14902	LOCMI14902	GO:0003824
LOCMI15127	LOCMI15127	GO:0003824
LOCMI15126	LOCMI15126	GO:0003824
LOCMI02150	LOCMI02150	GO:0003824
LOCMI17005	LOCMI17005	GO:0003824
LOCMI16146	LOCMI16146	GO:0003824
LOCMI16688	LOCMI16688	GO:0006950
LOCMI16258	LOCMI16258	GO:0006950
LOCMI11184	LOCMI11184	GO:0008150
LOCMI08944	LOCMI08944	GO:0008150
LOCMI00125	LOCMI00125	GO:0008150
LOCMI16688	LOCMI16688	GO:0008150
LOCMI10214	LOCMI10214	GO:0008150
LOCMI15906	LOCMI15906	GO:0008150
LOCMI02469	LOCMI02469	GO:0008150
LOCMI16258	LOCMI16258	GO:0008150
LOCMI13786	LOCMI13786	GO:0008150
LOCMI15867	LOCMI15867	GO:0008150
LOCMI02151	LOCMI02151	GO:0008150
LOCMI00586	LOCMI00586	GO:0008150
LOCMI00585	LOCMI00585	GO:0008150
LOCMI16712	LOCMI16712	GO:0008150
LOCMI07565	LOCMI07565	GO:0008150
LOCMI15907	LOCMI15907	GO:0008150
LOCMI08215	LOCMI08215	GO:0008150
LOCMI00858	LOCMI00858	GO:0008150
LOCMI03536	LOCMI03536	GO:0008150
LOCMI11744	LOCMI11744	GO:0008150
LOCMI17033	LOCMI17033	GO:0008150
LOCMI15496	LOCMI15496	GO:0008150
LOCMI15495	LOCMI15495	GO:0008150
LOCMI11649	LOCMI11649	GO:0008150
LOCMI14929	LOCMI14929	GO:0008150
LOCMI13783	LOCMI13783	GO:0008150
LOCMI00502	LOCMI00502	GO:0008150
LOCMI16209	LOCMI16209	GO:0008150
LOCMI02771	LOCMI02771	GO:0008150
LOCMI02184	LOCMI02184	GO:0008150
LOCMI03210	LOCMI03210	GO:0008150
LOCMI00545	LOCMI00545	GO:0008150
LOCMI03761	LOCMI03761	GO:0008150
LOCMI15494	LOCMI15494	GO:0008150
LOCMI12827	LOCMI12827	GO:0008150
LOCMI03312	LOCMI03312	GO:0008150
LOCMI11963	LOCMI11963	GO:0008150
LOCMI12355	LOCMI12355	GO:0008150
LOCMI11961	LOCMI11961	GO:0008150
LOCMI04023	LOCMI04023	GO:0008150
LOCMI16605	LOCMI16605	GO:0008150
LOCMI09424	LOCMI09424	GO:0008150
LOCMI03374	LOCMI03374	GO:0008150
LOCMI07717	LOCMI07717	GO:0008150
LOCMI09561	LOCMI09561	GO:0008150
LOCMI15035	LOCMI15035	GO:0008150
LOCMI07248	LOCMI07248	GO:0008150
LOCMI11190	LOCMI11190	GO:0008150
LOCMI05551	LOCMI05551	GO:0008150
LOCMI14448	LOCMI14448	GO:0008150
LOCMI07517	LOCMI07517	GO:0008150
LOCMI15127	LOCMI15127	GO:0008150
LOCMI15126	LOCMI15126	GO:0008150
LOCMI11147	LOCMI11147	GO:0008150
LOCMI00208	LOCMI00208	GO:0008150
LOCMI02150	LOCMI02150	GO:0008150
LOCMI17005	LOCMI17005	GO:0008150
LOCMI09790	LOCMI09790	GO:0008150
LOCMI16146	LOCMI16146	GO:0008150
LOCMI11184	LOCMI11184	GO:0008152
LOCMI08944	LOCMI08944	GO:0008152
LOCMI00125	LOCMI00125	GO:0008152
LOCMI16688	LOCMI16688	GO:0008152
LOCMI10214	LOCMI10214	GO:0008152
LOCMI15906	LOCMI15906	GO:0008152
LOCMI02469	LOCMI02469	GO:0008152
LOCMI16258	LOCMI16258	GO:0008152
LOCMI15867	LOCMI15867	GO:0008152
LOCMI02151	LOCMI02151	GO:0008152
LOCMI07565	LOCMI07565	GO:0008152
LOCMI15907	LOCMI15907	GO:0008152
LOCMI08215	LOCMI08215	GO:0008152
LOCMI03536	LOCMI03536	GO:0008152
LOCMI11744	LOCMI11744	GO:0008152
LOCMI17033	LOCMI17033	GO:0008152
LOCMI14929	LOCMI14929	GO:0008152
LOCMI00502	LOCMI00502	GO:0008152
LOCMI16209	LOCMI16209	GO:0008152
LOCMI02771	LOCMI02771	GO:0008152
LOCMI02184	LOCMI02184	GO:0008152
LOCMI03210	LOCMI03210	GO:0008152
LOCMI03761	LOCMI03761	GO:0008152
LOCMI12827	LOCMI12827	GO:0008152
LOCMI03312	LOCMI03312	GO:0008152
LOCMI12355	LOCMI12355	GO:0008152
LOCMI04023	LOCMI04023	GO:0008152
LOCMI09424	LOCMI09424	GO:0008152
LOCMI03374	LOCMI03374	GO:0008152
LOCMI07717	LOCMI07717	GO:0008152
LOCMI15035	LOCMI15035	GO:0008152
LOCMI07248	LOCMI07248	GO:0008152
LOCMI11190	LOCMI11190	GO:0008152
LOCMI05551	LOCMI05551	GO:0008152
LOCMI14448	LOCMI14448	GO:0008152
LOCMI07517	LOCMI07517	GO:0008152
LOCMI15127	LOCMI15127	GO:0008152
LOCMI15126	LOCMI15126	GO:0008152
LOCMI02150	LOCMI02150	GO:0008152
LOCMI17005	LOCMI17005	GO:0008152
LOCMI09790	LOCMI09790	GO:0008152
LOCMI16146	LOCMI16146	GO:0008152
LOCMI17033	LOCMI17033	GO:0016758
LOCMI17005	LOCMI17005	GO:0016758
LOCMI13786	LOCMI13786	GO:0051234
LOCMI02151	LOCMI02151	GO:0051234
LOCMI00586	LOCMI00586	GO:0051234
LOCMI00585	LOCMI00585	GO:0051234
LOCMI16712	LOCMI16712	GO:0051234
LOCMI00858	LOCMI00858	GO:0051234
LOCMI15496	LOCMI15496	GO:0051234
LOCMI15495	LOCMI15495	GO:0051234
LOCMI13783	LOCMI13783	GO:0051234
LOCMI02771	LOCMI02771	GO:0051234
LOCMI15494	LOCMI15494	GO:0051234
LOCMI11963	LOCMI11963	GO:0051234
LOCMI11961	LOCMI11961	GO:0051234
