GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
83 Ensembl source identifiers supplied in the input file:Gegg-VS-Segg.down.txt
83 source identifiers meeting the filter linked to a Ensembl ID.
78 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
8448 Genes linked to a term.
The z score is based on an N of 8448 and a R of 78 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0055082	cellular chemical homeostasis	biological_process	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667
GO:0055080	cation homeostasis	biological_process	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667
GO:0055072	iron ion homeostasis	biological_process	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667
GO:0055065	metal ion homeostasis	biological_process	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667
GO:0050801	ion homeostasis	biological_process	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667
GO:0048878	chemical homeostasis	biological_process	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667
GO:0030003	cellular cation homeostasis	biological_process	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667
GO:0008199	ferric iron binding	molecular_function	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667
GO:0006879	cellular iron ion homeostasis	biological_process	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667
GO:0006875	cellular metal ion homeostasis	biological_process	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667
GO:0006873	cellular ion homeostasis	biological_process	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667
GO:0006826	iron ion transport	biological_process	3	9	9	33.3333333333	100.0	10.1706901052	0.0	0.0120416666667
GO:0000041	transition metal ion transport	biological_process	3	9	9	33.3333333333	100.0	10.1706901052	0.0	0.0120416666667
GO:0005198	structural molecule activity	molecular_function	18	337	337	5.3412462908	100.0	8.65353890081	0.0	0.0120416666667
GO:0004252	serine-type endopeptidase activity	molecular_function	8	146	146	5.47945205479	100.0	5.80602401939	0.0	0.0120416666667
GO:0017171	serine hydrolase activity	molecular_function	8	167	167	4.79041916168	100.0	5.27715718614	0.0	0.0120416666667
GO:0008236	serine-type peptidase activity	molecular_function	8	167	167	4.79041916168	100.0	5.27715718614	0.0	0.0120416666667
GO:0030001	metal ion transport	biological_process	3	31	31	9.67741935484	100.0	5.10516748242	0.0045	0.0743142857143
GO:0006812	cation transport	biological_process	3	31	31	9.67741935484	100.0	5.10516748242	0.0045	0.0743142857143
GO:0006605	protein targeting	biological_process	2	17	17	11.7647058824	100.0	4.67806039081	0.0095	0.124795454545
GO:0065008	regulation of biological quality	biological_process	3	38	38	7.89473684211	100.0	4.5030990805	0.0045	0.0743142857143
GO:0042592	homeostatic process	biological_process	3	38	38	7.89473684211	100.0	4.5030990805	0.0045	0.0743142857143
GO:0019725	cellular homeostasis	biological_process	3	38	38	7.89473684211	100.0	4.5030990805	0.0045	0.0743142857143
GO:0004175	endopeptidase activity	molecular_function	9	266	266	3.38345864662	100.0	4.26255621105	0.0005	0.0120416666667
GO:0070011	peptidase activity, acting on L-amino acid peptides	molecular_function	11	372	372	2.95698924731	100.0	4.1942469735	0.0	0.0120416666667
GO:0008233	peptidase activity	molecular_function	11	372	372	2.95698924731	100.0	4.1942469735	0.0	0.0120416666667
GO:0055114	oxidation-reduction process	biological_process	13	515	515	2.52427184466	100.0	3.91980927923	0.0025	0.0498275862069
GO:0003735	structural constituent of ribosome	molecular_function	6	176	176	3.40909090909	100.0	3.48426824226	0.0065	0.093925
GO:0051234	establishment of localization	biological_process	19	992	992	1.91532258065	100.0	3.47713502829	0.002	0.0428148148148
GO:0006810	transport	biological_process	19	992	992	1.91532258065	100.0	3.47713502829	0.002	0.0428148148148
GO:0030529	ribonucleoprotein complex	cellular_component	6	177	177	3.38983050847	100.0	3.46728895902	0.0065	0.093925
GO:0005840	ribosome	cellular_component	6	177	177	3.38983050847	100.0	3.46728895902	0.0065	0.093925
GO:0006508	proteolysis	biological_process	10	422	422	2.36966824645	100.0	3.18699963182	0.0045	0.0743142857143
GO:0005975	carbohydrate metabolic process	biological_process	9	368	368	2.44565217391	100.0	3.12197757585	0.0065	0.093925
GO:0044444	cytoplasmic part	cellular_component	7	265	265	2.64150943396	100.0	2.97124888294	0.01	0.128444444444
GO:0016491	oxidoreductase activity	molecular_function	13	658	658	1.97568389058	100.0	2.93910706815	0.0125	0.1445
GO:0008150	biological_process	biological_process	59	5087	5088	1.15981914684	99.9803459119	2.79618810919	0.0065	0.093925
GO:0043232	intracellular non-membrane-bounded organelle	cellular_component	7	285	285	2.45614035088	100.0	2.75226892009	0.0185	0.194418181818
GO:0043228	non-membrane-bounded organelle	cellular_component	7	285	285	2.45614035088	100.0	2.75226892009	0.0185	0.194418181818
