GO-Elite ORA Results
File:
Table:
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
83 Ensembl source identifiers supplied in the input file:Gegg-VS-Segg.down.txt
83 source identifiers meeting the filter linked to a Ensembl ID.
22 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
2427 Genes linked to a term.
The z score is based on an N of 2427 and a R of 22 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Caffeine metabolism:map00232	1	2	2	50.0	100.0	7.3270590321	0.0165	0.6579
Glutathione metabolism:map00480	3	44	44	6.81818181818	100.0	4.17468726814	0.0085	0.54825
Arachidonic acid metabolism:map00590	2	22	22	9.09090909091	100.0	4.06807614862	0.0215	0.6579
Fructose and mannose metabolism:map00051	2	25	25	8.0	100.0	3.76090422887	0.0255	0.6579
Synthesis and degradation of ketone bodies:map00072	1	7	7	14.2857142857	100.0	3.73954918934	0.074	0.867818181818
Ribosome:map03010	5	139	139	3.59712230216	100.0	3.4465409487	0.008	0.54825
Glycerolipid metabolism:map00561	2	35	35	5.71428571429	100.0	3.02237007852	0.043	0.867818181818
Arginine and proline metabolism:map00330	2	40	40	5.0	100.0	2.75390005745	0.049	0.867818181818
Pyruvate metabolism:map00620	2	41	41	4.87804878049	100.0	2.705616915	0.0565	0.867818181818
Pentose and glucuronate interconversions:map00040	2	47	47	4.25531914894	100.0	2.44569599809	0.066	0.867818181818
Neuroactive ligand-receptor interaction:map04080	2	48	48	4.16666666667	100.0	2.40665389532	0.073	0.867818181818
Butanoate metabolism:map00650	1	17	17	5.88235294118	100.0	2.17186329098	0.1505	1.0
Histidine metabolism:map00340	1	19	19	5.26315789474	100.0	2.01118218078	0.172	1.0
Spliceosome:map03040	3	123	123	2.43902439024	100.0	1.8402372728	0.0995	1.0
beta-Alanine metabolism:map00410	1	24	24	4.16666666667	100.0	1.69324178007	0.2065	1.0
Galactose metabolism:map00052	1	24	24	4.16666666667	100.0	1.69324178007	0.1945	1.0
Propanoate metabolism:map00640	1	27	27	3.7037037037	100.0	1.54188321077	0.227	1.0
Alanine, aspartate and glutamate metabolism:map00250	1	27	27	3.7037037037	100.0	1.54188321077	0.229	1.0
Tryptophan metabolism:map00380	1	29	29	3.44827586207	100.0	1.45265763063	0.2425	1.0
RNA polymerase:map03020	1	32	32	3.125	100.0	1.33270506081	0.249	1.0
Fatty acid degradation:map00071	1	38	38	2.63157894737	100.0	1.13069852066	0.304	1.0
Valine, leucine and isoleucine degradation:map00280	1	39	39	2.5641025641	100.0	1.10090538575	0.3115	1.0
Drug metabolism - cytochrome P450:map00982	1	40	40	2.5	100.0	1.07203910138	0.295	1.0
Ascorbate and aldarate metabolism:map00053	1	40	40	2.5	100.0	1.07203910138	0.3015	1.0
Glycolysis / Gluconeogenesis:map00010	1	41	41	2.43902439024	100.0	1.04404498871	0.3395	1.0
Porphyrin and chlorophyll metabolism:map00860	1	43	43	2.32558139535	100.0	0.990476606622	0.3185	1.0
Metabolism of xenobiotics by cytochrome P450:map00980	1	44	44	2.27272727273	100.0	0.96481367404	0.3245	1.0
Lysine degradation:map00310	1	44	44	2.27272727273	100.0	0.96481367404	0.356	1.0
Purine metabolism:map00230	2	118	119	1.69491525424	99.1596638655	0.926291086559	0.2935	1.0
Biosynthesis of amino acids:map01230	1	54	54	1.85185185185	100.0	0.741143108785	0.417	1.0
RNA degradation:map03018	1	57	57	1.75438596491	100.0	0.683381045327	0.412	1.0
Ribosome biogenesis in eukaryotes:map03008	1	64	64	1.5625	100.0	0.561085252229	0.456	1.0
Pyrimidine metabolism:map00240	1	83	83	1.20481927711	100.0	0.291764964214	0.546	1.0
Ubiquitin mediated proteolysis:map04120	1	102	102	0.980392156863	100.0	0.080466672539	0.62	1.0
Lysine biosynthesis:map00300	0	2	2	0.0	100.0	-0.135287703488	1.0	1.0
