Ensembl	symbol	GeneOntology
LOCMI09180	LOCMI09180	GO:0004252
LOCMI07709	LOCMI07709	GO:0004252
LOCMI03037	LOCMI03037	GO:0004252
LOCMI14560	LOCMI14560	GO:0050794
LOCMI16049	LOCMI16049	GO:0009165
LOCMI16100	LOCMI16100	GO:0009165
LOCMI15172	LOCMI15172	GO:0009165
LOCMI05256	LOCMI05256	GO:0030117
LOCMI14937	LOCMI14937	GO:0030117
LOCMI16049	LOCMI16049	GO:0044281
LOCMI16100	LOCMI16100	GO:0044281
LOCMI15172	LOCMI15172	GO:0044281
LOCMI16049	LOCMI16049	GO:0044283
LOCMI16100	LOCMI16100	GO:0044283
LOCMI15172	LOCMI15172	GO:0044283
LOCMI10353	LOCMI10353	GO:0043228
LOCMI05256	LOCMI05256	GO:0030118
LOCMI14937	LOCMI14937	GO:0030118
LOCMI14560	LOCMI14560	GO:0051716
LOCMI00788	LOCMI00788	GO:0004298
LOCMI00788	LOCMI00788	GO:0005839
LOCMI16049	LOCMI16049	GO:0016020
LOCMI16100	LOCMI16100	GO:0016020
LOCMI04008	LOCMI04008	GO:0016020
LOCMI04676	LOCMI04676	GO:0016020
LOCMI05256	LOCMI05256	GO:0016020
LOCMI00016	LOCMI00016	GO:0016020
LOCMI05399	LOCMI05399	GO:0016020
LOCMI14937	LOCMI14937	GO:0016020
LOCMI00957	LOCMI00957	GO:0000166
LOCMI17077	LOCMI17077	GO:0000166
LOCMI14560	LOCMI14560	GO:0000166
LOCMI09250	LOCMI09250	GO:0006732
LOCMI09434	LOCMI09434	GO:0016740
LOCMI17077	LOCMI17077	GO:0016740
LOCMI10902	LOCMI10902	GO:0016740
LOCMI16180	LOCMI16180	GO:0046872
LOCMI16008	LOCMI16008	GO:0046872
LOCMI07442	LOCMI07442	GO:0046872
LOCMI13963	LOCMI13963	GO:0046872
LOCMI15172	LOCMI15172	GO:0046872
LOCMI08494	LOCMI08494	GO:0046872
LOCMI03279	LOCMI03279	GO:0046872
LOCMI07577	LOCMI07577	GO:0046872
LOCMI10902	LOCMI10902	GO:0046872
LOCMI09250	LOCMI09250	GO:0046872
LOCMI06115	LOCMI06115	GO:0046872
LOCMI16049	LOCMI16049	GO:0009206
LOCMI16100	LOCMI16100	GO:0009206
LOCMI16049	LOCMI16049	GO:0009205
LOCMI16100	LOCMI16100	GO:0009205
LOCMI16049	LOCMI16049	GO:0009201
LOCMI16100	LOCMI16100	GO:0009201
LOCMI09180	LOCMI09180	GO:0017171
LOCMI07709	LOCMI07709	GO:0017171
LOCMI03037	LOCMI03037	GO:0017171
