GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
68 Ensembl source identifiers supplied in the input file:Gegg-VS-Segg.up.txt
68 source identifiers meeting the filter linked to a Ensembl ID.
65 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
8448 Genes linked to a term.
The z score is based on an N of 8448 and a R of 65 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0044431	Golgi apparatus part	cellular_component	3	8	8	37.5	100.0	11.8946147788	0.0	0.0642222222222
GO:0044455	mitochondrial membrane part	cellular_component	1	1	1	100.0	100.0	11.356462071	0.006	0.247714285714
GO:0044429	mitochondrial part	cellular_component	1	1	1	100.0	100.0	11.356462071	0.006	0.247714285714
GO:0005742	mitochondrial outer membrane translocase complex	cellular_component	1	1	1	100.0	100.0	11.356462071	0.006	0.247714285714
GO:0044433	cytoplasmic vesicle part	cellular_component	2	5	5	40.0	100.0	10.0417673703	0.0	0.0642222222222
GO:0030132	clathrin coat of coated pit	cellular_component	2	5	5	40.0	100.0	10.0417673703	0.001	0.0642222222222
GO:0030130	clathrin coat of trans-Golgi network vesicle	cellular_component	2	5	5	40.0	100.0	10.0417673703	0.0	0.0642222222222
GO:0030125	clathrin vesicle coat	cellular_component	2	5	5	40.0	100.0	10.0417673703	0.0	0.0642222222222
GO:0030120	vesicle coat	cellular_component	2	5	5	40.0	100.0	10.0417673703	0.0	0.0642222222222
GO:0030118	clathrin coat	cellular_component	2	6	6	33.3333333333	100.0	9.13142123489	0.001	0.0642222222222
GO:0016838	carbon-oxygen lyase activity, acting on phosphates	molecular_function	1	2	2	50.0	100.0	7.96843832051	0.012	0.3468
GO:0003874	6-pyruvoyltetrahydropterin synthase activity	molecular_function	1	2	2	50.0	100.0	7.96843832051	0.012	0.3468
GO:0005801	cis-Golgi network	cellular_component	1	3	3	33.3333333333	100.0	6.4557429031	0.0205	0.38834375
GO:0005198	structural molecule activity	molecular_function	12	337	337	3.56083086053	100.0	5.984823712	0.0	0.0642222222222
GO:0016829	lyase activity	molecular_function	2	14	14	14.2857142857	100.0	5.79233709111	0.004	0.210181818182
GO:0046146	tetrahydrobiopterin metabolic process	biological_process	1	4	4	25.0	100.0	5.54713278158	0.0215	0.38834375
GO:0042559	pteridine-containing compound biosynthetic process	biological_process	1	4	4	25.0	100.0	5.54713278158	0.0215	0.38834375
GO:0042558	pteridine-containing compound metabolic process	biological_process	1	4	4	25.0	100.0	5.54713278158	0.0215	0.38834375
GO:0019438	aromatic compound biosynthetic process	biological_process	1	4	4	25.0	100.0	5.54713278158	0.0215	0.38834375
GO:0016835	carbon-oxygen lyase activity	molecular_function	1	4	4	25.0	100.0	5.54713278158	0.027	0.421783783784
GO:0006729	tetrahydrobiopterin biosynthetic process	biological_process	1	4	4	25.0	100.0	5.54713278158	0.0215	0.38834375
GO:0051188	cofactor biosynthetic process	biological_process	1	7	7	14.2857142857	100.0	4.09410218942	0.0455	0.49620754717
GO:0009108	coenzyme biosynthetic process	biological_process	1	7	7	14.2857142857	100.0	4.09410218942	0.0455	0.49620754717
GO:0030117	membrane coat	cellular_component	2	31	31	6.45161290323	100.0	3.62716608369	0.0255	0.409416666667
GO:0044271	cellular nitrogen compound biosynthetic process	biological_process	4	106	107	3.77358490566	99.0654205607	3.56197919643	0.008	0.272
GO:0018130	heterocycle biosynthetic process	biological_process	4	106	107	3.77358490566	99.0654205607	3.56197919643	0.008	0.272
GO:0048193	Golgi vesicle transport	biological_process	1	9	9	11.1111111111	100.0	3.55235502668	0.0575	0.55431147541
GO:0006888	ER to Golgi vesicle-mediated transport	biological_process	1	9	9	11.1111111111	100.0	3.55235502668	0.0575	0.55431147541
GO:0046483	heterocycle metabolic process	biological_process	4	110	111	3.63636363636	99.0990990991	3.46365296162	0.008	0.272
GO:0046068	cGMP metabolic process	biological_process	1	10	10	10.0	100.0	3.3423991025	0.079	0.604618421053
GO:0016849	phosphorus-oxygen lyase activity	molecular_function	1	10	10	10.0	100.0	3.3423991025	0.079	0.604618421053
GO:0009975	cyclase activity	molecular_function	1	10	10	10.0	100.0	3.3423991025	0.079	0.604618421053
GO:0009190	cyclic nucleotide biosynthetic process	biological_process	1	10	10	10.0	100.0	3.3423991025	0.079	0.604618421053
GO:0009187	cyclic nucleotide metabolic process	biological_process	1	10	10	10.0	100.0	3.3423991025	0.079	0.604618421053
GO:0006182	cGMP biosynthetic process	biological_process	1	10	10	10.0	100.0	3.3423991025	0.079	0.604618421053
GO:0004383	guanylate cyclase activity	molecular_function	1	10	10	10.0	100.0	3.3423991025	0.079	0.604618421053
GO:0016192	vesicle-mediated transport	biological_process	3	74	74	4.05405405405	100.0	3.24777590309	0.0145	0.364391304348
GO:0051649	establishment of localization in cell	biological_process	4	126	126	3.1746031746	100.0	3.11293176163	0.0135	0.354681818182
GO:0046907	intracellular transport	biological_process	4	126	126	3.1746031746	100.0	3.11293176163	0.0135	0.354681818182
GO:0006725	cellular aromatic compound metabolic process	biological_process	1	13	13	7.69230769231	100.0	2.85868041673	0.0795	0.604618421053
GO:0016491	oxidoreductase activity	molecular_function	11	658	658	1.6717325228	100.0	2.75837540102	0.0105	0.337166666667
