Ensembl	symbol	KEGG
LOCMI16274	LOCMI16274	Phenylalanine metabolism:map00360
LOCMI05256	LOCMI05256	Endocytosis:map04144
LOCMI16049	LOCMI16049	Phagosome:map04145
LOCMI16049	LOCMI16049	Oxidative phosphorylation:map00190
LOCMI16008	LOCMI16008	Oxidative phosphorylation:map00190
LOCMI15980	LOCMI15980	Oxidative phosphorylation:map00190
LOCMI16094	LOCMI16094	Oxidative phosphorylation:map00190
LOCMI06328	LOCMI06328	Oxidative phosphorylation:map00190
LOCMI15775	LOCMI15775	Oxidative phosphorylation:map00190
LOCMI10902	LOCMI10902	Purine metabolism:map00230
LOCMI02291	LOCMI02291	Ubiquitin mediated proteolysis:map04120
LOCMI14560	LOCMI14560	Hedgehog signaling pathway:map04340
LOCMI10902	LOCMI10902	RNA polymerase:map03020
LOCMI05702	LOCMI05702	Lysine degradation:map00310
LOCMI10902	LOCMI10902	Pyrimidine metabolism:map00240
LOCMI00788	LOCMI00788	Proteasome:map03050
LOCMI16049	LOCMI16049	Lysosome:map04142
LOCMI05256	LOCMI05256	Lysosome:map04142
LOCMI09250	LOCMI09250	Folate biosynthesis:map00790
