Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP	redundant with terms	inverse redundant	gene symbols
GO:0005975	carbohydrate metabolic process	biological_process	104	368	368	28.2608695652	100.0	16.4841835115	0.0	0.0045873015873	 	 	LOCMI00174|LOCMI00530|LOCMI00534|LOCMI00796|LOCMI01035|LOCMI01044|LOCMI01076|LOCMI01100|LOCMI01189|LOCMI01272|LOCMI01323|LOCMI01478|LOCMI01666|LOCMI01707|LOCMI01718|LOCMI01772|LOCMI02120|LOCMI02318|LOCMI02464|LOCMI02469|LOCMI02470|LOCMI02809|LOCMI03125|LOCMI03285|LOCMI03383|LOCMI03579|LOCMI03725|LOCMI03726|LOCMI03766|LOCMI03826|LOCMI03827|LOCMI03914|LOCMI03958|LOCMI04105|LOCMI04338|LOCMI04397|LOCMI04845|LOCMI04846|LOCMI04924|LOCMI05086|LOCMI05107|LOCMI05210|LOCMI05244|LOCMI05278|LOCMI05299|LOCMI05300|LOCMI05451|LOCMI05452|LOCMI05488|LOCMI05531|LOCMI05935|LOCMI05942|LOCMI05976|LOCMI06160|LOCMI06162|LOCMI06163|LOCMI06301|LOCMI06502|LOCMI06773|LOCMI06775|LOCMI07021|LOCMI07206|LOCMI07565|LOCMI07790|LOCMI08072|LOCMI08216|LOCMI08218|LOCMI08786|LOCMI08866|LOCMI08867|LOCMI08868|LOCMI08869|LOCMI08911|LOCMI08912|LOCMI09283|LOCMI09622|LOCMI09623|LOCMI09697|LOCMI10636|LOCMI11181|LOCMI11184|LOCMI11330|LOCMI11820|LOCMI11868|LOCMI12355|LOCMI12889|LOCMI13462|LOCMI13463|LOCMI13469|LOCMI13816|LOCMI13901|LOCMI13958|LOCMI14420|LOCMI14856|LOCMI14857|LOCMI15834|LOCMI16027|LOCMI16033|LOCMI16091|LOCMI16098|LOCMI16099|LOCMI16360|LOCMI16875|LOCMI17138
GO:0016798	hydrolase activity, acting on glycosyl bonds	molecular_function	59	148	148	39.8648648649	100.0	15.923937034	0.0	0.0045873015873	 	 	LOCMI00174|LOCMI00530|LOCMI00534|LOCMI00796|LOCMI01076|LOCMI01100|LOCMI01189|LOCMI01272|LOCMI01323|LOCMI01478|LOCMI01718|LOCMI01772|LOCMI02318|LOCMI02464|LOCMI02469|LOCMI02470|LOCMI03125|LOCMI03383|LOCMI03579|LOCMI03826|LOCMI03827|LOCMI03914|LOCMI03958|LOCMI04105|LOCMI04397|LOCMI04924|LOCMI05086|LOCMI05278|LOCMI05299|LOCMI05300|LOCMI05451|LOCMI05452|LOCMI05531|LOCMI05935|LOCMI05942|LOCMI06502|LOCMI06773|LOCMI06775|LOCMI07021|LOCMI07206|LOCMI08072|LOCMI08786|LOCMI08911|LOCMI08912|LOCMI09283|LOCMI09622|LOCMI09623|LOCMI11330|LOCMI11820|LOCMI13901|LOCMI14856|LOCMI14857|LOCMI15913|LOCMI15933|LOCMI16027|LOCMI16098|LOCMI16099|LOCMI16360|LOCMI17138
GO:0004252	serine-type endopeptidase activity	molecular_function	48	146	146	32.8767123288	100.0	12.4591644277	0.0	0.0045873015873	 	 	LOCMI00045|LOCMI00834|LOCMI01737|LOCMI01782|LOCMI01848|LOCMI01942|LOCMI02592|LOCMI02655|LOCMI02903|LOCMI03452|LOCMI03633|LOCMI03898|LOCMI04023|LOCMI04651|LOCMI05091|LOCMI05428|LOCMI05682|LOCMI05753|LOCMI06649|LOCMI06650|LOCMI06766|LOCMI06844|LOCMI07086|LOCMI07234|LOCMI07236|LOCMI07248|LOCMI07290|LOCMI07517|LOCMI08721|LOCMI08942|LOCMI08944|LOCMI11832|LOCMI11833|LOCMI11836|LOCMI11837|LOCMI11838|LOCMI11839|LOCMI11840|LOCMI12292|LOCMI12294|LOCMI12965|LOCMI14929|LOCMI15035|LOCMI15039|LOCMI15075|LOCMI15126|LOCMI15127|LOCMI16469
GO:0006508	proteolysis	biological_process	75	422	422	17.7725118483	100.0	9.00494855727	0.0	0.0045873015873	 	 	LOCMI00045|LOCMI00788|LOCMI00834|LOCMI01040|LOCMI01737|LOCMI01782|LOCMI01848|LOCMI01942|LOCMI02592|LOCMI02655|LOCMI02805|LOCMI02903|LOCMI03132|LOCMI03279|LOCMI03280|LOCMI03452|LOCMI03633|LOCMI03898|LOCMI04023|LOCMI04477|LOCMI04479|LOCMI04651|LOCMI05091|LOCMI05428|LOCMI05506|LOCMI05682|LOCMI05867|LOCMI06404|LOCMI06649|LOCMI06650|LOCMI06766|LOCMI06844|LOCMI07086|LOCMI07234|LOCMI07236|LOCMI07248|LOCMI07290|LOCMI07517|LOCMI08257|LOCMI08258|LOCMI08259|LOCMI08260|LOCMI08721|LOCMI08807|LOCMI08942|LOCMI08944|LOCMI09120|LOCMI09424|LOCMI10732|LOCMI10999|LOCMI11126|LOCMI11127|LOCMI11484|LOCMI11832|LOCMI11833|LOCMI11836|LOCMI11837|LOCMI11838|LOCMI11839|LOCMI11840|LOCMI11867|LOCMI12216|LOCMI12292|LOCMI12294|LOCMI12965|LOCMI14929|LOCMI15035|LOCMI15039|LOCMI15075|LOCMI15126|LOCMI15127|LOCMI16003|LOCMI16354|LOCMI16469|LOCMI16959
GO:0055114	oxidation-reduction process	biological_process	73	515	515	14.1747572816	100.0	6.68741775138	0.0	0.0045873015873	 	 	LOCMI00274|LOCMI02006|LOCMI02150|LOCMI02556|LOCMI04667|LOCMI04868|LOCMI05246|LOCMI05288|LOCMI05296|LOCMI05499|LOCMI05700|LOCMI05701|LOCMI05702|LOCMI05915|LOCMI06328|LOCMI06507|LOCMI07520|LOCMI07568|LOCMI09712|LOCMI09715|LOCMI10846|LOCMI10976|LOCMI11009|LOCMI11218|LOCMI11966|LOCMI12064|LOCMI12589|LOCMI12995|LOCMI13554|LOCMI13812|LOCMI14928|LOCMI15801|LOCMI15809|LOCMI15814|LOCMI15819|LOCMI15824|LOCMI15851|LOCMI15853|LOCMI15870|LOCMI15872|LOCMI15880|LOCMI15882|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15916|LOCMI15923|LOCMI15954|LOCMI15961|LOCMI15974|LOCMI15985|LOCMI16007|LOCMI16126|LOCMI16132|LOCMI16135|LOCMI16154|LOCMI16160|LOCMI16163|LOCMI16170|LOCMI16184|LOCMI16194|LOCMI16195|LOCMI16199|LOCMI16200|LOCMI16207|LOCMI16214|LOCMI16217|LOCMI16224|LOCMI16225|LOCMI16284|LOCMI16331|LOCMI16358|LOCMI16873
GO:0008234	cysteine-type peptidase activity	molecular_function	15	48	48	31.25	100.0	6.65689915788	0.0	0.0045873015873	 	 	LOCMI03132|LOCMI04477|LOCMI04478|LOCMI04479|LOCMI06403|LOCMI06404|LOCMI08256|LOCMI08257|LOCMI08258|LOCMI08259|LOCMI08260|LOCMI08261|LOCMI09424|LOCMI16354|LOCMI16959
GO:0016491	oxidoreductase activity	molecular_function	87	658	658	13.2218844985	100.0	6.625560437	0.0	0.0045873015873	 	cell redox homeostasis|electron carrier activity|organic ether metabolic process	LOCMI00274|LOCMI01539|LOCMI02006|LOCMI02150|LOCMI02556|LOCMI04589|LOCMI04667|LOCMI04813|LOCMI04886|LOCMI05246|LOCMI05288|LOCMI05296|LOCMI05499|LOCMI05700|LOCMI05701|LOCMI05702|LOCMI05915|LOCMI06328|LOCMI06345|LOCMI06507|LOCMI07520|LOCMI07523|LOCMI07568|LOCMI08784|LOCMI09120|LOCMI09249|LOCMI09712|LOCMI09715|LOCMI10846|LOCMI10976|LOCMI11009|LOCMI11218|LOCMI11966|LOCMI12064|LOCMI12589|LOCMI12995|LOCMI13396|LOCMI13438|LOCMI13554|LOCMI13812|LOCMI14928|LOCMI15801|LOCMI15809|LOCMI15814|LOCMI15819|LOCMI15824|LOCMI15851|LOCMI15853|LOCMI15870|LOCMI15872|LOCMI15880|LOCMI15882|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15916|LOCMI15923|LOCMI15954|LOCMI15961|LOCMI15974|LOCMI15976|LOCMI15985|LOCMI16007|LOCMI16062|LOCMI16126|LOCMI16132|LOCMI16135|LOCMI16154|LOCMI16160|LOCMI16163|LOCMI16170|LOCMI16184|LOCMI16194|LOCMI16195|LOCMI16199|LOCMI16200|LOCMI16207|LOCMI16214|LOCMI16217|LOCMI16224|LOCMI16225|LOCMI16226|LOCMI16284|LOCMI16331|LOCMI16358|LOCMI16713|LOCMI16873
GO:0018904	organic ether metabolic process	biological_process	6	15	15	40.0	100.0	5.04999843927	0.0005	0.0045873015873	cell redox homeostasis|electron carrier activity|oxidoreductase activity	 	LOCMI04589|LOCMI04886|LOCMI07523|LOCMI09249|LOCMI13438|LOCMI16713
GO:0044444	cytoplasmic part	cellular_component	38	265	265	14.3396226415	100.0	4.83064847854	0.0	0.0045873015873	cytoplasm	structural constituent of ribosome	LOCMI00016|LOCMI00130|LOCMI00230|LOCMI00611|LOCMI00680|LOCMI00915|LOCMI01517|LOCMI01704|LOCMI01789|LOCMI02250|LOCMI02563|LOCMI03103|LOCMI03823|LOCMI04416|LOCMI04836|LOCMI05114|LOCMI05618|LOCMI06257|LOCMI06322|LOCMI07006|LOCMI07012|LOCMI08029|LOCMI08528|LOCMI09135|LOCMI09249|LOCMI09269|LOCMI09452|LOCMI09779|LOCMI10353|LOCMI11763|LOCMI12362|LOCMI12559|LOCMI13438|LOCMI13545|LOCMI13553|LOCMI13563|LOCMI13987|LOCMI14420
GO:0009055	electron carrier activity	molecular_function	28	174	174	16.091954023	100.0	4.8126963273	0.0	0.0045873015873	oxidoreductase activity	cell redox homeostasis|organic ether metabolic process	LOCMI04589|LOCMI04667|LOCMI04886|LOCMI07523|LOCMI08784|LOCMI09249|LOCMI13438|LOCMI15976|LOCMI16126|LOCMI16132|LOCMI16135|LOCMI16154|LOCMI16160|LOCMI16163|LOCMI16170|LOCMI16184|LOCMI16194|LOCMI16195|LOCMI16199|LOCMI16200|LOCMI16207|LOCMI16214|LOCMI16217|LOCMI16224|LOCMI16225|LOCMI16226|LOCMI16713|LOCMI16873
