Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP	redundant with terms	inverse redundant	gene symbols
Fatty acid degradation:map00071	15	38	38	39.4736842105	100.0	6.90644043301	0.0	0.00339473684211	 	Butanoate metabolism:map00650|Tryptophan metabolism:map00380|alpha-Linolenic acid metabolism:map00592	LOCMI15809|LOCMI15851|LOCMI15853|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15923|LOCMI15940|LOCMI15961|LOCMI15985|LOCMI16007|LOCMI16046|LOCMI16298|LOCMI16371|LOCMI16955
Propanoate metabolism:map00640	10	27	27	37.037037037	100.0	5.35152264034	0.0	0.00339473684211	 	Butanoate metabolism:map00650|Tryptophan metabolism:map00380	LOCMI15851|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15940|LOCMI15964|LOCMI15985|LOCMI16298|LOCMI16371|LOCMI16955
Pentose and glucuronate interconversions:map00040	14	47	47	29.7872340426	100.0	5.28974674772	0.0	0.00339473684211	 	 	LOCMI03958|LOCMI13396|LOCMI13812|LOCMI15814|LOCMI15851|LOCMI15882|LOCMI15896|LOCMI15907|LOCMI15985|LOCMI16992|LOCMI17032|LOCMI17036|LOCMI17045|LOCMI17046
Galactose metabolism:map00052	9	24	24	37.5	100.0	5.12408126163	0.0	0.00339473684211	 	 	LOCMI03726|LOCMI05976|LOCMI09697|LOCMI11868|LOCMI13816|LOCMI15814|LOCMI15834|LOCMI15882|LOCMI16027
Valine, leucine and isoleucine degradation:map00280	12	39	39	30.7692307692	100.0	5.03227798625	0.0	0.00339473684211	 	Butanoate metabolism:map00650|Tryptophan metabolism:map00380	LOCMI00274|LOCMI15851|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15923|LOCMI15940|LOCMI15985|LOCMI16046|LOCMI16298|LOCMI16371|LOCMI16955
Protein processing in endoplasmic reticulum:map04141	23	117	117	19.6581196581	100.0	4.4428134188	0.0005	0.00339473684211	 	 	LOCMI00230|LOCMI00611|LOCMI01517|LOCMI01606|LOCMI04416|LOCMI05827|LOCMI07828|LOCMI08493|LOCMI09249|LOCMI10612|LOCMI11660|LOCMI11763|LOCMI11950|LOCMI12559|LOCMI13438|LOCMI13553|LOCMI13620|LOCMI14147|LOCMI14420|LOCMI14640|LOCMI14699|LOCMI15491|LOCMI15492
beta-Alanine metabolism:map00410	8	24	24	33.3333333333	100.0	4.38817113547	0.0005	0.00339473684211	 	Histidine metabolism:map00340	LOCMI09621|LOCMI15851|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15940|LOCMI15985|LOCMI16955
Tryptophan metabolism:map00380	9	29	29	31.0344827586	100.0	4.38191027514	0.0005	0.00339473684211	Fatty acid degradation:map00071|Lysine degradation:map00310|Propanoate metabolism:map00640|Valine, leucine and isoleucine degradation:map00280	Butanoate metabolism:map00650	LOCMI15851|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15940|LOCMI15985|LOCMI16298|LOCMI16371|LOCMI16955
Drug metabolism - cytochrome P450:map00982	11	40	40	27.5	100.0	4.3495308534	0.0	0.00339473684211	Metabolism of xenobiotics by cytochrome P450:map00980	Metabolism of xenobiotics by cytochrome P450:map00980	LOCMI08143|LOCMI15696|LOCMI15698|LOCMI15701|LOCMI15703|LOCMI16007|LOCMI16992|LOCMI17032|LOCMI17036|LOCMI17045|LOCMI17046
Ascorbate and aldarate metabolism:map00053	11	40	40	27.5	100.0	4.3495308534	0.0	0.00339473684211	 	 	LOCMI07298|LOCMI15851|LOCMI15896|LOCMI15907|LOCMI15912|LOCMI15985|LOCMI16992|LOCMI17032|LOCMI17036|LOCMI17045|LOCMI17046
