Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP	redundant with terms	inverse redundant	gene symbols
GO:0005198	structural molecule activity	molecular_function	71	337	337	21.0682492582	100.0	16.0434308023	0.0	0.0160555555556	 	 	LOCMI00454|LOCMI01688|LOCMI02816|LOCMI02963|LOCMI03209|LOCMI04186|LOCMI04505|LOCMI04506|LOCMI05430|LOCMI05479|LOCMI07059|LOCMI07060|LOCMI07191|LOCMI08289|LOCMI09047|LOCMI09745|LOCMI10293|LOCMI11351|LOCMI12038|LOCMI12121|LOCMI12142|LOCMI12177|LOCMI13224|LOCMI13571|LOCMI15344|LOCMI15345|LOCMI15346|LOCMI16598|LOCMI16599|LOCMI16600|LOCMI16602|LOCMI16604|LOCMI16606|LOCMI16609|LOCMI16612|LOCMI16613|LOCMI16617|LOCMI16618|LOCMI16621|LOCMI16627|LOCMI16628|LOCMI16629|LOCMI16630|LOCMI16632|LOCMI16637|LOCMI16638|LOCMI16639|LOCMI16640|LOCMI16641|LOCMI16673|LOCMI16677|LOCMI16704|LOCMI16714|LOCMI16718|LOCMI16731|LOCMI16766|LOCMI16781|LOCMI16819|LOCMI16833|LOCMI16834|LOCMI16838|LOCMI16851|LOCMI17132|LOCMI17139|LOCMI17141|LOCMI17181|LOCMI17196|LOCMI17205|LOCMI17206|LOCMI17211|LOCMI17322
GO:0005975	carbohydrate metabolic process	biological_process	41	368	368	11.1413043478	100.0	6.97285957841	0.0	0.0160555555556	 	 	LOCMI00811|LOCMI02000|LOCMI02015|LOCMI02438|LOCMI03116|LOCMI04280|LOCMI04906|LOCMI05874|LOCMI06290|LOCMI08032|LOCMI08613|LOCMI09610|LOCMI09973|LOCMI10214|LOCMI10699|LOCMI11012|LOCMI11525|LOCMI11713|LOCMI11714|LOCMI11717|LOCMI12218|LOCMI12316|LOCMI12795|LOCMI12827|LOCMI13591|LOCMI13992|LOCMI14956|LOCMI15836|LOCMI15879|LOCMI15989|LOCMI16056|LOCMI16369|LOCMI16410|LOCMI16431|LOCMI16435|LOCMI16589|LOCMI17048|LOCMI17127|LOCMI17170|LOCMI17185|LOCMI17331
GO:0022610	biological adhesion	biological_process	14	96	96	14.5833333333	100.0	5.21424188422	0.0	0.0160555555556	 	 	LOCMI03213|LOCMI07163|LOCMI07377|LOCMI07430|LOCMI09833|LOCMI10293|LOCMI11012|LOCMI12038|LOCMI12774|LOCMI12775|LOCMI13455|LOCMI13571|LOCMI15198|LOCMI16647
GO:0009072	aromatic amino acid family metabolic process	biological_process	3	9	9	33.3333333333	100.0	4.42781831987	0.0055	0.0775365853659	oxidation-reduction process|oxidoreductase activity	 	LOCMI02396|LOCMI03436|LOCMI16397
GO:0005509	calcium ion binding	molecular_function	19	188	188	10.1063829787	100.0	4.20521066907	0.0	0.0160555555556	 	 	LOCMI06188|LOCMI06190|LOCMI06732|LOCMI07377|LOCMI07434|LOCMI07577|LOCMI07641|LOCMI10465|LOCMI12547|LOCMI12774|LOCMI12775|LOCMI13028|LOCMI13029|LOCMI13030|LOCMI14040|LOCMI14316|LOCMI15198|LOCMI16054|LOCMI16056
GO:0005506	iron ion binding	molecular_function	18	174	174	10.3448275862	100.0	4.20253304403	0.0005	0.0160555555556	 	tetrapyrrole binding	LOCMI01033|LOCMI05040|LOCMI05620|LOCMI05775|LOCMI10884|LOCMI11161|LOCMI11162|LOCMI16136|LOCMI16151|LOCMI16156|LOCMI16171|LOCMI16173|LOCMI16176|LOCMI16187|LOCMI16221|LOCMI16232|LOCMI16259|LOCMI16264
GO:0046906	tetrapyrrole binding	molecular_function	17	167	167	10.1796407186	100.0	4.00660752336	0.0005	0.0160555555556	iron ion binding|oxidoreductase activity	 	LOCMI01033|LOCMI05040|LOCMI05775|LOCMI10884|LOCMI11161|LOCMI11162|LOCMI16136|LOCMI16151|LOCMI16156|LOCMI16171|LOCMI16173|LOCMI16176|LOCMI16187|LOCMI16221|LOCMI16232|LOCMI16259|LOCMI16264
GO:0016491	oxidoreductase activity	molecular_function	43	658	658	6.53495440729	100.0	3.28762505027	0.0	0.0160555555556	 	aromatic amino acid family metabolic process|oxidation-reduction process|tetrapyrrole binding	LOCMI01033|LOCMI01280|LOCMI02396|LOCMI02490|LOCMI03329|LOCMI03436|LOCMI03486|LOCMI04029|LOCMI04084|LOCMI04519|LOCMI04643|LOCMI05040|LOCMI05775|LOCMI06426|LOCMI06504|LOCMI06829|LOCMI09257|LOCMI09783|LOCMI10884|LOCMI11161|LOCMI11162|LOCMI11922|LOCMI13304|LOCMI13963|LOCMI13964|LOCMI15821|LOCMI15836|LOCMI15879|LOCMI15899|LOCMI16056|LOCMI16136|LOCMI16151|LOCMI16156|LOCMI16171|LOCMI16173|LOCMI16176|LOCMI16187|LOCMI16221|LOCMI16232|LOCMI16259|LOCMI16260|LOCMI16264|LOCMI16397
GO:0055114	oxidation-reduction process	biological_process	33	515	515	6.40776699029	100.0	2.73191268253	0.004	0.0608421052632	oxidoreductase activity	aromatic amino acid family metabolic process	LOCMI01033|LOCMI02396|LOCMI03436|LOCMI04084|LOCMI04519|LOCMI04643|LOCMI05040|LOCMI05775|LOCMI06504|LOCMI09257|LOCMI09783|LOCMI10884|LOCMI11161|LOCMI11162|LOCMI11922|LOCMI13963|LOCMI13964|LOCMI15821|LOCMI15836|LOCMI15879|LOCMI15899|LOCMI16056|LOCMI16136|LOCMI16151|LOCMI16156|LOCMI16171|LOCMI16173|LOCMI16176|LOCMI16187|LOCMI16259|LOCMI16260|LOCMI16264|LOCMI16397
GO:0046873	metal ion transmembrane transporter activity	molecular_function	3	19	19	15.7894736842	100.0	2.57464006677	0.0315	0.275863636364	inorganic cation transmembrane transporter activity|neurotransmitter transport|neurotransmitter transporter activity|secondary active transmembrane transporter activity	inorganic cation transmembrane transporter activity|neurotransmitter transport|neurotransmitter transporter activity|secondary active transmembrane transporter activity	LOCMI01723|LOCMI02454|LOCMI06277
