Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP	redundant with terms	inverse redundant	gene symbols
Ribosome:map03010	26	139	139	18.7050359712	100.0	4.56283789662	0.0	0.043	 	 	LOCMI00130|LOCMI01789|LOCMI03696|LOCMI04006|LOCMI05114|LOCMI05551|LOCMI06804|LOCMI07012|LOCMI07886|LOCMI08029|LOCMI08559|LOCMI09539|LOCMI09637|LOCMI09731|LOCMI10304|LOCMI10621|LOCMI11190|LOCMI11617|LOCMI13315|LOCMI13370|LOCMI13545|LOCMI13569|LOCMI13842|LOCMI14132|LOCMI14819|LOCMI15205
Pentose and glucuronate interconversions:map00040	10	47	47	21.2765957447	100.0	3.24581812311	0.0	0.043	 	 	LOCMI03958|LOCMI08865|LOCMI09478|LOCMI13396|LOCMI13812|LOCMI15882|LOCMI15896|LOCMI15907|LOCMI17032|LOCMI17046
Proteasome:map03050	9	42	42	21.4285714286	100.0	3.10105749872	0.001	0.043	 	 	LOCMI00924|LOCMI01417|LOCMI01611|LOCMI02745|LOCMI03019|LOCMI10127|LOCMI13695|LOCMI14671|LOCMI15125
Protein processing in endoplasmic reticulum:map04141	18	117	117	15.3846153846	100.0	2.83376270979	0.009	0.145125	 	 	LOCMI01517|LOCMI01606|LOCMI01936|LOCMI04087|LOCMI04416|LOCMI04618|LOCMI05600|LOCMI05622|LOCMI08663|LOCMI10612|LOCMI11950|LOCMI14553|LOCMI15491|LOCMI15492|LOCMI15493|LOCMI15512|LOCMI16459|LOCMI17354
SNARE interactions in vesicular transport:map04130	5	20	20	25.0	100.0	2.7106192361	0.0025	0.0645	 	 	LOCMI01016|LOCMI01645|LOCMI04203|LOCMI14159|LOCMI14621
Spliceosome:map03040	18	123	123	14.6341463415	100.0	2.60011053683	0.033	0.2660625	 	 	LOCMI08265|LOCMI15442|LOCMI16810|LOCMI17058|LOCMI17113|LOCMI17116|LOCMI17126|LOCMI17129|LOCMI17142|LOCMI17197|LOCMI17202|LOCMI17234|LOCMI17239|LOCMI17261|LOCMI17279|LOCMI17308|LOCMI17317|LOCMI17330
Glycosaminoglycan degradation:map00531	4	16	16	25.0	100.0	2.42243955588	0.007	0.129	 	 	LOCMI03958|LOCMI04276|LOCMI09283|LOCMI10636
Glutathione metabolism:map00480	8	44	44	18.1818181818	100.0	2.38870337262	0.0025	0.0645	 	 	LOCMI04119|LOCMI07468|LOCMI08143|LOCMI08995|LOCMI15070|LOCMI15698|LOCMI15707|LOCMI15716
Protein export:map03060	4	18	18	22.2222222222	100.0	2.14230753947	0.0155	0.205227272727	 	 	LOCMI07265|LOCMI10612|LOCMI15492|LOCMI15493
Pyruvate metabolism:map00620	7	41	41	17.0731707317	100.0	2.04524859182	0.0065	0.129	 	 	LOCMI05791|LOCMI06696|LOCMI15882|LOCMI15896|LOCMI15907|LOCMI15918|LOCMI16875
