Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP	redundant with terms	inverse redundant	gene symbols
GO:0000785	chromatin	cellular_component	27	70	70	38.5714285714	100.0	10.4479152527	0.0	0.00996551724138	chromatin assembly or disassembly|chromosome	chromatin assembly or disassembly|chromosome	LOCMI00917|LOCMI01334|LOCMI01686|LOCMI02850|LOCMI02904|LOCMI02995|LOCMI03330|LOCMI03602|LOCMI04013|LOCMI05311|LOCMI05487|LOCMI05509|LOCMI05750|LOCMI06259|LOCMI06335|LOCMI08311|LOCMI08350|LOCMI08555|LOCMI08907|LOCMI11032|LOCMI11273|LOCMI11377|LOCMI11532|LOCMI12024|LOCMI13526|LOCMI13541|LOCMI15324
GO:0006333	chromatin assembly or disassembly	biological_process	27	73	73	36.9863013699	100.0	10.1364516941	0.0	0.00996551724138	chromatin|chromosome	chromatin|chromosome	LOCMI00917|LOCMI01334|LOCMI01686|LOCMI02850|LOCMI02904|LOCMI02995|LOCMI03330|LOCMI03602|LOCMI04013|LOCMI05311|LOCMI05487|LOCMI05509|LOCMI05750|LOCMI06259|LOCMI06335|LOCMI08311|LOCMI08350|LOCMI08555|LOCMI08907|LOCMI11032|LOCMI11273|LOCMI11377|LOCMI11532|LOCMI12024|LOCMI13526|LOCMI13541|LOCMI15324
GO:0005198	structural molecule activity	molecular_function	68	337	337	20.178041543	100.0	9.74705358651	0.0	0.00996551724138	 	 	LOCMI01110|LOCMI01469|LOCMI01885|LOCMI01986|LOCMI02653|LOCMI02963|LOCMI03209|LOCMI04602|LOCMI04650|LOCMI05383|LOCMI05479|LOCMI05981|LOCMI06228|LOCMI06498|LOCMI06694|LOCMI07059|LOCMI07060|LOCMI07097|LOCMI07191|LOCMI08908|LOCMI11351|LOCMI11496|LOCMI11744|LOCMI12121|LOCMI12178|LOCMI13224|LOCMI13571|LOCMI13706|LOCMI13987|LOCMI15344|LOCMI15345|LOCMI15346|LOCMI16600|LOCMI16602|LOCMI16604|LOCMI16606|LOCMI16609|LOCMI16610|LOCMI16618|LOCMI16626|LOCMI16627|LOCMI16628|LOCMI16629|LOCMI16630|LOCMI16632|LOCMI16637|LOCMI16638|LOCMI16639|LOCMI16640|LOCMI16641|LOCMI16673|LOCMI16677|LOCMI16718|LOCMI16721|LOCMI16731|LOCMI16739|LOCMI16781|LOCMI16819|LOCMI16833|LOCMI16834|LOCMI16851|LOCMI17132|LOCMI17141|LOCMI17181|LOCMI17205|LOCMI17206|LOCMI17211|LOCMI17322
GO:0005694	chromosome	cellular_component	27	108	108	25.0	100.0	7.4249236884	0.0	0.00996551724138	chromatin|chromatin assembly or disassembly	chromatin|chromatin assembly or disassembly	LOCMI00917|LOCMI01334|LOCMI01686|LOCMI02850|LOCMI02904|LOCMI02995|LOCMI03330|LOCMI03602|LOCMI04013|LOCMI05311|LOCMI05487|LOCMI05509|LOCMI05750|LOCMI06259|LOCMI06335|LOCMI08311|LOCMI08350|LOCMI08555|LOCMI08907|LOCMI11032|LOCMI11273|LOCMI11377|LOCMI11532|LOCMI12024|LOCMI13526|LOCMI13541|LOCMI15324
GO:0005506	iron ion binding	molecular_function	34	174	174	19.5402298851	100.0	6.6001416575	0.0	0.00996551724138	 	tetrapyrrole binding	LOCMI01033|LOCMI03281|LOCMI04667|LOCMI05040|LOCMI05620|LOCMI05775|LOCMI08967|LOCMI10884|LOCMI11161|LOCMI11162|LOCMI14059|LOCMI14948|LOCMI16124|LOCMI16136|LOCMI16138|LOCMI16144|LOCMI16155|LOCMI16156|LOCMI16169|LOCMI16175|LOCMI16176|LOCMI16178|LOCMI16179|LOCMI16187|LOCMI16194|LOCMI16197|LOCMI16208|LOCMI16210|LOCMI16217|LOCMI16236|LOCMI16237|LOCMI16262|LOCMI16264|LOCMI16873
GO:0046906	tetrapyrrole binding	molecular_function	33	167	167	19.7604790419	100.0	6.57633593518	0.0	0.00996551724138	iron ion binding	 	LOCMI01033|LOCMI03281|LOCMI04667|LOCMI05040|LOCMI05775|LOCMI08967|LOCMI10884|LOCMI11161|LOCMI11162|LOCMI14059|LOCMI14948|LOCMI16124|LOCMI16136|LOCMI16138|LOCMI16144|LOCMI16155|LOCMI16156|LOCMI16169|LOCMI16175|LOCMI16176|LOCMI16178|LOCMI16179|LOCMI16187|LOCMI16194|LOCMI16197|LOCMI16208|LOCMI16210|LOCMI16217|LOCMI16236|LOCMI16237|LOCMI16262|LOCMI16264|LOCMI16873
GO:0005975	carbohydrate metabolic process	biological_process	56	368	368	15.2173913043	100.0	6.37849889969	0.0	0.00996551724138	 	 	LOCMI00112|LOCMI00796|LOCMI00811|LOCMI01214|LOCMI01286|LOCMI01323|LOCMI01455|LOCMI01594|LOCMI01666|LOCMI01741|LOCMI02015|LOCMI02529|LOCMI03116|LOCMI03383|LOCMI03766|LOCMI04280|LOCMI04906|LOCMI05874|LOCMI06290|LOCMI06773|LOCMI06775|LOCMI08521|LOCMI08914|LOCMI09973|LOCMI10699|LOCMI11713|LOCMI11714|LOCMI11717|LOCMI12218|LOCMI12795|LOCMI13444|LOCMI13445|LOCMI13447|LOCMI13448|LOCMI13992|LOCMI15488|LOCMI15836|LOCMI15879|LOCMI15924|LOCMI15947|LOCMI15975|LOCMI15989|LOCMI15994|LOCMI16029|LOCMI16061|LOCMI16063|LOCMI16366|LOCMI16369|LOCMI16431|LOCMI16434|LOCMI16435|LOCMI17048|LOCMI17127|LOCMI17170|LOCMI17185|LOCMI17331
GO:0009072	aromatic amino acid family metabolic process	biological_process	5	9	9	55.5555555556	100.0	5.73750741887	0.0	0.00996551724138	 	 	LOCMI00197|LOCMI02396|LOCMI03436|LOCMI16397|LOCMI17073
GO:0016491	oxidoreductase activity	molecular_function	80	658	658	12.1580547112	100.0	5.47269420928	0.0	0.00996551724138	 	electron carrier activity	LOCMI00075|LOCMI01033|LOCMI01242|LOCMI01266|LOCMI01539|LOCMI02396|LOCMI02490|LOCMI02919|LOCMI03021|LOCMI03436|LOCMI03486|LOCMI03761|LOCMI03770|LOCMI03841|LOCMI04519|LOCMI04667|LOCMI05015|LOCMI05040|LOCMI05288|LOCMI05703|LOCMI05775|LOCMI08784|LOCMI08954|LOCMI08955|LOCMI08967|LOCMI09783|LOCMI10884|LOCMI11161|LOCMI11162|LOCMI13304|LOCMI13444|LOCMI13445|LOCMI13447|LOCMI13448|LOCMI13628|LOCMI13707|LOCMI13963|LOCMI14928|LOCMI14948|LOCMI15049|LOCMI15795|LOCMI15836|LOCMI15873|LOCMI15879|LOCMI15906|LOCMI15975|LOCMI16061|LOCMI16124|LOCMI16136|LOCMI16138|LOCMI16144|LOCMI16155|LOCMI16156|LOCMI16169|LOCMI16175|LOCMI16176|LOCMI16178|LOCMI16179|LOCMI16187|LOCMI16194|LOCMI16197|LOCMI16208|LOCMI16210|LOCMI16217|LOCMI16236|LOCMI16237|LOCMI16251|LOCMI16260|LOCMI16262|LOCMI16264|LOCMI16267|LOCMI16268|LOCMI16269|LOCMI16273|LOCMI16274|LOCMI16276|LOCMI16387|LOCMI16397|LOCMI16873|LOCMI17073
GO:0055114	oxidation-reduction process	biological_process	65	515	515	12.6213592233	100.0	5.2244732125	0.0	0.00996551724138	 	 	LOCMI01033|LOCMI01242|LOCMI01266|LOCMI02396|LOCMI03021|LOCMI03436|LOCMI03761|LOCMI03841|LOCMI04519|LOCMI04667|LOCMI04868|LOCMI05015|LOCMI05040|LOCMI05288|LOCMI05703|LOCMI05775|LOCMI08954|LOCMI08955|LOCMI08967|LOCMI09783|LOCMI10884|LOCMI11161|LOCMI11162|LOCMI13444|LOCMI13445|LOCMI13447|LOCMI13448|LOCMI13963|LOCMI14928|LOCMI14948|LOCMI15049|LOCMI15488|LOCMI15836|LOCMI15873|LOCMI15879|LOCMI15906|LOCMI15975|LOCMI16061|LOCMI16124|LOCMI16136|LOCMI16138|LOCMI16144|LOCMI16155|LOCMI16156|LOCMI16169|LOCMI16175|LOCMI16176|LOCMI16178|LOCMI16179|LOCMI16187|LOCMI16194|LOCMI16197|LOCMI16208|LOCMI16210|LOCMI16217|LOCMI16236|LOCMI16237|LOCMI16251|LOCMI16260|LOCMI16262|LOCMI16264|LOCMI16387|LOCMI16397|LOCMI16873|LOCMI17073
