Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP	redundant with terms	inverse redundant	gene symbols
GO:0048878	chemical homeostasis	biological_process	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667	ferric iron binding|iron ion transport|oxidation-reduction process|oxidoreductase activity	ferric iron binding|iron ion transport	LOCMI02150|LOCMI02151|LOCMI14448
GO:0008199	ferric iron binding	molecular_function	3	7	7	42.8571428571	100.0	11.604111744	0.0	0.0120416666667	chemical homeostasis|iron ion transport|oxidation-reduction process|oxidoreductase activity	chemical homeostasis|iron ion transport	LOCMI02150|LOCMI02151|LOCMI14448
GO:0006826	iron ion transport	biological_process	3	9	9	33.3333333333	100.0	10.1706901052	0.0	0.0120416666667	chemical homeostasis|ferric iron binding|oxidation-reduction process|oxidoreductase activity	chemical homeostasis|ferric iron binding	LOCMI02150|LOCMI02151|LOCMI14448
GO:0005198	structural molecule activity	molecular_function	18	337	337	5.3412462908	100.0	8.65353890081	0.0	0.0120416666667	 	ribonucleoprotein complex	LOCMI00502|LOCMI01460|LOCMI02771|LOCMI03817|LOCMI05551|LOCMI06177|LOCMI07097|LOCMI07717|LOCMI11190|LOCMI11744|LOCMI16609|LOCMI16641|LOCMI16703|LOCMI16731|LOCMI17132|LOCMI17141|LOCMI17205|LOCMI17206
GO:0004252	serine-type endopeptidase activity	molecular_function	8	146	146	5.47945205479	100.0	5.80602401939	0.0	0.0120416666667	proteolysis	 	LOCMI04023|LOCMI07248|LOCMI07517|LOCMI08944|LOCMI14929|LOCMI15035|LOCMI15126|LOCMI15127
GO:0055114	oxidation-reduction process	biological_process	13	515	515	2.52427184466	100.0	3.91980927923	0.0025	0.0498275862069	oxidoreductase activity	chemical homeostasis|ferric iron binding|iron ion transport|oxidoreductase activity	LOCMI00125|LOCMI02150|LOCMI02151|LOCMI03312|LOCMI03761|LOCMI14448|LOCMI15867|LOCMI15906|LOCMI15907|LOCMI16146|LOCMI16209|LOCMI16258|LOCMI16688
GO:0030529	ribonucleoprotein complex	cellular_component	6	177	177	3.38983050847	100.0	3.46728895902	0.0065	0.093925	structural molecule activity	 	LOCMI00502|LOCMI02771|LOCMI05551|LOCMI07717|LOCMI11190|LOCMI11744
GO:0006508	proteolysis	biological_process	10	422	422	2.36966824645	100.0	3.18699963182	0.0045	0.0743142857143	 	serine-type endopeptidase activity	LOCMI03374|LOCMI04023|LOCMI07248|LOCMI07517|LOCMI08944|LOCMI09424|LOCMI14929|LOCMI15035|LOCMI15126|LOCMI15127
GO:0005975	carbohydrate metabolic process	biological_process	9	368	368	2.44565217391	100.0	3.12197757585	0.0065	0.093925	 	 	LOCMI02184|LOCMI02469|LOCMI03536|LOCMI07565|LOCMI09790|LOCMI10214|LOCMI11184|LOCMI12355|LOCMI12827
GO:0016491	oxidoreductase activity	molecular_function	13	658	658	1.97568389058	100.0	2.93910706815	0.0125	0.1445	oxidation-reduction process	chemical homeostasis|ferric iron binding|iron ion transport|oxidation-reduction process	LOCMI00125|LOCMI02150|LOCMI02151|LOCMI03312|LOCMI03761|LOCMI14448|LOCMI15867|LOCMI15906|LOCMI15907|LOCMI16146|LOCMI16209|LOCMI16258|LOCMI16688
GO:0005215	transporter activity	molecular_function	12	631	631	1.90174326466	100.0	2.67132919853	0.015	0.166730769231	 	 	LOCMI00208|LOCMI09561|LOCMI11147|LOCMI11961|LOCMI11963|LOCMI13783|LOCMI13786|LOCMI15494|LOCMI15495|LOCMI15496|LOCMI16605|LOCMI16712
