Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP	redundant with terms	inverse redundant	gene symbols
GO:0044431	Golgi apparatus part	cellular_component	3	8	8	37.5	100.0	11.8946147788	0.0	0.0642222222222	cytoplasm|establishment of localization in cell|vesicle-mediated transport	vesicle-mediated transport	LOCMI05256|LOCMI07514|LOCMI14937
GO:0005198	structural molecule activity	molecular_function	12	337	337	3.56083086053	100.0	5.984823712	0.0	0.0642222222222	 	 	LOCMI01688|LOCMI02963|LOCMI04505|LOCMI05256|LOCMI07701|LOCMI10353|LOCMI14937|LOCMI16617|LOCMI16714|LOCMI16769|LOCMI16781|LOCMI17139
GO:0044271	cellular nitrogen compound biosynthetic process	biological_process	4	106	107	3.77358490566	99.0654205607	3.56197919643	0.008	0.272	heterocycle biosynthetic process	heterocycle biosynthetic process|purine nucleotide metabolic process|small molecule biosynthetic process	LOCMI09250|LOCMI15172|LOCMI16049|LOCMI16100
GO:0018130	heterocycle biosynthetic process	biological_process	4	106	107	3.77358490566	99.0654205607	3.56197919643	0.008	0.272	cellular nitrogen compound biosynthetic process	cellular nitrogen compound biosynthetic process|purine nucleotide metabolic process|small molecule biosynthetic process	LOCMI09250|LOCMI15172|LOCMI16049|LOCMI16100
GO:0016192	vesicle-mediated transport	biological_process	3	74	74	4.05405405405	100.0	3.24777590309	0.0145	0.364391304348	Golgi apparatus part|cytoplasm|establishment of localization in cell	Golgi apparatus part	LOCMI05256|LOCMI07514|LOCMI14937
GO:0051649	establishment of localization in cell	biological_process	4	126	126	3.1746031746	100.0	3.11293176163	0.0135	0.354681818182	cytoplasm	Golgi apparatus part|vesicle-mediated transport	LOCMI00016|LOCMI05256|LOCMI07514|LOCMI14937
GO:0016491	oxidoreductase activity	molecular_function	11	658	658	1.6717325228	100.0	2.75837540102	0.0105	0.337166666667	 	oxidation-reduction process	LOCMI04643|LOCMI05701|LOCMI05702|LOCMI05703|LOCMI06328|LOCMI13963|LOCMI15980|LOCMI16180|LOCMI16273|LOCMI16274|LOCMI16296
GO:0044283	small molecule biosynthetic process	biological_process	3	92	93	3.26086956522	98.9247311828	2.74977260122	0.0325	0.426931818182	cellular nitrogen compound biosynthetic process|heterocycle biosynthetic process|purine nucleotide metabolic process	purine nucleotide metabolic process	LOCMI15172|LOCMI16049|LOCMI16100
GO:0006163	purine nucleotide metabolic process	biological_process	3	92	93	3.26086956522	98.9247311828	2.74977260122	0.0325	0.426931818182	cellular nitrogen compound biosynthetic process|heterocycle biosynthetic process|small molecule biosynthetic process	small molecule biosynthetic process	LOCMI15172|LOCMI16049|LOCMI16100
GO:0055114	oxidation-reduction process	biological_process	9	515	515	1.74757281553	100.0	2.62146159371	0.017	0.38834375	oxidoreductase activity	 	LOCMI04643|LOCMI05701|LOCMI05702|LOCMI05703|LOCMI06328|LOCMI13963|LOCMI15980|LOCMI16180|LOCMI16296
GO:0005737	cytoplasm	cellular_component	10	634	634	1.57728706625	100.0	2.42047386937	0.024	0.396342857143	 	Golgi apparatus part|establishment of localization in cell|vesicle-mediated transport	LOCMI00016|LOCMI04008|LOCMI05256|LOCMI05399|LOCMI07514|LOCMI10353|LOCMI14937|LOCMI15980|LOCMI16008|LOCMI16100
GO:0045184	establishment of protein localization	biological_process	4	183	183	2.18579234973	100.0	2.21683046038	0.045	0.49620754717	 	 	LOCMI00016|LOCMI05256|LOCMI14560|LOCMI14937
