GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI14448	LOCMI14448	ferritin-like precursor	5	0.454545454545	LOCMI14448	chemical homeostasis // ferric iron binding // iron ion transport // oxidation-reduction process // oxidoreductase activity
LOCMI02151	LOCMI02151	secreted ferritin G subunit precursor, putative	5	0.454545454545	LOCMI02151	chemical homeostasis // ferric iron binding // iron ion transport // oxidation-reduction process // oxidoreductase activity
LOCMI02150	LOCMI02150	ferritin-like precursor	5	0.454545454545	LOCMI02150	chemical homeostasis // ferric iron binding // iron ion transport // oxidation-reduction process // oxidoreductase activity
LOCMI16688	LOCMI16688	glutathione peroxidase	2	0.181818181818	LOCMI16688	oxidation-reduction process // oxidoreductase activity
LOCMI16258	LOCMI16258	Probable phospholipid hydroperoxide glutathione peroxidase	2	0.181818181818	LOCMI16258	oxidation-reduction process // oxidoreductase activity
LOCMI16209	LOCMI16209	cytochrome P450 9E1	2	0.181818181818	LOCMI16209	oxidation-reduction process // oxidoreductase activity
LOCMI16146	LOCMI16146	cytochrome P450 9E1	2	0.181818181818	LOCMI16146	oxidation-reduction process // oxidoreductase activity
LOCMI15907	LOCMI15907	Retinal dehydrogenase 1	2	0.181818181818	LOCMI15907	oxidation-reduction process // oxidoreductase activity
LOCMI15906	LOCMI15906	PREDICTED: similar to GA11371-PA	2	0.181818181818	LOCMI15906	oxidation-reduction process // oxidoreductase activity
LOCMI15867	LOCMI15867	aldose reductase, putative	2	0.181818181818	LOCMI15867	oxidation-reduction process // oxidoreductase activity
LOCMI15127	LOCMI15127	MPA3 allergen	2	0.181818181818	LOCMI15127	serine-type endopeptidase activity // proteolysis
LOCMI15126	LOCMI15126	MPA3 allergen	2	0.181818181818	LOCMI15126	serine-type endopeptidase activity // proteolysis
LOCMI15035	LOCMI15035	MPA3 allergen	2	0.181818181818	LOCMI15035	serine-type endopeptidase activity // proteolysis
LOCMI14929	LOCMI14929	GK17275	2	0.181818181818	LOCMI14929	serine-type endopeptidase activity // proteolysis
LOCMI11744	LOCMI11744	RecName: Full=40S ribosomal protein S13 gb|AAK92182.1|AF400210_1 ribosomal protein S13	2	0.181818181818	LOCMI11744	ribonucleoprotein complex // structural molecule activity
LOCMI11190	LOCMI11190	mitochondrial ribosomal protein, S18C, putative	2	0.181818181818	LOCMI11190	ribonucleoprotein complex // structural molecule activity
LOCMI08944	LOCMI08944	serine protease-like protein	2	0.181818181818	LOCMI08944	serine-type endopeptidase activity // proteolysis
LOCMI07717	LOCMI07717	40S ribosomal protein S24	2	0.181818181818	LOCMI07717	ribonucleoprotein complex // structural molecule activity
LOCMI07517	LOCMI07517	serine protease 48 precursor	2	0.181818181818	LOCMI07517	serine-type endopeptidase activity // proteolysis
LOCMI07248	LOCMI07248	serine protease-like protein	2	0.181818181818	LOCMI07248	serine-type endopeptidase activity // proteolysis
