Ontology-ID	Ontology-term	Ontology-name	Ontology-type	elite_term_in	number_changed.G1_2-VS-S1_2.down-GO_z-score_elite	number_measured.G1_2-VS-S1_2.down-GO_z-score_elite	 z_score.G1_2-VS-S1_2.down-GO_z-score_elite	permuteP.G1_2-VS-S1_2.down-GO_z-score_elite	number_changed.G1_2-VS-S1_2.up-GO_z-score_elite	number_measured.G1_2-VS-S1_2.up-GO_z-score_elite	 z_score.G1_2-VS-S1_2.up-GO_z-score_elite	permuteP.G1_2-VS-S1_2.up-GO_z-score_elite	number_changed.G3-VS-S3.down-GO_z-score_elite	number_measured.G3-VS-S3.down-GO_z-score_elite	 z_score.G3-VS-S3.down-GO_z-score_elite	permuteP.G3-VS-S3.down-GO_z-score_elite	number_changed.G3-VS-S3.up-GO_z-score_elite	number_measured.G3-VS-S3.up-GO_z-score_elite	 z_score.G3-VS-S3.up-GO_z-score_elite	permuteP.G3-VS-S3.up-GO_z-score_elite	number_changed.G4-VS-S4.down-GO_z-score_elite	number_measured.G4-VS-S4.down-GO_z-score_elite	 z_score.G4-VS-S4.down-GO_z-score_elite	permuteP.G4-VS-S4.down-GO_z-score_elite	number_changed.G4-VS-S4.up-GO_z-score_elite	number_measured.G4-VS-S4.up-GO_z-score_elite	 z_score.G4-VS-S4.up-GO_z-score_elite	permuteP.G4-VS-S4.up-GO_z-score_elite	number_changed.G5-VS-S5.down-GO_z-score_elite	number_measured.G5-VS-S5.down-GO_z-score_elite	 z_score.G5-VS-S5.down-GO_z-score_elite	permuteP.G5-VS-S5.down-GO_z-score_elite	number_changed.G5-VS-S5.up-GO_z-score_elite	number_measured.G5-VS-S5.up-GO_z-score_elite	 z_score.G5-VS-S5.up-GO_z-score_elite	permuteP.G5-VS-S5.up-GO_z-score_elite	number_changed.Gadult-VS-Sadult.down-GO_z-score_elite	number_measured.Gadult-VS-Sadult.down-GO_z-score_elite	 z_score.Gadult-VS-Sadult.down-GO_z-score_elite	permuteP.Gadult-VS-Sadult.down-GO_z-score_elite	number_changed.Gadult-VS-Sadult.up-GO_z-score_elite	number_measured.Gadult-VS-Sadult.up-GO_z-score_elite	 z_score.Gadult-VS-Sadult.up-GO_z-score_elite	permuteP.Gadult-VS-Sadult.up-GO_z-score_elite	number_changed.Gegg-VS-Segg.down-GO_z-score_elite	number_measured.Gegg-VS-Segg.down-GO_z-score_elite	 z_score.Gegg-VS-Segg.down-GO_z-score_elite	permuteP.Gegg-VS-Segg.down-GO_z-score_elite	number_changed.Gegg-VS-Segg.up-GO_z-score_elite	number_measured.Gegg-VS-Segg.up-GO_z-score_elite	 z_score.Gegg-VS-Segg.up-GO_z-score_elite	permuteP.Gegg-VS-Segg.up-GO_z-score_elite
GO:0022890	inorganic cation transmembrane transporter activity	GeneOntology	molecular_function	G5-VS-S5.up-GO_z-score_elite	0	19	-1.19021060573	0.3915	0	19	-0.5080733791	1.0	0	19	-0.378232429118	1.0	0	19	-0.372135941264	1.0	0	19	-0.496556730764	1.0	0	19	-0.5080733791	1.0	0	19	-0.812372369806	0.6725	3	19	2.57464006677	0.0315	0	19	-1.02772747198	0.6175	1	19	-0.289198303109	0.731	0	19	-0.421235139559	1.0	0	19	-0.384235038611	1.0
GO:0022607	cellular component assembly	GeneOntology	biological_process	G5-VS-S5.down-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite	8	44	2.9487843267	0.01	1	44	0.541339392126	0.4685	0	44	-0.576438931811	1.0	1	44	1.2179728854	0.291	0	44	-0.7567691436	0.6775	1	44	0.541339392126	0.4495	5	44	2.96177402397	0.0185	2	44	0.150932925952	0.839	10	44	5.20685994271	0.0	5	44	1.15474328786	0.3235	0	44	-0.641976507554	1.0	0	44	-0.585587110386	1.0
GO:0006508	proteolysis	GeneOntology	biological_process	G1_2-VS-S1_2.down-GO_z-score_elite|G4-VS-S4.down-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|Gegg-VS-Segg.down-GO_z-score_elite	75	422	9.00494855727	0.0	13	422	3.19750101378	0.004	6	422	1.65606247996	0.0965	1	422	-1.20745974121	0.238	6	422	0.268993252389	0.8175	12	422	2.76278331182	0.0145	10	422	-1.14807855334	0.2795	22	422	1.18843164238	0.2505	38	422	3.54069794141	0.002	31	422	0.329518592243	0.7625	10	422	3.18699963182	0.0045	6	422	1.57348062167	0.11
GO:0005975	carbohydrate metabolic process	GeneOntology	biological_process	G1_2-VS-S1_2.down-GO_z-score_elite|G1_2-VS-S1_2.up-GO_z-score_elite|G3-VS-S3.up-GO_z-score_elite|G4-VS-S4.down-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|G5-VS-S5.up-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite|Gegg-VS-Segg.down-GO_z-score_elite	104	368	16.4841835115	0.0	23	368	8.38736511478	0.0	13	368	6.35357692998	0.0	3	368	0.215800266105	0.943	27	368	10.5778399215	0.0	22	368	7.92340191094	0.0	5	368	-2.1705463161	0.0545	41	368	6.97285957841	0.0	48	368	6.84530727351	0.0	56	368	6.37849889969	0.0	9	368	3.12197757585	0.0065	4	368	0.712804434147	0.4765
GO:0019001	guanyl nucleotide binding	GeneOntology	molecular_function	Gadult-VS-Sadult.down-GO_z-score_elite	8	196	-1.586247991	0.1085	1	196	-1.02016905323	0.3235	1	196	-0.387780887794	0.7745	1	196	-0.354433650218	0.791	2	196	-0.325296913587	0.7155	1	196	-1.02016905323	0.316	6	196	-0.227248060893	0.845	6	196	-0.739292137166	0.5035	20	196	3.14103904674	0.0065	16	196	0.676748465892	0.572	0	196	-1.36736432704	0.263	1	196	-0.420191152449	0.5345
GO:0048878	chemical homeostasis	GeneOntology	biological_process	Gegg-VS-Segg.down-GO_z-score_elite	1	7	0.767400138481	0.404	1	7	2.98312808077	0.104	0	7	-0.229415130978	1.0	0	7	-0.22571733446	1.0	0	7	-0.301184189024	1.0	1	7	2.98312808077	0.0975	0	7	-0.49274070459	1.0	1	7	1.36081859617	0.2505	2	7	2.76542272046	0.055	1	7	0.763724949279	0.3875	3	7	11.604111744	0.0	0	7	-0.233055986011	1.0
GO:0043565	sequence-specific DNA binding	GeneOntology	molecular_function	G4-VS-S4.down-GO_z-score_elite	2	94	-1.84214830752	0.0765	0	94	-1.13515288719	0.412	0	94	-0.845058315599	0.636	0	94	-0.831437358325	0.646	1	94	-0.186215047521	0.695	4	94	2.47613372211	0.04	1	94	-1.2386285999	0.229	2	94	-0.968075699273	0.4415	5	94	0.0277284501736	0.9935	10	94	1.4147490145	0.2155	0	94	-0.941136269931	0.6245	0	94	-0.858469527005	0.653
GO:0008289	lipid binding	GeneOntology	molecular_function	G1_2-VS-S1_2.down-GO_z-score_elite|G5-VS-S5.down-GO_z-score_elite|Gadult-VS-Sadult.down-GO_z-score_elite	11	58	3.62427788113	0.0025	6	58	5.99152722073	0.0	0	58	-0.662373584932	1.0	1	58	0.904418678448	0.3605	0	58	-0.86958715477	0.6475	0	58	-0.889755503799	0.6385	3	58	0.77399190137	0.354	3	58	0.415170883218	0.6335	8	58	2.92361292829	0.017	1	58	-1.57001700336	0.1135	2	58	2.01737275306	0.1065	0	58	-0.672885560275	1.0
GO:0005198	structural molecule activity	GeneOntology	molecular_function	G1_2-VS-S1_2.up-GO_z-score_elite|G3-VS-S3.up-GO_z-score_elite|G4-VS-S4.down-GO_z-score_elite|G5-VS-S5.up-GO_z-score_elite|Gadult-VS-Sadult.up-GO_z-score_elite|Gegg-VS-Segg.down-GO_z-score_elite|Gegg-VS-Segg.up-GO_z-score_elite	28	337	1.02120333413	0.3295	5	337	0.238229748633	0.9975	11	337	5.4837578831	0.0005	10	337	4.96807342484	0.0	38	337	16.6717739849	0.0	14	337	4.59338345097	0.0005	91	337	24.6262883833	0.0	71	337	16.0434308023	0.0	36	337	4.55598782328	0.0	68	337	9.74705358651	0.0	18	337	8.65353890081	0.0	12	337	5.984823712	0.0
GO:0022610	biological adhesion	GeneOntology	biological_process	G5-VS-S5.up-GO_z-score_elite	5	96	-0.666173805909	0.547	0	96	-1.14730276554	0.4	0	96	-0.854103225629	0.6355	0	96	-0.840336479205	0.6305	0	96	-1.12129651718	0.421	1	96	-0.253828045474	0.7375	0	96	-1.83445365349	0.09	14	96	5.21424188422	0.0	4	96	-0.480877462292	0.6595	11	96	1.74766684655	0.099	0	96	-0.951209530829	0.6295	0	96	-0.867657981212	0.646
