GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI17141	LOCMI17141	Q2LZE6_DROPS GA10226	1	0.333333333333	LOCMI17141	structural molecule activity
LOCMI17132	LOCMI17132	Q7PM44_ANOGA Cuticular protein 78, RR-1 family (AGAP009876-PA)	1	0.333333333333	LOCMI17132	structural molecule activity
LOCMI16847	LOCMI16847	cuticular protein RR-1 family member 53 precursor	1	0.333333333333	LOCMI16847	structural molecule activity
LOCMI16781	LOCMI16781	adult cuticle protein, putative	1	0.333333333333	LOCMI16781	structural molecule activity
LOCMI16739	LOCMI16739	endocuticle structural glycoprotein SgAbd-8	1	0.333333333333	LOCMI16739	structural molecule activity
LOCMI16632	LOCMI16632	D6WIZ6_TRICA Putative uncharacterized protein	1	0.333333333333	LOCMI16632	structural molecule activity
LOCMI16622	LOCMI16622	Q17CD7_AEDAE Putative uncharacterized protein	1	0.333333333333	LOCMI16622	structural molecule activity
LOCMI16610	LOCMI16610	Q7QIK6_ANOGA Cuticular protein 111, RR-3 family (AGAP006931-PA)	1	0.333333333333	LOCMI16610	structural molecule activity
LOCMI16602	LOCMI16602	cuticle protein	1	0.333333333333	LOCMI16602	structural molecule activity
LOCMI15346	LOCMI15346	TPA: putative cuticle protein	1	0.333333333333	LOCMI15346	structural molecule activity
LOCMI13463	LOCMI13463	B0X3R5_CULQU Putative uncharacterized protein	1	0.333333333333	LOCMI13463	carbohydrate metabolic process
LOCMI13445	LOCMI13445	myo-inositol oxygenase	1	0.333333333333	LOCMI13445	carbohydrate metabolic process
LOCMI13444	LOCMI13444	PREDICTED: inositol oxygenase-like	1	0.333333333333	LOCMI13444	carbohydrate metabolic process
LOCMI12795	LOCMI12795	B4NMT3_DROWI GK23202	1	0.333333333333	LOCMI12795	carbohydrate metabolic process
LOCMI11717	LOCMI11717	Q17H61_AEDAE Putative uncharacterized protein	1	0.333333333333	LOCMI11717	carbohydrate metabolic process
LOCMI11184	LOCMI11184	peritrophic matrix protein 14 precursor	1	0.333333333333	LOCMI11184	carbohydrate metabolic process
LOCMI08869	LOCMI08869	AGAP004851-PA	1	0.333333333333	LOCMI08869	carbohydrate metabolic process
LOCMI08867	LOCMI08867	mucin-like protein 1	1	0.333333333333	LOCMI08867	carbohydrate metabolic process
LOCMI08259	LOCMI08259	cathepsin C	1	0.333333333333	LOCMI08259	cysteine-type peptidase activity
LOCMI05531	LOCMI05531	PREDICTED: chitotriosidase-1-like	1	0.333333333333	LOCMI05531	carbohydrate metabolic process
LOCMI05488	LOCMI05488	Peptidoglycan-recognition protein-LB	1	0.333333333333	LOCMI05488	carbohydrate metabolic process
LOCMI05383	LOCMI05383	pupal cuticle protein	1	0.333333333333	LOCMI05383	structural molecule activity
LOCMI04906	LOCMI04906	PREDICTED: maltase 1-like	1	0.333333333333	LOCMI04906	carbohydrate metabolic process
LOCMI04846	LOCMI04846	peritrophic matrix protein 14 precursor	1	0.333333333333	LOCMI04846	carbohydrate metabolic process
LOCMI04845	LOCMI04845	peritrophic matrix protein 9 precursor	1	0.333333333333	LOCMI04845	carbohydrate metabolic process
LOCMI04479	LOCMI04479	dipeptidyl peptidase 1 precursor	1	0.333333333333	LOCMI04479	cysteine-type peptidase activity
LOCMI03132	LOCMI03132	cathepsin C	1	0.333333333333	LOCMI03132	cysteine-type peptidase activity
