GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI14534	LOCMI14534	beta1-tubulin	6	0.272727272727	LOCMI14534	cellular component assembly // macromolecular complex subunit organization // GTPase activity // macromolecular complex // intracellular // guanyl nucleotide binding
LOCMI13837	LOCMI13837	tubulin alpha	6	0.272727272727	LOCMI13837	cellular component assembly // macromolecular complex subunit organization // GTPase activity // macromolecular complex // intracellular // guanyl nucleotide binding
LOCMI10225	LOCMI10225	beta1-tubulin	6	0.272727272727	LOCMI10225	cellular component assembly // macromolecular complex subunit organization // GTPase activity // macromolecular complex // intracellular // guanyl nucleotide binding
LOCMI09724	LOCMI09724	beta1-tubulin	6	0.272727272727	LOCMI09724	cellular component assembly // macromolecular complex subunit organization // GTPase activity // macromolecular complex // intracellular // guanyl nucleotide binding
LOCMI09660	LOCMI09660	PREDICTED: tubulin beta-1 chain	6	0.272727272727	LOCMI09660	cellular component assembly // macromolecular complex subunit organization // GTPase activity // macromolecular complex // intracellular // guanyl nucleotide binding
LOCMI03396	LOCMI03396	beta1-tubulin	6	0.272727272727	LOCMI03396	cellular component assembly // macromolecular complex subunit organization // GTPase activity // macromolecular complex // intracellular // guanyl nucleotide binding
LOCMI02568	LOCMI02568	PREDICTED: tubulin beta-1 chain	6	0.272727272727	LOCMI02568	cellular component assembly // macromolecular complex subunit organization // GTPase activity // macromolecular complex // intracellular // guanyl nucleotide binding
LOCMI15205	LOCMI15205	60S ribosomal protein L38	5	0.227272727273	LOCMI15205	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI14132	LOCMI14132	AGAP011635-PA	5	0.227272727273	LOCMI14132	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI13842	LOCMI13842	GL15397	5	0.227272727273	LOCMI13842	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI13569	LOCMI13569	Q4LAY4_9COLE Ribosomal protein S28e	5	0.227272727273	LOCMI13569	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI13556	LOCMI13556	p53 and DNA damage-regulated protein, putative	5	0.227272727273	LOCMI13556	cytoplasm // unfolded protein binding // metabolic process // macromolecular complex // intracellular
LOCMI13545	LOCMI13545	60S ribosomal protein L8	5	0.227272727273	LOCMI13545	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI13370	LOCMI13370	PREDICTED: 40S ribosomal protein S7-like	5	0.227272727273	LOCMI13370	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI13315	LOCMI13315	PREDICTED: 60S ribosomal protein L27-like isoform 1	5	0.227272727273	LOCMI13315	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI12974	LOCMI12974	C3YMX2_BRAFL Putative uncharacterized protein	5	0.227272727273	LOCMI12974	cytoplasm // unfolded protein binding // metabolic process // macromolecular complex // intracellular
LOCMI11617	LOCMI11617	60S ribosomal protein L34	5	0.227272727273	LOCMI11617	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI11190	LOCMI11190	mitochondrial ribosomal protein, S18C, putative	5	0.227272727273	LOCMI11190	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI10621	LOCMI10621	ribosomal protein L31e	5	0.227272727273	LOCMI10621	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI10304	LOCMI10304	polyubiquitin	5	0.227272727273	LOCMI10304	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI09944	LOCMI09944	Probable prefoldin subunit 4	5	0.227272727273	LOCMI09944	cytoplasm // unfolded protein binding // metabolic process // macromolecular complex // intracellular
LOCMI09779	LOCMI09779	60S ribosomal protein L8	5	0.227272727273	LOCMI09779	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI09731	LOCMI09731	S20e ribosomal protein	5	0.227272727273	LOCMI09731	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI09637	LOCMI09637	Q56FD3_LYSTE Ribosomal protein L13a	5	0.227272727273	LOCMI09637	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI09539	LOCMI09539	ribosomal protein S30	5	0.227272727273	LOCMI09539	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI09135	LOCMI09135	Q56FH5_LYSTE Ribosomal protein L8	5	0.227272727273	LOCMI09135	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI08559	LOCMI08559	GA15071	5	0.227272727273	LOCMI08559	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI08029	LOCMI08029	60S ribosomal protein L38	5	0.227272727273	LOCMI08029	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI07886	LOCMI07886	B0WL56_CULQU 39S ribosomal protein L14, mitochondrial	5	0.227272727273	LOCMI07886	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI07397	LOCMI07397	ribosomal protein L13	5	0.227272727273	LOCMI07397	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI07012	LOCMI07012	60S ribosomal protein L21	5	0.227272727273	LOCMI07012	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI06804	LOCMI06804	ribosomal protein S12	5	0.227272727273	LOCMI06804	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI05551	LOCMI05551	AGAP004818-PA	5	0.227272727273	LOCMI05551	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI05114	LOCMI05114	ribosomal protein L35	5	0.227272727273	LOCMI05114	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI04546	LOCMI04546	PREDICTED: prefoldin subunit 6-like	5	0.227272727273	LOCMI04546	cytoplasm // unfolded protein binding // metabolic process // macromolecular complex // intracellular
LOCMI04006	LOCMI04006	60S ribosomal protein L17, putative	5	0.227272727273	LOCMI04006	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI03696	LOCMI03696	AGAP000508-PA	5	0.227272727273	LOCMI03696	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI01789	LOCMI01789	60S ribosomal protein L21	5	0.227272727273	LOCMI01789	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI00130	LOCMI00130	PREDICTED: 60S ribosomal protein L38-like	5	0.227272727273	LOCMI00130	cytoplasm // structural constituent of ribosome // metabolic process // macromolecular complex // intracellular
LOCMI16006	LOCMI16006	H+ transporting ATP synthase subunit e	4	0.181818181818	LOCMI16006	cytoplasm // metabolic process // macromolecular complex // intracellular
LOCMI15933	LOCMI15933	PREDICTED: similar to O-Glycosyl hydrolase family 30 protein	4	0.181818181818	LOCMI15933	hydrolase activity, acting on glycosyl bonds // cytoplasm // metabolic process // intracellular
LOCMI15842	LOCMI15842	phosphofructokinase	4	0.181818181818	LOCMI15842	cytoplasm // metabolic process // macromolecular complex // intracellular
LOCMI15780	LOCMI15780	enolase	4	0.181818181818	LOCMI15780	cytoplasm // metabolic process // macromolecular complex // intracellular
LOCMI15220	LOCMI15220	PREDICTED: septin-2-like	4	0.181818181818	LOCMI15220	cytoplasm // macromolecular complex // intracellular // guanyl nucleotide binding
LOCMI13781	LOCMI13781	B0W5Q3_CULQU Vacuolar ATP synthase subunit H	4	0.181818181818	LOCMI13781	cytoplasm // metabolic process // macromolecular complex // intracellular
LOCMI13695	LOCMI13695	proteasome 25 kDa subunit	4	0.181818181818	LOCMI13695	threonine-type peptidase activity // metabolic process // macromolecular complex // intracellular
LOCMI10127	LOCMI10127	proteasome subunit beta 1	4	0.181818181818	LOCMI10127	threonine-type peptidase activity // metabolic process // macromolecular complex // intracellular
LOCMI07932	LOCMI07932	Q0E8V7_DROME CG34132	4	0.181818181818	LOCMI07932	cytoplasm // protein targeting // macromolecular complex // intracellular
LOCMI07771	LOCMI07771	mitochondrial import inner membrane translocase subunit Tim10, putative	4	0.181818181818	LOCMI07771	cytoplasm // protein targeting // macromolecular complex // intracellular
LOCMI07265	LOCMI07265	signal peptidase complex subunit SPC25	4	0.181818181818	LOCMI07265	cytoplasm // metabolic process // macromolecular complex // intracellular
LOCMI03019	LOCMI03019	proteasome beta-subunit	4	0.181818181818	LOCMI03019	threonine-type peptidase activity // metabolic process // macromolecular complex // intracellular
LOCMI01417	LOCMI01417	PREDICTED: similar to proteasome subunit beta type 5,8	4	0.181818181818	LOCMI01417	threonine-type peptidase activity // metabolic process // macromolecular complex // intracellular
