GO-Elite ORA Results
File:
Table:
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
616 Ensembl source identifiers supplied in the input file:G5-VS-S5.down.txt
616 source identifiers meeting the filter linked to a Ensembl ID.
87 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
1412 Genes linked to a term.
The z score is based on an N of 1412 and a R of 87 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Cytosolic fatty-acid binding:IPR000463	7	12	12	58.3333333333	100.0	7.54559629061	0.0	0.133333333333
Ribosomal protein L19/L19e:IPR000196	2	2	2	100.0	100.0	5.52099382256	0.007	0.28
Lipocalin/cytosolic fatty-acid binding protein:IPR000566	4	9	9	44.4444444444	100.0	4.78992480653	0.002	0.133333333333
Glycoside hydrolase, family 31:IPR000322	4	9	9	44.4444444444	100.0	4.78992480653	0.0	0.133333333333
Tetraspanin, subgroup:IPR000301	4	12	12	33.3333333333	100.0	3.92985580566	0.0065	0.28
Uroporphyrinogen decarboxylase (URO-D):IPR000257	1	1	1	100.0	100.0	3.90254853365	0.0695	0.870588235294
RHO protein GDP dissociation inhibitor:IPR000406	1	1	1	100.0	100.0	3.90254853365	0.0695	0.870588235294
Pyrimidine-nucleoside phosphorylase:IPR000053	1	1	1	100.0	100.0	3.90254853365	0.074	0.870588235294
Phosphoribosylaminoimidazole carboxylase, core:IPR000031	1	1	1	100.0	100.0	3.90254853365	0.0675	0.870588235294
High mobility group, HMG-I/HMG-Y:IPR000116	1	1	1	100.0	100.0	3.90254853365	0.069	0.870588235294
Glycosyl transferase, family 3:IPR000312	1	1	1	100.0	100.0	3.90254853365	0.074	0.870588235294
Cys/Met metabolism, pyridoxal phosphate-dependent enzyme:IPR000277	1	1	1	100.0	100.0	3.90254853365	0.0725	0.870588235294
AP endonuclease, family 1:IPR000097	1	1	1	100.0	100.0	3.90254853365	0.07	0.870588235294
Alpha/beta hydrolase fold-1:IPR000073	6	29	29	20.6896551724	100.0	3.28647112832	0.009	0.3
ATPase, V0 complex, proteolipid subunit C:IPR000245	2	5	5	40.0	100.0	3.15122954978	0.031	0.688888888889
RNA recognition motif domain:IPR000504	16	129	129	12.4031007752	100.0	3.09179025914	0.0155	0.442857142857
Ribosomal protein S7:IPR000235	1	2	2	50.0	100.0	2.57924164239	0.1285	1.0
Glycoside hydrolase, clan GH-D:IPR000111	1	2	2	50.0	100.0	2.57924164239	0.131	1.0
Tubulin:IPR000217	5	35	35	14.2857142857	100.0	2.02339419057	0.085	0.931578947368
Phox/Bem1p:IPR000270	1	3	3	33.3333333333	100.0	1.95864235229	0.19	1.0
Peptidase T2, asparaginase 2:IPR000246	1	3	3	33.3333333333	100.0	1.95864235229	0.191	1.0
Oligopeptide transporter:IPR000109	1	3	3	33.3333333333	100.0	1.95864235229	0.205	1.0
Sushi/SCR/CCP:IPR000436	2	13	13	15.3846153846	100.0	1.38890443965	0.2255	1.0
ATPase, alpha/beta subunit, nucleotide-binding domain:IPR000194	1	5	5	20.0	100.0	1.288719661	0.298	1.0
Leucine-rich repeat-containing N-terminal:IPR000372	1	6	6	16.6666666667	100.0	1.07205647087	0.352	1.0
Histone H2B:IPR000558	2	16	16	12.5	100.0	1.06007418564	0.29	1.0
Histidine phosphatase superfamily, clade-2:IPR000560	1	7	7	14.2857142857	100.0	0.895827323332	0.3965	1.0
Amidase:IPR000120	1	7	7	14.2857142857	100.0	0.895827323332	0.386	1.0
PWWP:IPR000313	1	9	9	11.1111111111	100.0	0.619293464195	0.4975	1.0
Aminotransferase, class V/Cysteine desulfurase:IPR000192	1	9	9	11.1111111111	100.0	0.619293464195	0.476	1.0
Zinc finger, ZZ-type:IPR000433	1	10	10	10.0	100.0	0.506432094971	0.5315	1.0
Toll-Interleukin receptor:IPR000157	1	10	10	10.0	100.0	0.506432094971	0.5055	1.0
IQ motif, EF-hand binding site:IPR000048	2	24	24	8.33333333333	100.0	0.446142299984	0.5195	1.0
D111/G-patch:IPR000467	1	11	11	9.09090909091	100.0	0.405500998423	0.5395	1.0
Histone H3:IPR000164	1	13	13	7.69230769231	100.0	0.230526962518	0.602	1.0
Dual specificity phosphatase, catalytic domain:IPR000340	1	13	13	7.69230769231	100.0	0.230526962518	0.5975	1.0
NUDIX hydrolase domain:IPR000086	1	15	15	6.66666666667	100.0	0.0817778872996	0.6755	1.0
GCN5-related N-acetyltransferase (GNAT) domain:IPR000182	1	15	15	6.66666666667	100.0	0.0817778872996	0.6575	1.0
Cysteine-rich flanking region, C-terminal domain:IPR000483	1	18	18	5.55555555556	100.0	-0.107559561455	0.742	1.0
tRNA 2-thiolation protein:IPR000541	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Zinc finger, TAZ-type:IPR000197	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
XPA:IPR000465	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Vasopressin V2 receptor:IPR000161	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Thymidylate synthase:IPR000398	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribulose-phosphate 3-epimerase:IPR000056	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosome-binding factor A:IPR000238	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosomal protein S7e:IPR000554	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosomal protein S6:IPR000529	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosomal protein S28e:IPR000289	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosomal protein S16:IPR000307	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosomal protein L9:IPR000244	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosomal protein L36:IPR000473	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosomal protein L34:IPR000271	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosomal protein L31e:IPR000054	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosomal protein L18e:IPR000039	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosomal protein L17:IPR000456	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosomal protein L16:IPR000114	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribosomal protein L15e:IPR000439	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Ribonucleotide reductase:IPR000358	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Retinoid X receptor:IPR000003	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
RNA polymerases, N/8kDa subunit:IPR000268	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Pyridine nucleotide-disulphide oxidoreductase, class-II:IPR000103	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Prohibitin:IPR000163	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Phosphoribosylglycinamide synthetase:IPR000115	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Phosphatidate cytidylyltransferase:IPR000374	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
P-type trefoil:IPR000519	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Octanoyltransferase:IPR000544	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Nucleoside phosphatase GDA1/CD39:IPR000407	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Nitroreductase-like:IPR000415	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Mealworm beetle B protein:IPR000113	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
K-Cl co-transporter:IPR000076	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Inositol 1,4,5-trisphosphate-binding protein receptor:IPR000493	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Inhibin, beta B subunit:IPR000381	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Huntingtin:IPR000091	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Heat shock factor (HSF)-type, DNA-binding:IPR000232	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
GPCR, family 3, metabotropic glutamate receptor:IPR000162	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase:IPR000146	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Formate-tetrahydrofolate ligase, FTHFS:IPR000559	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
FMN-dependent dehydrogenase:IPR000262	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
FAD-dependent glycerol-3-phosphate dehydrogenase:IPR000447	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Excinuclease ABC, C subunit, N-terminal:IPR000305	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
ER lumen protein retaining receptor:IPR000133	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
DNA helicase, UvrD/REP type:IPR000212	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Cytochrome c/c1 haem-lyase:IPR000511	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Crustacean neurohormone CHH:IPR000346	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Cation-independent mannose-6-phosphate receptor:IPR000479	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Acute myeloid leukemia 1 protein (AML 1)/Runt:IPR000040	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Activin type II receptor:IPR000333	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
ATPase, F1 complex, gamma subunit:IPR000131	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
ATPase, F0 complex, subunit C:IPR000454	0	1	1	0.0	100.0	-0.256242809379	1.0	1.0
Armadillo:IPR000225	1	21	21	4.7619047619	100.0	-0.268640090921	0.7755	1.0
BTB/POZ-like:IPR000210	5	91	91	5.49450549451	100.0	-0.273466831272	0.833	1.0
Urocanase:IPR000193	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Ubiquitin/SUMO-activating enzyme E1:IPR000011	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Tropomyosin:IPR000533	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Ribosomal protein S12e:IPR000530	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Ribosomal protein L44e:IPR000552	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Ribosomal protein L36e:IPR000509	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Ribosomal protein L30e:IPR000231	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Ribosomal protein L14b/L23e:IPR000218	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Pyrroline-5-carboxylate reductase:IPR000304	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Putative RNA methylase:IPR000241	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Protein phosphatase 2A, regulatory subunit PR55:IPR000009	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Primosome PriB/single-strand DNA-binding:IPR000424	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Phosphoinositide 3-kinase, ras-binding:IPR000341	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Phosphofructokinase domain:IPR000023	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Peptidyl-prolyl cis-trans isomerase, PpiC-type:IPR000297	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
NF-kappa-B/Rel/dorsal:IPR000451	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
High mobility group, HMG1/HMG2, subgroup:IPR000135	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Helix-hairpin-helix motif:IPR000445	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Glycoside hydrolase, family 39:IPR000514	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
GRIP:IPR000237	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
GPCR, family 3:IPR000337	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
GPCR kinase:IPR000239	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
G-protein alpha subunit, group S:IPR000367	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
G-protein alpha subunit, group 12:IPR000469	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
FeS cluster biogenesis:IPR000361	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
DNA topoisomerase, type IA, core:IPR000380	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Copper type II, ascorbate-dependent monooxygenase, N-terminal:IPR000323	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Clathrin, heavy chain/VPS, 7-fold repeat:IPR000547	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Carboxyl transferase:IPR000022	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Bacterial surface antigen (D15):IPR000184	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
Adenosylhomocysteinase:IPR000043	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
14-3-3 protein:IPR000308	0	2	2	0.0	100.0	-0.362510537783	1.0	1.0
