Ensembl	symbol	DOMAIN
LOCMI02993	LOCMI02993	Ran binding protein 1:IPR000156
LOCMI03672	LOCMI03672	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI03534	LOCMI03534	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI16536	LOCMI16536	TGF-beta receptor/activin receptor, type I/II:IPR000472
LOCMI02126	LOCMI02126	GCN5-related N-acetyltransferase (GNAT) domain:IPR000182
LOCMI02103	LOCMI02103	GCN5-related N-acetyltransferase (GNAT) domain:IPR000182
LOCMI02419	LOCMI02419	Proteasome, alpha-subunit, conserved site:IPR000426
LOCMI11441	LOCMI11441	Proteasome, alpha-subunit, conserved site:IPR000426
LOCMI17160	LOCMI17160	C2 calcium-dependent membrane targeting:IPR000008
LOCMI15911	LOCMI15911	ATPase, F0 complex, subunit C:IPR000454
LOCMI05649	LOCMI05649	Zinc finger, AN1-type:IPR000058
LOCMI00897	LOCMI00897	Regulator of G protein signalling:IPR000342
LOCMI03751	LOCMI03751	Regulator of G protein signalling:IPR000342
LOCMI15745	LOCMI15745	Ets:IPR000418
LOCMI15757	LOCMI15757	Ets:IPR000418
LOCMI04602	LOCMI04602	FeS cluster biogenesis:IPR000361
LOCMI09321	LOCMI09321	7TM GPCR, rhodopsin-like:IPR000276
LOCMI14784	LOCMI14784	7TM GPCR, rhodopsin-like:IPR000276
LOCMI07446	LOCMI07446	7TM GPCR, rhodopsin-like:IPR000276
LOCMI02542	LOCMI02542	Peptidase S8/S53, subtilisin/kexin/sedolisin:IPR000209
LOCMI10993	LOCMI10993	Leucine-rich repeat-containing N-terminal:IPR000372
LOCMI17068	LOCMI17068	SWAP/Surp:IPR000061
LOCMI11447	LOCMI11447	Peptidase T1A, proteasome beta-subunit:IPR000243
LOCMI09995	LOCMI09995	Biotin/lipoyl attachment:IPR000089
LOCMI15947	LOCMI15947	Biotin/lipoyl attachment:IPR000089
LOCMI07451	LOCMI07451	Polyprenyl synthetase:IPR000092
LOCMI05065	LOCMI05065	Toll-Interleukin receptor:IPR000157
LOCMI16348	LOCMI16348	Toll-Interleukin receptor:IPR000157
LOCMI03236	LOCMI03236	Cell division/GTP binding protein:IPR000038
LOCMI08483	LOCMI08483	LDLR class B repeat:IPR000033
LOCMI16603	LOCMI16603	LDLR class B repeat:IPR000033
LOCMI08350	LOCMI08350	Histone H2B:IPR000558
LOCMI01686	LOCMI01686	Histone H2B:IPR000558
LOCMI03602	LOCMI03602	Histone H2B:IPR000558
LOCMI02904	LOCMI02904	Histone H2B:IPR000558
LOCMI13526	LOCMI13526	Histone H2B:IPR000558
LOCMI03330	LOCMI03330	Histone H2B:IPR000558
LOCMI05509	LOCMI05509	Histone H2B:IPR000558
LOCMI06259	LOCMI06259	Histone H2B:IPR000558
LOCMI15324	LOCMI15324	Histone H2B:IPR000558
LOCMI16518	LOCMI16518	Nuclear hormone receptor, ligand-binding, core:IPR000536
LOCMI15206	LOCMI15206	Major intrinsic protein:IPR000425
LOCMI14139	LOCMI14139	Major intrinsic protein:IPR000425
LOCMI06431	LOCMI06431	Major intrinsic protein:IPR000425
LOCMI15210	LOCMI15210	Major intrinsic protein:IPR000425
LOCMI03672	LOCMI03672	Cytosolic fatty-acid binding:IPR000463
LOCMI01723	LOCMI01723	Sodium:neurotransmitter symporter:IPR000175
LOCMI06858	LOCMI06858	PWWP:IPR000313
LOCMI08702	LOCMI08702	NUDIX hydrolase domain:IPR000086
LOCMI12668	LOCMI12668	NUDIX hydrolase domain:IPR000086
LOCMI02995	LOCMI02995	Histone H3:IPR000164
LOCMI05487	LOCMI05487	Histone H3:IPR000164
LOCMI06335	LOCMI06335	Histone H3:IPR000164
LOCMI00917	LOCMI00917	Histone H3:IPR000164
LOCMI01334	LOCMI01334	Histone H3:IPR000164
LOCMI08311	LOCMI08311	Histone H3:IPR000164
LOCMI02850	LOCMI02850	Histone H3:IPR000164
LOCMI05163	LOCMI05163	D111/G-patch:IPR000467
