GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI08944	LOCMI08944	serine protease-like protein	LOCMI08944	GO:0004252	serine-type endopeptidase activity
LOCMI15035	LOCMI15035	MPA3 allergen	LOCMI15035	GO:0004252	serine-type endopeptidase activity
LOCMI07248	LOCMI07248	serine protease-like protein	LOCMI07248	GO:0004252	serine-type endopeptidase activity
LOCMI04023	LOCMI04023	serine protease-like protein	LOCMI04023	GO:0004252	serine-type endopeptidase activity
LOCMI15127	LOCMI15127	MPA3 allergen	LOCMI15127	GO:0004252	serine-type endopeptidase activity
LOCMI15126	LOCMI15126	MPA3 allergen	LOCMI15126	GO:0004252	serine-type endopeptidase activity
LOCMI07517	LOCMI07517	serine protease 48 precursor	LOCMI07517	GO:0004252	serine-type endopeptidase activity
LOCMI14929	LOCMI14929	GK17275	LOCMI14929	GO:0004252	serine-type endopeptidase activity
LOCMI11184	LOCMI11184	peritrophic matrix protein 14 precursor	LOCMI11184	GO:0005975	carbohydrate metabolic process
LOCMI07565	LOCMI07565	AGAP006434-PA	LOCMI07565	GO:0005975	carbohydrate metabolic process
LOCMI10214	LOCMI10214	B4MG23_DROVI GJ15459	LOCMI10214	GO:0005975	carbohydrate metabolic process
LOCMI02184	LOCMI02184	beta-glucosidase	LOCMI02184	GO:0005975	carbohydrate metabolic process
LOCMI02469	LOCMI02469	beta-glucosidase	LOCMI02469	GO:0005975	carbohydrate metabolic process
LOCMI12827	LOCMI12827	PREDICTED: 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase-like	LOCMI12827	GO:0005975	carbohydrate metabolic process
LOCMI03536	LOCMI03536	B3N5F1_DROER GG23643	LOCMI03536	GO:0005975	carbohydrate metabolic process
LOCMI09790	LOCMI09790	cuticular protein analogous to peritrophins 3-E precursor	LOCMI09790	GO:0005975	carbohydrate metabolic process
LOCMI12355	LOCMI12355	C4N882_9SCAR Peritrophic membrane protein 2 (Fragment)	LOCMI12355	GO:0005975	carbohydrate metabolic process
LOCMI07717	LOCMI07717	40S ribosomal protein S24	LOCMI07717	GO:0030529	ribonucleoprotein complex
LOCMI11190	LOCMI11190	mitochondrial ribosomal protein, S18C, putative	LOCMI11190	GO:0030529	ribonucleoprotein complex
LOCMI05551	LOCMI05551	AGAP004818-PA	LOCMI05551	GO:0030529	ribonucleoprotein complex
LOCMI11744	LOCMI11744	RecName: Full=40S ribosomal protein S13 gb|AAK92182.1|AF400210_1 ribosomal protein S13	LOCMI11744	GO:0030529	ribonucleoprotein complex
LOCMI00502	LOCMI00502	40S ribosomal protein S21, putative	LOCMI00502	GO:0030529	ribonucleoprotein complex
LOCMI02771	LOCMI02771	mitochondrial ribosomal protein S17	LOCMI02771	GO:0030529	ribonucleoprotein complex
LOCMI13786	LOCMI13786	hexamerin-like protein 4	LOCMI13786	GO:0005215	transporter activity
LOCMI16605	LOCMI16605	pro-phenoloxidase 1	LOCMI16605	GO:0005215	transporter activity
LOCMI13783	LOCMI13783	hexamerin storage protein 3	LOCMI13783	GO:0005215	transporter activity
LOCMI09561	LOCMI09561	arylphorin hexamerin-like protein 2	LOCMI09561	GO:0005215	transporter activity
LOCMI15495	LOCMI15495	hexamerin-like protein 2	LOCMI15495	GO:0005215	transporter activity
LOCMI11963	LOCMI11963	hexamerin-like protein 2	LOCMI11963	GO:0005215	transporter activity
LOCMI11961	LOCMI11961	hexamerin-like protein 2	LOCMI11961	GO:0005215	transporter activity
LOCMI15496	LOCMI15496	hexamerin-like protein 4	LOCMI15496	GO:0005215	transporter activity
