GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI00692	LOCMI00692	prefoldin subunit, putative	LOCMI00692	GO:0005737	cytoplasm
LOCMI13545	LOCMI13545	60S ribosomal protein L8	LOCMI13545	GO:0005737	cytoplasm
LOCMI07886	LOCMI07886	B0WL56_CULQU 39S ribosomal protein L14, mitochondrial	LOCMI07886	GO:0005737	cytoplasm
LOCMI03326	LOCMI03326	40S ribosomal protein S11	LOCMI03326	GO:0005737	cytoplasm
LOCMI15795	LOCMI15795	PREDICTED: similar to NADH-ubiquinone oxidoreductase ashi subunit	LOCMI15795	GO:0005737	cytoplasm
LOCMI03823	LOCMI03823	ribosomal protein L19e	LOCMI03823	GO:0005737	cytoplasm
LOCMI02753	LOCMI02753	A6YPG5_TRIIF 40S ribosomal protein S11	LOCMI02753	GO:0005737	cytoplasm
LOCMI06602	LOCMI06602	60S ribosomal protein L9	LOCMI06602	GO:0005737	cytoplasm
LOCMI13397	LOCMI13397	Q4GXE5_JULON Ribosomal protein L24e	LOCMI13397	GO:0005737	cytoplasm
LOCMI13395	LOCMI13395	ribosomal protein L35	LOCMI13395	GO:0005737	cytoplasm
LOCMI07397	LOCMI07397	ribosomal protein L13	LOCMI07397	GO:0005737	cytoplasm
LOCMI05377	LOCMI05377	RecName: Full=40S ribosomal protein S3a gb|AAW57773.1| Parcxpwex01	LOCMI05377	GO:0005737	cytoplasm
LOCMI01249	LOCMI01249	60S ribosomal protein L35a	LOCMI01249	GO:0005737	cytoplasm
LOCMI10998	LOCMI10998	PREDICTED: prefoldin subunit 6-like	LOCMI10998	GO:0005737	cytoplasm
LOCMI11190	LOCMI11190	mitochondrial ribosomal protein, S18C, putative	LOCMI11190	GO:0005737	cytoplasm
LOCMI04546	LOCMI04546	PREDICTED: prefoldin subunit 6-like	LOCMI04546	GO:0005737	cytoplasm
LOCMI16282	LOCMI16282	E9IEY1_SOLIN Putative uncharacterized protein (Fragment)	LOCMI16282	GO:0005737	cytoplasm
LOCMI09944	LOCMI09944	Probable prefoldin subunit 4	LOCMI09944	GO:0005737	cytoplasm
LOCMI05551	LOCMI05551	AGAP004818-PA	LOCMI05551	GO:0005737	cytoplasm
LOCMI06694	LOCMI06694	acidic ribosomal protein	LOCMI06694	GO:0005737	cytoplasm
LOCMI09756	LOCMI09756	PREDICTED: 60S ribosomal protein L30-like	LOCMI09756	GO:0005737	cytoplasm
LOCMI04836	LOCMI04836	ribosomal protein L19e	LOCMI04836	GO:0005737	cytoplasm
LOCMI00611	LOCMI00611	calreticulin	LOCMI00611	GO:0005737	cytoplasm
LOCMI12559	LOCMI12559	PREDICTED: translocon-associated protein subunit gamma-like	LOCMI12559	GO:0005737	cytoplasm
LOCMI07471	LOCMI07471	ribosomal protein L6	LOCMI07471	GO:0005737	cytoplasm
LOCMI14937	LOCMI14937	PREDICTED: clathrin light chain-like	LOCMI14937	GO:0005737	cytoplasm
