GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI05827	LOCMI05827	protein lethal, putative	LOCMI05827	GO:0009628	response to abiotic stimulus
LOCMI15510	LOCMI15510	heat shock protein 20.5	LOCMI15510	GO:0009628	response to abiotic stimulus
LOCMI15511	LOCMI15511	heat shock protein 20.6	LOCMI15511	GO:0009628	response to abiotic stimulus
LOCMI00796	LOCMI00796	beta-1,4-endoglucanase	LOCMI00796	GO:0005975	carbohydrate metabolic process
LOCMI16434	LOCMI16434	D6WIN8_TRICA Putative uncharacterized protein	LOCMI16434	GO:0005975	carbohydrate metabolic process
LOCMI16061	LOCMI16061	L-lactate dehydrogenase	LOCMI16061	GO:0005975	carbohydrate metabolic process
LOCMI11717	LOCMI11717	Q17H61_AEDAE Putative uncharacterized protein	LOCMI11717	GO:0005975	carbohydrate metabolic process
LOCMI16431	LOCMI16431	D6WIN8_TRICA Putative uncharacterized protein	LOCMI16431	GO:0005975	carbohydrate metabolic process
LOCMI11713	LOCMI11713	Q16MN2_AEDAE Putative uncharacterized protein	LOCMI11713	GO:0005975	carbohydrate metabolic process
LOCMI17048	LOCMI17048	chitinase 5 precursor	LOCMI17048	GO:0005975	carbohydrate metabolic process
LOCMI01741	LOCMI01741	cellulase	LOCMI01741	GO:0005975	carbohydrate metabolic process
LOCMI13448	LOCMI13448	PREDICTED: inositol oxygenase-like	LOCMI13448	GO:0005975	carbohydrate metabolic process
LOCMI13444	LOCMI13444	PREDICTED: inositol oxygenase-like	LOCMI13444	GO:0005975	carbohydrate metabolic process
LOCMI13445	LOCMI13445	myo-inositol oxygenase	LOCMI13445	GO:0005975	carbohydrate metabolic process
LOCMI15989	LOCMI15989	citrate synthase	LOCMI15989	GO:0005975	carbohydrate metabolic process
LOCMI09973	LOCMI09973	GF14860	LOCMI09973	GO:0005975	carbohydrate metabolic process
LOCMI16063	LOCMI16063	fructose 1,6-bisphosphate aldolase	LOCMI16063	GO:0005975	carbohydrate metabolic process
LOCMI05874	LOCMI05874	chitin binding peritrophin-A, putative	LOCMI05874	GO:0005975	carbohydrate metabolic process
LOCMI10699	LOCMI10699	Sialidase	LOCMI10699	GO:0005975	carbohydrate metabolic process
LOCMI00811	LOCMI00811	A7U8C9_TRICA Chitin deacetylase 1	LOCMI00811	GO:0005975	carbohydrate metabolic process
LOCMI04906	LOCMI04906	PREDICTED: maltase 1-like	LOCMI04906	GO:0005975	carbohydrate metabolic process
LOCMI11714	LOCMI11714	B0W0L0_CULQU Putative uncharacterized protein	LOCMI11714	GO:0005975	carbohydrate metabolic process
LOCMI01594	LOCMI01594	GJ10054	LOCMI01594	GO:0005975	carbohydrate metabolic process
LOCMI15975	LOCMI15975	PREDICTED: predicted protein-like	LOCMI15975	GO:0005975	carbohydrate metabolic process
LOCMI01455	LOCMI01455	Glycoside hydrolase, family 1 IPR017853; Glycoside hydrolase, catalytic core	LOCMI01455	GO:0005975	carbohydrate metabolic process
LOCMI04280	LOCMI04280	AGAP011937-PA	LOCMI04280	GO:0005975	carbohydrate metabolic process
LOCMI17185	LOCMI17185	PREDICTED: chitinase-like protein Idgf4-like	LOCMI17185	GO:0005975	carbohydrate metabolic process
LOCMI03766	LOCMI03766	alpha-amylase	LOCMI03766	GO:0005975	carbohydrate metabolic process
LOCMI17170	LOCMI17170	PREDICTED: chitinase-like protein Idgf4-like	LOCMI17170	GO:0005975	carbohydrate metabolic process
LOCMI00112	LOCMI00112	B0X692_CULQU Beta-1,4-galactosyltransferase	LOCMI00112	GO:0005975	carbohydrate metabolic process
LOCMI01323	LOCMI01323	beta-1,4-endoglucanase	LOCMI01323	GO:0005975	carbohydrate metabolic process
LOCMI06290	LOCMI06290	B0WZZ2_CULQU Putative uncharacterized protein	LOCMI06290	GO:0005975	carbohydrate metabolic process
LOCMI02529	LOCMI02529	alpha-amylase	LOCMI02529	GO:0005975	carbohydrate metabolic process
LOCMI12218	LOCMI12218	GJ14495	LOCMI12218	GO:0005975	carbohydrate metabolic process
LOCMI16369	LOCMI16369	GI12107	LOCMI16369	GO:0005975	carbohydrate metabolic process
LOCMI13447	LOCMI13447	PREDICTED: inositol oxygenase-like	LOCMI13447	GO:0005975	carbohydrate metabolic process
LOCMI08914	LOCMI08914	B4KWW3_DROMO GI12007	LOCMI08914	GO:0005975	carbohydrate metabolic process
LOCMI17331	LOCMI17331	Q0Z942_TRICA Chitinase 7	LOCMI17331	GO:0005975	carbohydrate metabolic process
LOCMI15836	LOCMI15836	sn-glycerol-3-phosphate dehydrogenase isoform 4	LOCMI15836	GO:0005975	carbohydrate metabolic process
LOCMI16366	LOCMI16366	putative peptidoglycan recognition protein LB	LOCMI16366	GO:0005975	carbohydrate metabolic process
LOCMI01286	LOCMI01286	cellulase	LOCMI01286	GO:0005975	carbohydrate metabolic process
LOCMI13992	LOCMI13992	Q171Z5_AEDAE Putative uncharacterized protein	LOCMI13992	GO:0005975	carbohydrate metabolic process
LOCMI16435	LOCMI16435	RecName: Full=Peptidoglycan-recognition protein 2; AltName: Full=Hd-PGRP-2; Flags: Precursor dbj|BAD08317.1| peptidoglycan recognition protein-2	LOCMI16435	GO:0005975	carbohydrate metabolic process
