Ensembl	symbol	DOMAIN
LOCMI04152	LOCMI04152	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI03534	LOCMI03534	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI02103	LOCMI02103	GCN5-related N-acetyltransferase (GNAT) domain:IPR000182
LOCMI07163	LOCMI07163	Sushi/SCR/CCP:IPR000436
LOCMI15745	LOCMI15745	Ets:IPR000418
LOCMI09047	LOCMI09047	FeS cluster biogenesis:IPR000361
LOCMI07446	LOCMI07446	7TM GPCR, rhodopsin-like:IPR000276
LOCMI02542	LOCMI02542	Peptidase S8/S53, subtilisin/kexin/sedolisin:IPR000209
LOCMI00716	LOCMI00716	Armadillo:IPR000225
LOCMI15755	LOCMI15755	Neutrophil cytosol factor 2 p67phox:IPR000108
LOCMI09995	LOCMI09995	Biotin/lipoyl attachment:IPR000089
LOCMI07451	LOCMI07451	Polyprenyl synthetase:IPR000092
LOCMI07163	LOCMI07163	Coagulation factor 5/8 type, C-terminal:IPR000421
LOCMI11012	LOCMI11012	Coagulation factor 5/8 type, C-terminal:IPR000421
LOCMI05065	LOCMI05065	Toll-Interleukin receptor:IPR000157
LOCMI16348	LOCMI16348	Toll-Interleukin receptor:IPR000157
LOCMI12547	LOCMI12547	LDLR class B repeat:IPR000033
LOCMI10579	LOCMI10579	Ras-association:IPR000159
LOCMI15206	LOCMI15206	Major intrinsic protein:IPR000425
LOCMI14139	LOCMI14139	Major intrinsic protein:IPR000425
LOCMI06430	LOCMI06430	Major intrinsic protein:IPR000425
LOCMI16056	LOCMI16056	FAD-dependent glycerol-3-phosphate dehydrogenase:IPR000447
LOCMI06277	LOCMI06277	Sodium:neurotransmitter symporter:IPR000175
LOCMI02454	LOCMI02454	Sodium:neurotransmitter symporter:IPR000175
LOCMI01723	LOCMI01723	Sodium:neurotransmitter symporter:IPR000175
LOCMI08702	LOCMI08702	NUDIX hydrolase domain:IPR000086
LOCMI13363	LOCMI13363	SEA:IPR000082
LOCMI02995	LOCMI02995	Histone H3:IPR000164
LOCMI05649	LOCMI05649	Zinc finger, AN1-type:IPR000058
LOCMI03072	LOCMI03072	ATPase, P-type cation exchange, beta subunit:IPR000402
LOCMI07377	LOCMI07377	Laminin B type IV:IPR000034
LOCMI13775	LOCMI13775	Zinc finger, CCCH-type:IPR000571
LOCMI05430	LOCMI05430	Ribosomal protein L17:IPR000456
LOCMI14467	LOCMI14467	Tetraspanin, subgroup:IPR000301
LOCMI10527	LOCMI10527	RNA recognition motif domain:IPR000504
LOCMI14537	LOCMI14537	RNA recognition motif domain:IPR000504
LOCMI11830	LOCMI11830	RNA recognition motif domain:IPR000504
LOCMI06426	LOCMI06426	Nitroreductase-like:IPR000415
LOCMI10584	LOCMI10584	IQ motif, EF-hand binding site:IPR000048
LOCMI16797	LOCMI16797	BTB/POZ-like:IPR000210
LOCMI09745	LOCMI09745	Tubulin:IPR000217
LOCMI12121	LOCMI12121	Tubulin:IPR000217
LOCMI10084	LOCMI10084	Cysteine-rich flanking region, C-terminal domain:IPR000483
LOCMI03329	LOCMI03329	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI04029	LOCMI04029	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI13304	LOCMI13304	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI03486	LOCMI03486	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI08739	LOCMI08739	Protein-tyrosine phosphatase, receptor/non-receptor type:IPR000242
LOCMI15746	LOCMI15746	Protein-tyrosine phosphatase, receptor/non-receptor type:IPR000242
