GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI13438	LOCMI13438	Protein disulfide-isomerase	6	0.25	LOCMI13438	organic ether metabolic process // oxidoreductase activity // cytoplasm // cell redox homeostasis // electron carrier activity // cytoplasmic part
LOCMI09249	LOCMI09249	protein disulfide-isomerase	6	0.25	LOCMI09249	organic ether metabolic process // oxidoreductase activity // cytoplasm // cell redox homeostasis // electron carrier activity // cytoplasmic part
LOCMI16873	LOCMI16873	cytochrome P450	5	0.208333333333	LOCMI16873	oxidoreductase activity // iron ion binding // oxidation-reduction process // electron carrier activity // tetrapyrrole binding
LOCMI16225	LOCMI16225	cytochrome P450 9E1	5	0.208333333333	LOCMI16225	oxidoreductase activity // iron ion binding // oxidation-reduction process // electron carrier activity // tetrapyrrole binding
LOCMI16224	LOCMI16224	PREDICTED: similar to cytochrome P450	5	0.208333333333	LOCMI16224	oxidoreductase activity // iron ion binding // oxidation-reduction process // electron carrier activity // tetrapyrrole binding
LOCMI16217	LOCMI16217	cytochrome P450 6BQ13	5	0.208333333333	LOCMI16217	oxidoreductase activity // iron ion binding // oxidation-reduction process // electron carrier activity // tetrapyrrole binding
LOCMI16214	LOCMI16214	RecName: Full=Cytochrome P450 9e2; AltName: Full=CYPIXE2 gb|AAK69410.1|AF275640_1 cytochrome P450	5	0.208333333333	LOCMI16214	oxidoreductase activity // iron ion binding // oxidation-reduction process // electron carrier activity // tetrapyrrole binding
LOCMI16207	LOCMI16207	cytochrome P450	5	0.208333333333	LOCMI16207	oxidoreductase activity // iron ion binding // oxidation-reduction process // electron carrier activity // tetrapyrrole binding
LOCMI16200	LOCMI16200	PREDICTED: similar to cytochrome P450	5	0.208333333333	LOCMI16200	oxidoreductase activity // iron ion binding // oxidation-reduction process // electron carrier activity // tetrapyrrole binding
LOCMI16199	LOCMI16199	RecName: Full=Cytochrome P450 4C1; AltName: Full=CYPIVC1 gb|AAA27819.1| cytochrome P450	5	0.208333333333	LOCMI16199	oxidoreductase activity // iron ion binding // oxidation-reduction process // electron carrier activity // tetrapyrrole binding
LOCMI16195	LOCMI16195	RecName: Full=Cytochrome P450 4C1; AltName: Full=CYPIVC1 gb|AAA27819.1| cytochrome P450	5	0.208333333333	LOCMI16195	oxidoreductase activity // iron ion binding // oxidation-reduction process // electron carrier activity // tetrapyrrole binding
