GeneID	Ensembl	Pathway
LOCMI07208	En	Kringle:IPR000001
LOCMI17106	En	Kringle:IPR000001
LOCMI17311	En	Kringle:IPR000001
LOCMI16345	En	Retinoid X receptor:IPR000003
LOCMI02911	En	Tubby, C-terminal:IPR000007
LOCMI08704	En	Tubby, C-terminal:IPR000007
LOCMI11976	En	Tubby, C-terminal:IPR000007
LOCMI01145	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI02402	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI02506	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI02986	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI03420	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI03596	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI03704	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI03722	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI03785	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI04362	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI04954	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI05021	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI06308	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI06316	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI06464	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI06850	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI07023	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI07024	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI07075	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI08071	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI08197	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI08547	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI08805	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI09175	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI09422	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI09649	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI09727	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI09823	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI10131	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI10371	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI10669	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI11654	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI11964	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI12018	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI12209	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI12319	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI12431	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI13037	En	C2 calcium-dependent membrane targeting:IPR000008
LOCMI13286	En	C2 calcium-dependent membrane targeting:IPR000008
