GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI09660	LOCMI09660	PREDICTED: tubulin beta-1 chain	LOCMI09660	GO:0022607	cellular component assembly
LOCMI13837	LOCMI13837	tubulin alpha	LOCMI13837	GO:0022607	cellular component assembly
LOCMI03091	LOCMI03091	arp2/3 complex 21 kd subunit	LOCMI03091	GO:0022607	cellular component assembly
LOCMI14534	LOCMI14534	beta1-tubulin	LOCMI14534	GO:0022607	cellular component assembly
LOCMI03396	LOCMI03396	beta1-tubulin	LOCMI03396	GO:0022607	cellular component assembly
LOCMI10395	LOCMI10395	Q06DG1_ANOFN Actin-related protein 2/3 complex subunit 5	LOCMI10395	GO:0022607	cellular component assembly
LOCMI09724	LOCMI09724	beta1-tubulin	LOCMI09724	GO:0022607	cellular component assembly
LOCMI02568	LOCMI02568	PREDICTED: tubulin beta-1 chain	LOCMI02568	GO:0022607	cellular component assembly
LOCMI03344	LOCMI03344	Q16WY4_AEDAE Actin-related protein 2/3 complex subunit 5	LOCMI03344	GO:0022607	cellular component assembly
LOCMI10225	LOCMI10225	beta1-tubulin	LOCMI10225	GO:0022607	cellular component assembly
LOCMI09660	LOCMI09660	PREDICTED: tubulin beta-1 chain	LOCMI09660	GO:0043933	macromolecular complex subunit organization
LOCMI13837	LOCMI13837	tubulin alpha	LOCMI13837	GO:0043933	macromolecular complex subunit organization
LOCMI03091	LOCMI03091	arp2/3 complex 21 kd subunit	LOCMI03091	GO:0043933	macromolecular complex subunit organization
LOCMI14534	LOCMI14534	beta1-tubulin	LOCMI14534	GO:0043933	macromolecular complex subunit organization
LOCMI03396	LOCMI03396	beta1-tubulin	LOCMI03396	GO:0043933	macromolecular complex subunit organization
LOCMI10395	LOCMI10395	Q06DG1_ANOFN Actin-related protein 2/3 complex subunit 5	LOCMI10395	GO:0043933	macromolecular complex subunit organization
LOCMI09724	LOCMI09724	beta1-tubulin	LOCMI09724	GO:0043933	macromolecular complex subunit organization
LOCMI02568	LOCMI02568	PREDICTED: tubulin beta-1 chain	LOCMI02568	GO:0043933	macromolecular complex subunit organization
LOCMI03344	LOCMI03344	Q16WY4_AEDAE Actin-related protein 2/3 complex subunit 5	LOCMI03344	GO:0043933	macromolecular complex subunit organization
LOCMI10225	LOCMI10225	beta1-tubulin	LOCMI10225	GO:0043933	macromolecular complex subunit organization
LOCMI00534	LOCMI00534	Q8T0W7_9NEOP Beta-glucosidase	LOCMI00534	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI02464	LOCMI02464	B4PBQ2_DROYA GE13860	LOCMI02464	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI02469	LOCMI02469	beta-glucosidase	LOCMI02469	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI03142	LOCMI03142	PREDICTED: trehalase-like isoform 1	LOCMI03142	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI09283	LOCMI09283	beta-hexosaminidase beta chain precursor, putative	LOCMI09283	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI09623	LOCMI09623	AGAP007285-PA	LOCMI09623	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI06502	LOCMI06502	C3Y5B7_BRAFL Putative uncharacterized protein	LOCMI06502	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI13901	LOCMI13901	beta-glucosidase	LOCMI13901	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI08663	LOCMI08663	Q177N4_AEDAE Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	LOCMI08663	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI16098	LOCMI16098	E9H6R5_DAPPU Putative uncharacterized protein	LOCMI16098	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI05086	LOCMI05086	Q28WJ8_DROPS GA13505	LOCMI05086	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI04105	LOCMI04105	beta-glucosidase	LOCMI04105	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI04924	LOCMI04924	chitinase 5	LOCMI04924	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI00215	LOCMI00215	Beta-glucuronidase	LOCMI00215	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI03826	LOCMI03826	seminal fluid protein CSSFP012	LOCMI03826	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI00174	LOCMI00174	beta-glucosidase	LOCMI00174	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI05299	LOCMI05299	beta-glucosidase	LOCMI05299	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI15933	LOCMI15933	PREDICTED: similar to O-Glycosyl hydrolase family 30 protein	LOCMI15933	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI01718	LOCMI01718	beta-glucosidase	LOCMI01718	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI08912	LOCMI08912	beta-glucosidase	LOCMI08912	GO:0016798	hydrolase activity, acting on glycosyl bonds
