Ensembl	symbol	KEGG
LOCMI15907	LOCMI15907	beta-Alanine metabolism:map00410
LOCMI15867	LOCMI15867	Fructose and mannose metabolism:map00051
LOCMI12827	LOCMI12827	Fructose and mannose metabolism:map00051
LOCMI04442	LOCMI04442	Drug metabolism - cytochrome P450:map00982
LOCMI00502	LOCMI00502	Ribosome:map03010
LOCMI02771	LOCMI02771	Ribosome:map03010
LOCMI07717	LOCMI07717	Ribosome:map03010
LOCMI11190	LOCMI11190	Ribosome:map03010
LOCMI05551	LOCMI05551	Ribosome:map03010
LOCMI15867	LOCMI15867	Pentose and glucuronate interconversions:map00040
LOCMI15907	LOCMI15907	Pentose and glucuronate interconversions:map00040
LOCMI15907	LOCMI15907	Lysine degradation:map00310
LOCMI15907	LOCMI15907	Valine, leucine and isoleucine degradation:map00280
LOCMI15907	LOCMI15907	Propanoate metabolism:map00640
LOCMI03210	LOCMI03210	Alanine, aspartate and glutamate metabolism:map00250
LOCMI14142	LOCMI14142	Ubiquitin mediated proteolysis:map04120
LOCMI15035	LOCMI15035	Neuroactive ligand-receptor interaction:map04080
LOCMI15127	LOCMI15127	Neuroactive ligand-receptor interaction:map04080
LOCMI17080	LOCMI17080	Spliceosome:map03040
LOCMI17098	LOCMI17098	Spliceosome:map03040
LOCMI11649	LOCMI11649	Spliceosome:map03040
LOCMI15867	LOCMI15867	Galactose metabolism:map00052
LOCMI04442	LOCMI04442	Metabolism of xenobiotics by cytochrome P450:map00980
LOCMI10663	LOCMI10663	Pyrimidine metabolism:map00240
LOCMI15907	LOCMI15907	Glycolysis / Gluconeogenesis:map00010
LOCMI16688	LOCMI16688	Glutathione metabolism:map00480
LOCMI16258	LOCMI16258	Glutathione metabolism:map00480
LOCMI04442	LOCMI04442	Glutathione metabolism:map00480
LOCMI15906	LOCMI15906	Synthesis and degradation of ketone bodies:map00072
LOCMI15907	LOCMI15907	Histidine metabolism:map00340
LOCMI02150	LOCMI02150	Porphyrin and chlorophyll metabolism:map00860
LOCMI15907	LOCMI15907	Tryptophan metabolism:map00380
LOCMI15906	LOCMI15906	Butanoate metabolism:map00650
LOCMI10663	LOCMI10663	Purine metabolism:map00230
LOCMI03761	LOCMI03761	Purine metabolism:map00230
LOCMI15907	LOCMI15907	Arginine and proline metabolism:map00330
LOCMI03210	LOCMI03210	Arginine and proline metabolism:map00330
LOCMI17080	LOCMI17080	Ribosome biogenesis in eukaryotes:map03008
LOCMI15867	LOCMI15867	Glycerolipid metabolism:map00561
LOCMI15907	LOCMI15907	Glycerolipid metabolism:map00561
LOCMI03761	LOCMI03761	Caffeine metabolism:map00232
LOCMI15867	LOCMI15867	Pyruvate metabolism:map00620
LOCMI15907	LOCMI15907	Pyruvate metabolism:map00620
LOCMI03210	LOCMI03210	Biosynthesis of amino acids:map01230
LOCMI17098	LOCMI17098	RNA degradation:map03018
LOCMI15907	LOCMI15907	Fatty acid degradation:map00071
LOCMI15907	LOCMI15907	Ascorbate and aldarate metabolism:map00053
LOCMI16688	LOCMI16688	Arachidonic acid metabolism:map00590
LOCMI16258	LOCMI16258	Arachidonic acid metabolism:map00590
LOCMI10663	LOCMI10663	RNA polymerase:map03020
