GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI13554	LOCMI13554	PREDICTED: peroxisomal multifunctional enzyme type 2-like isoform 2	3	0.333333333333	LOCMI13554	lipid binding // oxidation-reduction process // oxidoreductase activity
LOCMI09430	LOCMI09430	xanthine dehydrogenase/oxidase	3	0.333333333333	LOCMI09430	metal cluster binding // oxidation-reduction process // oxidoreductase activity
LOCMI16296	LOCMI16296	D2A5K3_TRICA Putative uncharacterized protein GLEAN_15554	2	0.222222222222	LOCMI16296	oxidation-reduction process // oxidoreductase activity
LOCMI16257	LOCMI16257	D6WCM3_TRICA Putative uncharacterized protein	2	0.222222222222	LOCMI16257	oxidation-reduction process // oxidoreductase activity
LOCMI16195	LOCMI16195	RecName: Full=Cytochrome P450 4C1; AltName: Full=CYPIVC1 gb|AAA27819.1| cytochrome P450	2	0.222222222222	LOCMI16195	oxidation-reduction process // oxidoreductase activity
LOCMI16184	LOCMI16184	cytochrome P450	2	0.222222222222	LOCMI16184	oxidation-reduction process // oxidoreductase activity
LOCMI16136	LOCMI16136	Cytochrome P450 4g15	2	0.222222222222	LOCMI16136	oxidation-reduction process // oxidoreductase activity
LOCMI16099	LOCMI16099	D6WCN0_TRICA Beta-galactosidase	2	0.222222222222	LOCMI16099	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
LOCMI16098	LOCMI16098	E9H6R5_DAPPU Putative uncharacterized protein	2	0.222222222222	LOCMI16098	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
LOCMI16027	LOCMI16027	GK21691	2	0.222222222222	LOCMI16027	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
LOCMI16004	LOCMI16004	PREDICTED: alcohol dehydrogenase	2	0.222222222222	LOCMI16004	oxidation-reduction process // oxidoreductase activity
LOCMI15961	LOCMI15961	PREDICTED: peroxisomal acyl-coenzyme A oxidase 3-like isoform 3	2	0.222222222222	LOCMI15961	oxidation-reduction process // oxidoreductase activity
LOCMI15895	LOCMI15895	cytochrome c oxidase subunit VIIA putative	2	0.222222222222	LOCMI15895	transporter activity // oxidoreductase activity
LOCMI15801	LOCMI15801	E3WQ18_ANODA Putative uncharacterized protein	2	0.222222222222	LOCMI15801	oxidation-reduction process // oxidoreductase activity
LOCMI15788	LOCMI15788	aldo-keto reductase	2	0.222222222222	LOCMI15788	oxidation-reduction process // oxidoreductase activity
LOCMI15761	LOCMI15761	D6WRY0_TRICA Putative uncharacterized protein	2	0.222222222222	LOCMI15761	transporter activity // oxidoreductase activity
LOCMI15075	LOCMI15075	MPA3 allergen	2	0.222222222222	LOCMI15075	serine hydrolase activity // proteolysis
LOCMI14530	LOCMI14530	zinc binding dehydrogenase, putative	2	0.222222222222	LOCMI14530	oxidation-reduction process // oxidoreductase activity
LOCMI14448	LOCMI14448	ferritin-like precursor	2	0.222222222222	LOCMI14448	oxidation-reduction process // oxidoreductase activity
LOCMI12294	LOCMI12294	PREDICTED: trypsin-3	2	0.222222222222	LOCMI12294	serine hydrolase activity // proteolysis
LOCMI12292	LOCMI12292	trypsin	2	0.222222222222	LOCMI12292	serine hydrolase activity // proteolysis
LOCMI11841	LOCMI11841	PREDICTED: cationic trypsin-3-like	2	0.222222222222	LOCMI11841	serine hydrolase activity // proteolysis
LOCMI11837	LOCMI11837	serine-type enodpeptidase, putative	2	0.222222222222	LOCMI11837	serine hydrolase activity // proteolysis
LOCMI11009	LOCMI11009	Q6RUR3_GRYOR Putative alcohol dehydrogenase	2	0.222222222222	LOCMI11009	oxidation-reduction process // oxidoreductase activity
LOCMI08912	LOCMI08912	beta-glucosidase	2	0.222222222222	LOCMI08912	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
LOCMI08786	LOCMI08786	beta-glucosidase	2	0.222222222222	LOCMI08786	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
LOCMI08721	LOCMI08721	MPA3 allergen	2	0.222222222222	LOCMI08721	serine hydrolase activity // proteolysis
LOCMI08394	LOCMI08394	PREDICTED: 2-aminoethanethiol dioxygenase-like	2	0.222222222222	LOCMI08394	oxidation-reduction process // oxidoreductase activity
LOCMI07206	LOCMI07206	beta-glucosidase	2	0.222222222222	LOCMI07206	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
LOCMI07021	LOCMI07021	Q8T0W7_9NEOP Beta-glucosidase	2	0.222222222222	LOCMI07021	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
LOCMI06649	LOCMI06649	CG32808	2	0.222222222222	LOCMI06649	serine hydrolase activity // proteolysis
LOCMI06502	LOCMI06502	C3Y5B7_BRAFL Putative uncharacterized protein	2	0.222222222222	LOCMI06502	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
