GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI16282	LOCMI16282	E9IEY1_SOLIN Putative uncharacterized protein (Fragment)	6	0.315789473684	LOCMI16282	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // RNA binding // translation
LOCMI15194	LOCMI15194	Elongation factor 1-beta'	6	0.315789473684	LOCMI15194	cytoplasm // intracellular // RNA binding // protein complex // translational elongation // translation
LOCMI13355	LOCMI13355	PREDICTED: 40S ribosomal protein S18	6	0.315789473684	LOCMI13355	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // RNA binding // translation
LOCMI10600	LOCMI10600	putative ribosomal protein S4e	6	0.315789473684	LOCMI10600	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // RNA binding // translation
LOCMI06694	LOCMI06694	acidic ribosomal protein	6	0.315789473684	LOCMI06694	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // translational elongation // translation
LOCMI06602	LOCMI06602	60S ribosomal protein L9	6	0.315789473684	LOCMI06602	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // RNA binding // translation
LOCMI04863	LOCMI04863	PREDICTED: 60S ribosomal protein L9	6	0.315789473684	LOCMI04863	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // RNA binding // translation
LOCMI02121	LOCMI02121	PREDICTED: 40S ribosomal protein S9-like	6	0.315789473684	LOCMI02121	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // RNA binding // translation
LOCMI16084	LOCMI16084	AGAP004616-PA	5	0.263157894737	LOCMI16084	cytoplasm // intracellular // nucleoside triphosphate metabolic process // protein complex // heterocycle metabolic process
LOCMI16006	LOCMI16006	H+ transporting ATP synthase subunit e	5	0.263157894737	LOCMI16006	cytoplasm // intracellular // nucleoside triphosphate metabolic process // protein complex // heterocycle metabolic process
LOCMI15979	LOCMI15979	GF16047	5	0.263157894737	LOCMI15979	cytoplasm // intracellular // nucleoside triphosphate metabolic process // protein complex // heterocycle metabolic process
LOCMI15925	LOCMI15925	AGAP001138-PA	5	0.263157894737	LOCMI15925	cytoplasm // intracellular // nucleoside triphosphate metabolic process // protein complex // heterocycle metabolic process
LOCMI15884	LOCMI15884	Q1HR38_AEDAE Hydrogen-transporting ATP synthase, G-subunit, putative	5	0.263157894737	LOCMI15884	cytoplasm // intracellular // nucleoside triphosphate metabolic process // protein complex // heterocycle metabolic process
LOCMI15434	LOCMI15434	PREDICTED: 40S ribosomal protein S15	5	0.263157894737	LOCMI15434	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // translation
LOCMI15205	LOCMI15205	60S ribosomal protein L38	5	0.263157894737	LOCMI15205	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // translation
LOCMI14590	LOCMI14590	60S ribosomal protein L8	5	0.263157894737	LOCMI14590	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // translation
LOCMI13842	LOCMI13842	GL15397	5	0.263157894737	LOCMI13842	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // translation
LOCMI13626	LOCMI13626	60S ribosomal protein L12	5	0.263157894737	LOCMI13626	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // translation
LOCMI13569	LOCMI13569	Q4LAY4_9COLE Ribosomal protein S28e	5	0.263157894737	LOCMI13569	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // translation
LOCMI13545	LOCMI13545	60S ribosomal protein L8	5	0.263157894737	LOCMI13545	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // translation
LOCMI13397	LOCMI13397	Q4GXE5_JULON Ribosomal protein L24e	5	0.263157894737	LOCMI13397	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // translation
LOCMI13395	LOCMI13395	ribosomal protein L35	5	0.263157894737	LOCMI13395	cytoplasm // intracellular // ribonucleoprotein complex // structural constituent of ribosome // translation
