GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI15707	LOCMI15707	glutathione S-transferase sigma 1	2	0.333333333333	LOCMI15707	Glutathione metabolism:map00480 // Metabolism of xenobiotics by cytochrome P450:map00980
LOCMI15698	LOCMI15698	glutathione S-transferase sigma 3	2	0.333333333333	LOCMI15698	Glutathione metabolism:map00480 // Metabolism of xenobiotics by cytochrome P450:map00980
LOCMI15696	LOCMI15696	glutathione S-transferase sigma 1	2	0.333333333333	LOCMI15696	Glutathione metabolism:map00480 // Metabolism of xenobiotics by cytochrome P450:map00980
LOCMI15694	LOCMI15694	glutathione S-transferase delta	2	0.333333333333	LOCMI15694	Glutathione metabolism:map00480 // Metabolism of xenobiotics by cytochrome P450:map00980
LOCMI08143	LOCMI08143	A7RV33_NEMVE Predicted protein	2	0.333333333333	LOCMI08143	Glutathione metabolism:map00480 // Metabolism of xenobiotics by cytochrome P450:map00980
LOCMI04442	LOCMI04442	microsomal glutathione transferase	2	0.333333333333	LOCMI04442	Glutathione metabolism:map00480 // Metabolism of xenobiotics by cytochrome P450:map00980
LOCMI16282	LOCMI16282	E9IEY1_SOLIN Putative uncharacterized protein (Fragment)	1	0.166666666667	LOCMI16282	Ribosome:map03010
LOCMI16102	LOCMI16102	vacuolar ATPase G subunit-like protein	1	0.166666666667	LOCMI16102	Oxidative phosphorylation:map00190
LOCMI16094	LOCMI16094	CG12859	1	0.166666666667	LOCMI16094	Oxidative phosphorylation:map00190
LOCMI16093	LOCMI16093	D6WV34_TRICA Putative uncharacterized protein	1	0.166666666667	LOCMI16093	Oxidative phosphorylation:map00190
LOCMI16086	LOCMI16086	GJ18263	1	0.166666666667	LOCMI16086	Oxidative phosphorylation:map00190
LOCMI16084	LOCMI16084	AGAP004616-PA	1	0.166666666667	LOCMI16084	Oxidative phosphorylation:map00190
