GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI09660	LOCMI09660	PREDICTED: tubulin beta-1 chain	LOCMI09660	Tubulin:IPR000217	Tubulin:IPR000217
LOCMI13837	LOCMI13837	tubulin alpha	LOCMI13837	Tubulin:IPR000217	Tubulin:IPR000217
LOCMI14534	LOCMI14534	beta1-tubulin	LOCMI14534	Tubulin:IPR000217	Tubulin:IPR000217
LOCMI03396	LOCMI03396	beta1-tubulin	LOCMI03396	Tubulin:IPR000217	Tubulin:IPR000217
LOCMI09724	LOCMI09724	beta1-tubulin	LOCMI09724	Tubulin:IPR000217	Tubulin:IPR000217
LOCMI02568	LOCMI02568	PREDICTED: tubulin beta-1 chain	LOCMI02568	Tubulin:IPR000217	Tubulin:IPR000217
LOCMI10225	LOCMI10225	beta1-tubulin	LOCMI10225	Tubulin:IPR000217	Tubulin:IPR000217
LOCMI02243	LOCMI02243	tetraspanin 6	LOCMI02243	Tetraspanin, subgroup:IPR000301	Tetraspanin, subgroup:IPR000301
LOCMI02499	LOCMI02499	PREDICTED: CD63 antigen-like	LOCMI02499	Tetraspanin, subgroup:IPR000301	Tetraspanin, subgroup:IPR000301
LOCMI02777	LOCMI02777	A7URL1_ANOGA AGAP007209-PB	LOCMI02777	Tetraspanin, subgroup:IPR000301	Tetraspanin, subgroup:IPR000301
