GeneID	Ensembl	Pathway
LOCMI04306	En	Glycolysis / Gluconeogenesis:map00010
LOCMI06423	En	Glycolysis / Gluconeogenesis:map00010
LOCMI07493	En	Glycolysis / Gluconeogenesis:map00010
LOCMI09995	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15766	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15779	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15780	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15802	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15822	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15833	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15834	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15839	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15850	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15851	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15855	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15871	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15874	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15878	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15879	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15891	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15896	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15907	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15912	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15918	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15924	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15978	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15985	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15993	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15994	En	Glycolysis / Gluconeogenesis:map00010
LOCMI15995	En	Glycolysis / Gluconeogenesis:map00010
LOCMI16007	En	Glycolysis / Gluconeogenesis:map00010
LOCMI16040	En	Glycolysis / Gluconeogenesis:map00010
LOCMI16048	En	Glycolysis / Gluconeogenesis:map00010
