ID	Symbol	Description
LOCMI00001	LOCMI00001	PREDICTED: adenosine deaminase
LOCMI00016	LOCMI00016	Q172F6_AEDAE Mitochondrial import receptor subunit tom20
LOCMI00018	LOCMI00018	translation initiation factor, aIF-2BI family protein
LOCMI00021	LOCMI00021	CG5276
LOCMI00024	LOCMI00024	adenylate kinase isoenzyme 2
LOCMI00031	LOCMI00031	ribosomal protein rpl23a
LOCMI00033	LOCMI00033	PREDICTED: anaphase-promoting complex subunit 1
LOCMI00036	LOCMI00036	Myosin-Ie
LOCMI00042	LOCMI00042	Q16FU0_AEDAE Rhogtpase
LOCMI00043	LOCMI00043	cellular retinoic acid binding protein
LOCMI00044	LOCMI00044	T-complex protein 1 subunit alpha
LOCMI00045	LOCMI00045	GK23995
LOCMI00046	LOCMI00046	Neurexin-4
LOCMI00049	LOCMI00049	PREDICTED: synaptic vesicle glycoprotein 2B-like
LOCMI00052	LOCMI00052	protease inhibitor 1 precursor
LOCMI00053	LOCMI00053	PREDICTED: alpha-aspartyl dipeptidase-like
LOCMI00054	LOCMI00054	endothelin-converting enzyme, putative
LOCMI00061	LOCMI00061	serine protease-like protein
LOCMI00062	LOCMI00062	beta-glucosidase
LOCMI00063	LOCMI00063	B0WFJ8_CULQU Utp-glucose-1-phosphate uridylyltransferase 2
LOCMI00069	LOCMI00069	GH16736
LOCMI00075	LOCMI00075	glucose dehydrogenase
LOCMI00078	LOCMI00078	Q6IE02_BOMMO Mod(Mdg4)-heS00531
LOCMI00080	LOCMI00080	PREDICTED: apical endosomal glycoprotein-like
LOCMI00082	LOCMI00082	Sodium channel protein para
LOCMI00083	LOCMI00083	PREDICTED: innexin inx7
LOCMI00084	LOCMI00084	PREDICTED: charged multivesicular body protein 1b-like
LOCMI00085	LOCMI00085	3'-5' exonuclease
LOCMI00088	LOCMI00088	PREDICTED: similar to beta-arrestin 1
LOCMI00092	LOCMI00092	PREDICTED: dynein heavy chain 1, axonemal-like
LOCMI00093	LOCMI00093	Q2LZQ6_DROPS GA20829
LOCMI00096	LOCMI00096	ubiquitin-conjugating enzyme E2
LOCMI00098	LOCMI00098	serine/threonine-protein phosphatase 5
LOCMI00101	LOCMI00101	tyrosine-protein phosphatase 10D precursor, putative
LOCMI00106	LOCMI00106	Calcium-transporting ATPase type 2C member 1
LOCMI00107	LOCMI00107	PREDICTED: myosin heavy chain, non-muscle-like isoform 2
LOCMI00111	LOCMI00111	ubiquitin carboxy-terminal hydrolase CG4265
LOCMI00112	LOCMI00112	B0X692_CULQU Beta-1,4-galactosyltransferase
LOCMI00117	LOCMI00117	mixed-lineage leukemia protein, mll
LOCMI00119	LOCMI00119	heme oxygenase
LOCMI00122	LOCMI00122	ribosomal RNA large subunit 23S methyltransferase RrmJ
LOCMI00123	LOCMI00123	PREDICTED: vacuolar protein sorting-associated protein VTA1 homolog
LOCMI00125	LOCMI00125	PREDICTED: similar to vesicle amine transport protein 1 homolog (T californica)
LOCMI00127	LOCMI00127	Serine/threonine-protein phosphatase alpha-1 isoform
LOCMI00128	LOCMI00128	proteasome subunit alpha type 7
LOCMI00130	LOCMI00130	PREDICTED: 60S ribosomal protein L38-like
LOCMI00131	LOCMI00131	Proteasome subunit alpha type-4
LOCMI00132	LOCMI00132	40S ribosomal protein S17, putative
LOCMI00133	LOCMI00133	Q55CR0_DICDI Putative uncharacterized protein
LOCMI00137	LOCMI00137	Cysteine proteinase
LOCMI00138	LOCMI00138	Ankyrin
LOCMI00142	LOCMI00142	heat shock protein 20.5
LOCMI00146	LOCMI00146	nucleoplasmin isoform 1-like protein
LOCMI00147	LOCMI00147	C4WSE7_ACYPI ACYPI004271 protein
LOCMI00151	LOCMI00151	ACYPI008498
LOCMI00153	LOCMI00153	PREDICTED: neuroendocrine convertase 2 isoform 1
LOCMI00158	LOCMI00158	Q8GUN2_ARATH Putative uncharacterized protein At3g56490
LOCMI00161	LOCMI00161	putative AMP dependent coa ligase
LOCMI00164	LOCMI00164	ribosomal protein L35Ae
LOCMI00168	LOCMI00168	Chromobox protein homolog 5
LOCMI00169	LOCMI00169	PREDICTED: galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I-like
LOCMI00171	LOCMI00171	ubiquitin 1
LOCMI00172	LOCMI00172	predicted protein
LOCMI00174	LOCMI00174	beta-glucosidase
LOCMI00175	LOCMI00175	DNA-binding SAP
LOCMI00178	LOCMI00178	Autocrine motility factor receptor, isoform 2
LOCMI00179	LOCMI00179	A9TF06_PHYPA NDPK5 nucleotide diphosphate kinase-like protein
LOCMI00181	LOCMI00181	GF19422
LOCMI00182	LOCMI00182	Zinc finger, C2H2-like
LOCMI00186	LOCMI00186	B7PMF4_IXOSC High mobility group protein, putative
LOCMI00187	LOCMI00187	B3MUA5_DROAN GF24417
