Ensembl	symbol	DOMAIN
LOCMI10439	LOCMI10439	RNA polymerases, N/8kDa subunit:IPR000268
LOCMI07445	LOCMI07445	GCN5-related N-acetyltransferase (GNAT) domain:IPR000182
LOCMI16027	LOCMI16027	Glycoside hydrolase, clan GH-D:IPR000111
LOCMI03125	LOCMI03125	Glycoside hydrolase, family 31:IPR000322
LOCMI17327	LOCMI17327	RNA recognition motif domain:IPR000504
LOCMI05623	LOCMI05623	Zinc finger, CCCH-type:IPR000571
LOCMI13511	LOCMI13511	Dual specificity phosphatase, catalytic domain:IPR000340
LOCMI05470	LOCMI05470	Ubiquitin-associated/translation elongation factor EF1B, N-terminal:IPR000449
LOCMI00493	LOCMI00493	Cytosolic fatty-acid binding:IPR000463
LOCMI03788	LOCMI03788	Cytosolic fatty-acid binding:IPR000463
LOCMI03791	LOCMI03791	Cytosolic fatty-acid binding:IPR000463
LOCMI03790	LOCMI03790	Cytosolic fatty-acid binding:IPR000463
LOCMI01404	LOCMI01404	Cytosolic fatty-acid binding:IPR000463
LOCMI07407	LOCMI07407	Protease inhibitor I4, serpin:IPR000215
LOCMI05133	LOCMI05133	Protease inhibitor I4, serpin:IPR000215
LOCMI02904	LOCMI02904	Histone H2B:IPR000558
LOCMI03938	LOCMI03938	Protein-tyrosine phosphatase, receptor/non-receptor type:IPR000242
