GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI15985	LOCMI15985	GF22728	13	0.448275862069	LOCMI15985	beta-Alanine metabolism:map00410 // Pentose and glucuronate interconversions:map00040 // Fatty acid degradation:map00071 // Valine, leucine and isoleucine degradation:map00280 // Glycolysis / Gluconeogenesis:map00010 // Histidine metabolism:map00340 // Tryptophan metabolism:map00380 // Arginine and proline metabolism:map00330 // Glycerolipid metabolism:map00561 // Pyruvate metabolism:map00620 // Propanoate metabolism:map00640 // Ascorbate and aldarate metabolism:map00053 // Lysine degradation:map00310
LOCMI15907	LOCMI15907	Retinal dehydrogenase 1	13	0.448275862069	LOCMI15907	beta-Alanine metabolism:map00410 // Pentose and glucuronate interconversions:map00040 // Fatty acid degradation:map00071 // Valine, leucine and isoleucine degradation:map00280 // Glycolysis / Gluconeogenesis:map00010 // Histidine metabolism:map00340 // Tryptophan metabolism:map00380 // Arginine and proline metabolism:map00330 // Glycerolipid metabolism:map00561 // Pyruvate metabolism:map00620 // Propanoate metabolism:map00640 // Ascorbate and aldarate metabolism:map00053 // Lysine degradation:map00310
LOCMI15896	LOCMI15896	E3WQ18_ANODA Putative uncharacterized protein	13	0.448275862069	LOCMI15896	beta-Alanine metabolism:map00410 // Pentose and glucuronate interconversions:map00040 // Fatty acid degradation:map00071 // Valine, leucine and isoleucine degradation:map00280 // Glycolysis / Gluconeogenesis:map00010 // Histidine metabolism:map00340 // Tryptophan metabolism:map00380 // Arginine and proline metabolism:map00330 // Glycerolipid metabolism:map00561 // Pyruvate metabolism:map00620 // Propanoate metabolism:map00640 // Ascorbate and aldarate metabolism:map00053 // Lysine degradation:map00310
LOCMI15851	LOCMI15851	B0W5G6_CULQU Aldehyde dehydrogenase	13	0.448275862069	LOCMI15851	beta-Alanine metabolism:map00410 // Pentose and glucuronate interconversions:map00040 // Fatty acid degradation:map00071 // Valine, leucine and isoleucine degradation:map00280 // Glycolysis / Gluconeogenesis:map00010 // Histidine metabolism:map00340 // Tryptophan metabolism:map00380 // Arginine and proline metabolism:map00330 // Glycerolipid metabolism:map00561 // Pyruvate metabolism:map00620 // Propanoate metabolism:map00640 // Ascorbate and aldarate metabolism:map00053 // Lysine degradation:map00310
LOCMI15912	LOCMI15912	C3YPZ0_BRAFL Putative uncharacterized protein	12	0.413793103448	LOCMI15912	beta-Alanine metabolism:map00410 // Fatty acid degradation:map00071 // Valine, leucine and isoleucine degradation:map00280 // Glycolysis / Gluconeogenesis:map00010 // Histidine metabolism:map00340 // Tryptophan metabolism:map00380 // Arginine and proline metabolism:map00330 // Glycerolipid metabolism:map00561 // Pyruvate metabolism:map00620 // Propanoate metabolism:map00640 // Ascorbate and aldarate metabolism:map00053 // Lysine degradation:map00310
LOCMI17046	LOCMI17046	GJ23340	8	0.275862068966	LOCMI17046	Drug metabolism - cytochrome P450:map00982 // Pentose and glucuronate interconversions:map00040 // Drug metabolism - other enzymes:map00983 // Metabolism of xenobiotics by cytochrome P450:map00980 // Porphyrin and chlorophyll metabolism:map00860 // Starch and sucrose metabolism:map00500 // Retinol metabolism:map00830 // Ascorbate and aldarate metabolism:map00053
LOCMI17045	LOCMI17045	PREDICTED: UDP-glucuronosyltransferase 2B10-like	8	0.275862068966	LOCMI17045	Drug metabolism - cytochrome P450:map00982 // Pentose and glucuronate interconversions:map00040 // Drug metabolism - other enzymes:map00983 // Metabolism of xenobiotics by cytochrome P450:map00980 // Porphyrin and chlorophyll metabolism:map00860 // Starch and sucrose metabolism:map00500 // Retinol metabolism:map00830 // Ascorbate and aldarate metabolism:map00053
LOCMI17036	LOCMI17036	UDP-glucuronosyltransferase 1-8 precursor, putative	8	0.275862068966	LOCMI17036	Drug metabolism - cytochrome P450:map00982 // Pentose and glucuronate interconversions:map00040 // Drug metabolism - other enzymes:map00983 // Metabolism of xenobiotics by cytochrome P450:map00980 // Porphyrin and chlorophyll metabolism:map00860 // Starch and sucrose metabolism:map00500 // Retinol metabolism:map00830 // Ascorbate and aldarate metabolism:map00053
LOCMI17032	LOCMI17032	UDP-glucuronosyltransferase 1-8 precursor, putative	8	0.275862068966	LOCMI17032	Drug metabolism - cytochrome P450:map00982 // Pentose and glucuronate interconversions:map00040 // Drug metabolism - other enzymes:map00983 // Metabolism of xenobiotics by cytochrome P450:map00980 // Porphyrin and chlorophyll metabolism:map00860 // Starch and sucrose metabolism:map00500 // Retinol metabolism:map00830 // Ascorbate and aldarate metabolism:map00053
LOCMI16992	LOCMI16992	PREDICTED: similar to glucosyl/glucuronosyl transferases	8	0.275862068966	LOCMI16992	Drug metabolism - cytochrome P450:map00982 // Pentose and glucuronate interconversions:map00040 // Drug metabolism - other enzymes:map00983 // Metabolism of xenobiotics by cytochrome P450:map00980 // Porphyrin and chlorophyll metabolism:map00860 // Starch and sucrose metabolism:map00500 // Retinol metabolism:map00830 // Ascorbate and aldarate metabolism:map00053
