GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI16873	LOCMI16873	cytochrome P450	5	0.333333333333	LOCMI16873	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16264	LOCMI16264	PREDICTED: peroxidase-like isoform 1	5	0.333333333333	LOCMI16264	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16262	LOCMI16262	E0VA57_PEDHC Putative uncharacterized protein	5	0.333333333333	LOCMI16262	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16237	LOCMI16237	cytochrome P450 6a22	5	0.333333333333	LOCMI16237	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16236	LOCMI16236	cytochrome P450	5	0.333333333333	LOCMI16236	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16217	LOCMI16217	cytochrome P450 6BQ13	5	0.333333333333	LOCMI16217	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16210	LOCMI16210	cytochrome P450	5	0.333333333333	LOCMI16210	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16208	LOCMI16208	PREDICTED: probable cytochrome P450 6a13	5	0.333333333333	LOCMI16208	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16197	LOCMI16197	cytochrome P450	5	0.333333333333	LOCMI16197	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16194	LOCMI16194	RecName: Full=Cytochrome P450 4C1; AltName: Full=CYPIVC1 gb|AAA27819.1| cytochrome P450	5	0.333333333333	LOCMI16194	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16187	LOCMI16187	cytochrome P450 6BQ13	5	0.333333333333	LOCMI16187	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16179	LOCMI16179	cytochrome p450	5	0.333333333333	LOCMI16179	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16178	LOCMI16178	PREDICTED: probable cytochrome P450 49a1-like	5	0.333333333333	LOCMI16178	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16176	LOCMI16176	cytochrome P450	5	0.333333333333	LOCMI16176	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16175	LOCMI16175	cytochrome P450	5	0.333333333333	LOCMI16175	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16169	LOCMI16169	cytochrome P450	5	0.333333333333	LOCMI16169	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16156	LOCMI16156	RecName: Full=Cytochrome P450 6k1; AltName: Full=CYPVIK1 gb|AAK57914.1|AF281328_1 cytochrome P450 CYP6K1	5	0.333333333333	LOCMI16156	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16155	LOCMI16155	ecdysone 20 hydroxylase	5	0.333333333333	LOCMI16155	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16144	LOCMI16144	cytochrome P450	5	0.333333333333	LOCMI16144	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16138	LOCMI16138	PREDICTED: similar to cytochrome P450	5	0.333333333333	LOCMI16138	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16136	LOCMI16136	Cytochrome P450 4g15	5	0.333333333333	LOCMI16136	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16124	LOCMI16124	cytochrome P-450, putative	5	0.333333333333	LOCMI16124	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI14948	LOCMI14948	PREDICTED: similar to peroxidasin	5	0.333333333333	LOCMI14948	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
