GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI07468	LOCMI07468	B4KBP4_DROMO GI23169	LOCMI07468	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI15707	LOCMI15707	glutathione S-transferase sigma 1	LOCMI15707	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI08995	LOCMI08995	glucose-6-phosphate 1-dehydrogenase	LOCMI08995	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI08143	LOCMI08143	A7RV33_NEMVE Predicted protein	LOCMI08143	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI15716	LOCMI15716	glutathione S-transferase sigma 1	LOCMI15716	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI15070	LOCMI15070	putative aminopeptidase	LOCMI15070	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI15698	LOCMI15698	glutathione S-transferase sigma 3	LOCMI15698	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI04119	LOCMI04119	glutamate--cysteine ligase regulatory subunit, putative	LOCMI04119	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI05791	LOCMI05791	C3XQB1_BRAFL Putative uncharacterized protein	LOCMI05791	Pyruvate metabolism:map00620	Pyruvate metabolism:map00620
LOCMI16875	LOCMI16875	B6RHH4_LITVA Pyruvate kinase	LOCMI16875	Pyruvate metabolism:map00620	Pyruvate metabolism:map00620
LOCMI15907	LOCMI15907	Retinal dehydrogenase 1	LOCMI15907	Pyruvate metabolism:map00620	Pyruvate metabolism:map00620
LOCMI15918	LOCMI15918	Probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial	LOCMI15918	Pyruvate metabolism:map00620	Pyruvate metabolism:map00620
LOCMI15896	LOCMI15896	E3WQ18_ANODA Putative uncharacterized protein	LOCMI15896	Pyruvate metabolism:map00620	Pyruvate metabolism:map00620
LOCMI15882	LOCMI15882	aldose reductase, putative	LOCMI15882	Pyruvate metabolism:map00620	Pyruvate metabolism:map00620
LOCMI06696	LOCMI06696	PREDICTED: tubulin-specific chaperone E-like	LOCMI06696	Pyruvate metabolism:map00620	Pyruvate metabolism:map00620
LOCMI14159	LOCMI14159	PREDICTED: syntaxin-8-like isoform 1	LOCMI14159	SNARE interactions in vesicular transport:map04130	SNARE interactions in vesicular transport:map04130
LOCMI14621	LOCMI14621	syntaxin-6, putative	LOCMI14621	SNARE interactions in vesicular transport:map04130	SNARE interactions in vesicular transport:map04130
LOCMI01016	LOCMI01016	PREDICTED: synaptosomal-associated protein 29-like	LOCMI01016	SNARE interactions in vesicular transport:map04130	SNARE interactions in vesicular transport:map04130
LOCMI01645	LOCMI01645	PREDICTED: vesicle-associated membrane protein 1-like	LOCMI01645	SNARE interactions in vesicular transport:map04130	SNARE interactions in vesicular transport:map04130
LOCMI04203	LOCMI04203	BET1-like protein	LOCMI04203	SNARE interactions in vesicular transport:map04130	SNARE interactions in vesicular transport:map04130
LOCMI01936	LOCMI01936	Ubiquitin-conjugating enzyme E2 J1	LOCMI01936	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI10612	LOCMI10612	RecName: Full=Protein transport protein Sec61 subunit gamma gb|AAP47228.1| Sec61p gamma subunit	LOCMI10612	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
LOCMI08663	LOCMI08663	Q177N4_AEDAE Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	LOCMI08663	Protein processing in endoplasmic reticulum:map04141	Protein processing in endoplasmic reticulum:map04141
