GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI14534	LOCMI14534	beta1-tubulin	1	0.5	LOCMI14534	Tubulin:IPR000217
LOCMI13837	LOCMI13837	tubulin alpha	1	0.5	LOCMI13837	Tubulin:IPR000217
LOCMI10225	LOCMI10225	beta1-tubulin	1	0.5	LOCMI10225	Tubulin:IPR000217
LOCMI09724	LOCMI09724	beta1-tubulin	1	0.5	LOCMI09724	Tubulin:IPR000217
LOCMI09660	LOCMI09660	PREDICTED: tubulin beta-1 chain	1	0.5	LOCMI09660	Tubulin:IPR000217
LOCMI03396	LOCMI03396	beta1-tubulin	1	0.5	LOCMI03396	Tubulin:IPR000217
LOCMI02777	LOCMI02777	A7URL1_ANOGA AGAP007209-PB	1	0.5	LOCMI02777	Tetraspanin, subgroup:IPR000301
LOCMI02568	LOCMI02568	PREDICTED: tubulin beta-1 chain	1	0.5	LOCMI02568	Tubulin:IPR000217
LOCMI02499	LOCMI02499	PREDICTED: CD63 antigen-like	1	0.5	LOCMI02499	Tetraspanin, subgroup:IPR000301
LOCMI02243	LOCMI02243	tetraspanin 6	1	0.5	LOCMI02243	Tetraspanin, subgroup:IPR000301
