GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI03230	LOCMI03230	PREDICTED: ribonucleotide reductase M2 polypeptide-like	LOCMI03230	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI15707	LOCMI15707	glutathione S-transferase sigma 1	LOCMI15707	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI08143	LOCMI08143	A7RV33_NEMVE Predicted protein	LOCMI08143	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI04442	LOCMI04442	microsomal glutathione transferase	LOCMI04442	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI15698	LOCMI15698	glutathione S-transferase sigma 3	LOCMI15698	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI15694	LOCMI15694	glutathione S-transferase delta	LOCMI15694	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI15696	LOCMI15696	glutathione S-transferase sigma 1	LOCMI15696	Glutathione metabolism:map00480	Glutathione metabolism:map00480
LOCMI16062	LOCMI16062	GJ13165	LOCMI16062	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI16006	LOCMI16006	H+ transporting ATP synthase subunit e	LOCMI16006	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI16008	LOCMI16008	D6WXE2_TRICA Putative uncharacterized protein	LOCMI16008	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI16102	LOCMI16102	vacuolar ATPase G subunit-like protein	LOCMI16102	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15807	LOCMI15807	Similar to CG4692	LOCMI15807	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15826	LOCMI15826	GJ18263	LOCMI15826	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15795	LOCMI15795	PREDICTED: similar to NADH-ubiquinone oxidoreductase ashi subunit	LOCMI15795	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15980	LOCMI15980	ubiquinol-cytochrome c reductase complex	LOCMI15980	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15863	LOCMI15863	NADH dehydrogenase, putative	LOCMI15863	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15865	LOCMI15865	vacuolar H+-ATPase v1 sector subunit D	LOCMI15865	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI16058	LOCMI16058	C1BMA6_OSMMO Ubiquinol-cytochrome c reductase complex 6.4 kDa protein	LOCMI16058	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI16094	LOCMI16094	CG12859	LOCMI16094	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI16093	LOCMI16093	D6WV34_TRICA Putative uncharacterized protein	LOCMI16093	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI16039	LOCMI16039	succinate dehydrogenase, putative	LOCMI16039	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15895	LOCMI15895	cytochrome c oxidase subunit VIIA putative	LOCMI15895	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15894	LOCMI15894	vacuolar ATP synthase subunit F	LOCMI15894	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15892	LOCMI15892	AGAP000849-PA	LOCMI15892	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15958	LOCMI15958	NADH ubiquinone dehydrogenase	LOCMI15958	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15890	LOCMI15890	AGAP012188-PA	LOCMI15890	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15979	LOCMI15979	GF16047	LOCMI15979	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15952	LOCMI15952	D6WEW9_TRICA Putative uncharacterized protein	LOCMI15952	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
LOCMI15775	LOCMI15775	PREDICTED: NADH dehydrogenase	LOCMI15775	Oxidative phosphorylation:map00190	Oxidative phosphorylation:map00190
