Ensembl	symbol	DOMAIN
LOCMI14208	LOCMI14208	14-3-3 protein:IPR000308
LOCMI04541	LOCMI04541	14-3-3 protein:IPR000308
LOCMI00208	LOCMI00208	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI13695	LOCMI13695	Proteasome, alpha-subunit, conserved site:IPR000426
LOCMI03019	LOCMI03019	Proteasome, alpha-subunit, conserved site:IPR000426
LOCMI08559	LOCMI08559	Ribosomal protein L36:IPR000473
LOCMI17240	LOCMI17240	Forkhead-associated (FHA) domain:IPR000253
LOCMI01253	LOCMI01253	Peptidase T2, asparaginase 2:IPR000246
LOCMI11417	LOCMI11417	Sushi/SCR/CCP:IPR000436
LOCMI14394	LOCMI14394	Sushi/SCR/CCP:IPR000436
LOCMI09047	LOCMI09047	FeS cluster biogenesis:IPR000361
LOCMI13370	LOCMI13370	Ribosomal protein S7e:IPR000554
LOCMI07839	LOCMI07839	Oligopeptide transporter:IPR000109
LOCMI07809	LOCMI07809	Histidine phosphatase superfamily, clade-2:IPR000560
LOCMI05189	LOCMI05189	Ribosome-binding factor A:IPR000238
LOCMI13781	LOCMI13781	Armadillo:IPR000225
LOCMI11451	LOCMI11451	Armadillo:IPR000225
LOCMI05551	LOCMI05551	Ribosomal protein S16:IPR000307
LOCMI04516	LOCMI04516	IQ motif, EF-hand binding site:IPR000048
LOCMI07758	LOCMI07758	IQ motif, EF-hand binding site:IPR000048
LOCMI09179	LOCMI09179	IQ motif, EF-hand binding site:IPR000048
LOCMI16411	LOCMI16411	Death:IPR000488
LOCMI15755	LOCMI15755	Neutrophil cytosol factor 2 p67phox:IPR000108
LOCMI17295	LOCMI17295	Toll-Interleukin receptor:IPR000157
LOCMI15220	LOCMI15220	Cell division/GTP binding protein:IPR000038
LOCMI00208	LOCMI00208	Cytosolic fatty-acid binding:IPR000463
LOCMI11880	LOCMI11880	Primosome PriB/single-strand DNA-binding:IPR000424
LOCMI10439	LOCMI10439	RNA polymerases, N/8kDa subunit:IPR000268
LOCMI15842	LOCMI15842	Phosphofructokinase domain:IPR000023
LOCMI00422	LOCMI00422	NUDIX hydrolase domain:IPR000086
LOCMI10621	LOCMI10621	Ribosomal protein L31e:IPR000054
LOCMI14004	LOCMI14004	Aminotransferase, class V/Cysteine desulfurase:IPR000192
LOCMI12692	LOCMI12692	Histone H3:IPR000164
LOCMI06804	LOCMI06804	Ribosomal protein S12e:IPR000530
LOCMI05500	LOCMI05500	Phox/Bem1p:IPR000270
LOCMI07886	LOCMI07886	Ribosomal protein L14b/L23e:IPR000218
LOCMI09709	LOCMI09709	Zinc finger, CCCH-type:IPR000571
LOCMI05500	LOCMI05500	Zinc finger, ZZ-type:IPR000433
LOCMI02499	LOCMI02499	Tetraspanin, subgroup:IPR000301
LOCMI02243	LOCMI02243	Tetraspanin, subgroup:IPR000301
LOCMI02777	LOCMI02777	Tetraspanin, subgroup:IPR000301
LOCMI04987	LOCMI04987	Alpha/beta hydrolase fold-1:IPR000073
LOCMI11915	LOCMI11915	Alpha/beta hydrolase fold-1:IPR000073
LOCMI11816	LOCMI11816	Alpha/beta hydrolase fold-1:IPR000073
LOCMI05948	LOCMI05948	RNA recognition motif domain:IPR000504
LOCMI06065	LOCMI06065	RNA recognition motif domain:IPR000504
LOCMI11349	LOCMI11349	RNA recognition motif domain:IPR000504
LOCMI13569	LOCMI13569	Ribosomal protein S28e:IPR000289
LOCMI16049	LOCMI16049	ATPase, V0 complex, proteolipid subunit C:IPR000245
LOCMI16089	LOCMI16089	BTB/POZ-like:IPR000210
LOCMI07740	LOCMI07740	BTB/POZ-like:IPR000210
LOCMI04473	LOCMI04473	BTB/POZ-like:IPR000210
LOCMI16027	LOCMI16027	Glycoside hydrolase, clan GH-D:IPR000111
LOCMI01417	LOCMI01417	Peptidase T1A, proteasome beta-subunit:IPR000243
LOCMI09660	LOCMI09660	Tubulin:IPR000217
LOCMI03396	LOCMI03396	Tubulin:IPR000217
LOCMI14534	LOCMI14534	Tubulin:IPR000217
LOCMI02568	LOCMI02568	Tubulin:IPR000217
LOCMI10225	LOCMI10225	Tubulin:IPR000217
LOCMI13837	LOCMI13837	Tubulin:IPR000217
LOCMI09724	LOCMI09724	Tubulin:IPR000217
LOCMI05719	LOCMI05719	EPS15 homology (EH):IPR000261
LOCMI15262	LOCMI15262	EPS15 homology (EH):IPR000261
